mixture_name,outcome,outcome_label,n_eligible_before_subsample,n_bkmr,iter,max_n_per_model,sampling_seed,fit_file,component,PIP,pip_rank,pip_interpretation
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_HbA1c_iter3000_n800_seed20260730.rds,MEOHP,0.558,1,Moderate
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_HbA1c_iter3000_n800_seed20260730.rds,MECPP,0.358,2,Suggestive
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_HbA1c_iter3000_n800_seed20260730.rds,MEHHP,0.2753333333333333,3,Suggestive
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_TyG_index_iter3000_n800_seed20260830.rds,MEHHP,0.666,1,Moderate
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_TyG_index_iter3000_n800_seed20260830.rds,MEOHP,0.512,2,Moderate
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_TyG_index_iter3000_n800_seed20260830.rds,MECPP,0.4073333333333333,3,Suggestive
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_HOMA_IR_iter3000_n800_seed20260630.rds,MECPP,0.78,1,Strong
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_HOMA_IR_iter3000_n800_seed20260630.rds,MEHHP,0.762,2,Strong
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_HOMA_IR_iter3000_n800_seed20260630.rds,MEOHP,0.6573333333333333,3,Moderate
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_TG_HDL_C_iter3000_n800_seed20260930.rds,MEOHP,0.6553333333333333,1,Moderate
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_TG_HDL_C_iter3000_n800_seed20260930.rds,MEHHP,0.6053333333333333,2,Moderate
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_TG_HDL_C_iter3000_n800_seed20260930.rds,MECPP,0.5853333333333334,3,Moderate
