chemical_label,GeneSymbol,GeneID,mechanism_panel,n_interactions,n_pubmed_total,organisms,interaction_directions,example_interactions,pubmed_ids
2-ethyl-5-carboxypentyl phthalate,ADAM33,80332,Other CTD gene,1,2,Homo sapiens,increase / activation,[[Endocrine Disruptors results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased methylation of ADAM33 intron] which results in increased expression of ADAM33 mRNA,30226539
2-ethyl-5-carboxypentyl phthalate,ACTB,60,Other CTD gene,1,1,Homo sapiens,increase / activation,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monobutyl phthalate metabolite co-treated with monoethyl phthalate co-treated with monobutyl phthalate] results in increased expression of ACTB mRNA,38992643
2-ethyl-5-carboxypentyl phthalate,AMH,268,Other CTD gene,1,1,Homo sapiens,decrease / inhibition,2-ethyl-5-carboxypentyl phthalate results in decreased secretion of AMH protein,29206197
2-ethyl-5-carboxypentyl phthalate,CCDC163,126661,Other CTD gene,1,1,Homo sapiens,other / unspecified,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monoethyl phthalate co-treated with monobutyl phthalate] affects the expression of CCDC163 mRNA,37160244
2-ethyl-5-carboxypentyl phthalate,CNPY1,285888,Other CTD gene,1,1,Homo sapiens,increase / activation,[Phthalic Acids results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased methylation of CNPY1 gene,28556291
2-ethyl-5-carboxypentyl phthalate,CYP2C9,1559,Other CTD gene,1,1,Homo sapiens,increase / activation,[CYP2C9 protein polymorphism results in increased metabolism of mono-(2-ethylhexyl)phthalate] which results in increased chemical synthesis of 2-ethyl-5-carboxypentyl phthalate,23545481
2-ethyl-5-carboxypentyl phthalate,DCAKD,79877,Other CTD gene,1,1,Homo sapiens,other / unspecified,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monoethyl phthalate co-treated with monobutyl phthalate] affects the expression of DCAKD mRNA,37160244
2-ethyl-5-carboxypentyl phthalate,DLL4,54567,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased expression of DLL4 protein,38042133
2-ethyl-5-carboxypentyl phthalate,ESR1,2099,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in decreased expression of ESR1 protein,38042133
2-ethyl-5-carboxypentyl phthalate,EXOSC1,51013,Other CTD gene,1,1,Homo sapiens,other / unspecified,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monobutyl phthalate metabolite co-treated with monoethyl phthalate co-treated with monobutyl phthalate] affects the expression of EXOSC1 mRNA,38992643
2-ethyl-5-carboxypentyl phthalate,FGF12,2257,Other CTD gene,1,1,Homo sapiens,increase / activation,2-ethyl-5-carboxypentyl phthalate results in increased methylation of FGF12 gene,35032864
2-ethyl-5-carboxypentyl phthalate,FIBIN,387758,Other CTD gene,1,1,Homo sapiens,increase / activation,[Phthalic Acids results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased methylation of FIBIN gene,28556291
2-ethyl-5-carboxypentyl phthalate,FLG,2312,Other CTD gene,1,1,Homo sapiens,other / unspecified,[FLG gene polymorphism affects the susceptibility to Diethylhexyl Phthalate] which affects the abundance of 2-ethyl-5-carboxypentyl phthalate,24380925
2-ethyl-5-carboxypentyl phthalate,GORASP2,26003,Other CTD gene,1,1,Homo sapiens,decrease / inhibition,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monobutyl phthalate metabolite co-treated with monoethyl phthalate co-treated with monobutyl phthalate] results in decreased expression of GORASP2 mRNA,38992643
2-ethyl-5-carboxypentyl phthalate,IFI6,2537,Other CTD gene,1,1,Homo sapiens,other / unspecified,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monoethyl phthalate co-treated with monobutyl phthalate] affects the expression of IFI6 mRNA,37160244
2-ethyl-5-carboxypentyl phthalate,JAK3,3718,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which results in increased expression of JAK3 mRNA,37093692
2-ethyl-5-carboxypentyl phthalate,LUC7L3,51747,Other CTD gene,1,1,Homo sapiens,other / unspecified,2-ethyl-5-carboxypentyl phthalate affects the expression of LUC7L3 mRNA,34478338
2-ethyl-5-carboxypentyl phthalate,MEG3,55384,Other CTD gene,1,1,Homo sapiens,increase / activation,2-ethyl-5-carboxypentyl phthalate results in increased methylation of MEG3 gene,29957030
2-ethyl-5-carboxypentyl phthalate,MIR142,406934,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR142,33885134
2-ethyl-5-carboxypentyl phthalate,MIR15A,406948,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR15A,33885134
2-ethyl-5-carboxypentyl phthalate,MIR26A1,407015,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR26A1,33885134
2-ethyl-5-carboxypentyl phthalate,MIR26B,407017,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR26B,33885134
2-ethyl-5-carboxypentyl phthalate,MIR29C,407026,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR29C,33885134
2-ethyl-5-carboxypentyl phthalate,MIR345,442910,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR345,33885134
2-ethyl-5-carboxypentyl phthalate,MIR451A,574411,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR451A,33885134
2-ethyl-5-carboxypentyl phthalate,MIR572,693157,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR572,33885134
2-ethyl-5-carboxypentyl phthalate,MIR638,693223,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR638,33885134
2-ethyl-5-carboxypentyl phthalate,MIR942,100126331,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR942,33885134
2-ethyl-5-carboxypentyl phthalate,MIR99B,407056,Other CTD gene,1,1,Homo sapiens,increase / activation,[Diethylhexyl Phthalate results in increased abundance of 2-ethyl-5-carboxypentyl phthalate] which affects the secretion of MIR99B,33885134
2-ethyl-5-carboxypentyl phthalate,MMP1,4312,Other CTD gene,1,1,Homo sapiens,increase / activation,2-ethyl-5-carboxypentyl phthalate results in increased expression of MMP1 protein,36113809
2-ethyl-5-carboxypentyl phthalate,MMP2,4313,Other CTD gene,1,1,Homo sapiens,increase / activation,2-ethyl-5-carboxypentyl phthalate results in increased expression of MMP2 protein,36113809
2-ethyl-5-carboxypentyl phthalate,MUC20-OT1,111753249,Other CTD gene,1,1,Homo sapiens,other / unspecified,2-ethyl-5-carboxypentyl phthalate affects the expression of MUC20-OT1 mRNA,34478338
2-ethyl-5-carboxypentyl phthalate,NEAT1,283131,Other CTD gene,1,1,Homo sapiens,other / unspecified,2-ethyl-5-carboxypentyl phthalate affects the expression of NEAT1 mRNA,34478338
