period,outcome,outcome_label,exposure,exposure_label,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
2003-2008,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1887,0.08465851602545527,0.02161518255122637,4.799322799016762e-4,8.834535073844174,4.134633003942856,13.746557538560022,5.999153498770952e-4,"8.835 (4.135, 13.747)",<0.001,<0.001,positive
2003-2008,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1887,0.2448044900325896,0.05334305311324214,6.946090166083085e-5,27.737154991998047,14.56940561454163,42.418306858866515,2.73016744873936e-4,"27.737 (14.569, 42.418)",<0.001,<0.001,positive
2003-2008,ln_HOMA_IR,ln(HOMA-IR),ln_URXMHH,MEHHP,1887,0.08768624126910783,0.01970053069414108,1.0920669794957442e-4,9.164555496539428,4.859627632488284,13.646218719404146,2.73016744873936e-4,"9.165 (4.860, 13.646)",<0.001,<0.001,positive
2003-2008,ln_HOMA_IR,ln(HOMA-IR),ln_URXMOH,MEOHP,1887,0.08275830896650367,0.020230760824088583,2.9741320616848154e-4,8.627923286796513,4.2312271697928505,13.210081450733412,4.956886769474693e-4,"8.628 (4.231, 13.210)",<0.001,<0.001,positive
2003-2008,ln_HOMA_IR,ln(HOMA-IR),ln_URXECP,MECPP,1887,0.07534384716265753,0.022070852690203754,0.001855325024298843,7.825484201848187,3.073192082571574,12.79688547968123,0.001855325024298843,"7.825 (3.073, 12.797)",0.002,0.002,positive
2003-2008,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),3967,0.010225621046394167,0.01097497462758305,0.35891848531673354,0.010225621046394167,-0.012188267344123632,0.03263950943691196,0.44994398298684524,"0.010 (-0.012, 0.033)",0.359,0.450,positive
2003-2008,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,3967,0.0285332220564576,0.03070667105534944,0.3599551863894762,0.0285332220564576,-0.03409344645499897,0.09115989056791417,0.44994398298684524,"0.029 (-0.034, 0.091)",0.360,0.450,positive
2003-2008,HbA1c,HbA1c,ln_URXMHH,MEHHP,3967,0.014681046359347433,0.009713368167245433,0.14114285456051565,0.014681046359347433,-0.005156297906531149,0.03451839062522602,0.35285713640128913,"0.015 (-0.005, 0.035)",0.141,0.353,positive
2003-2008,HbA1c,HbA1c,ln_URXMOH,MEOHP,3967,0.016008929829211614,0.009929358961805813,0.11737259192877457,0.016008929829211614,-0.004269526487212252,0.03628738614563548,0.35285713640128913,"0.016 (-0.004, 0.036)",0.117,0.353,positive
2003-2008,HbA1c,HbA1c,ln_URXECP,MECPP,3967,0.0034374833288441835,0.012112045606217092,0.778507848890108,0.0034374833288441835,-0.021298613802197414,0.02817358045988578,0.778507848890108,"0.003 (-0.021, 0.028)",0.779,0.779,positive
2009-2012,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),1386,0.09866447881046889,0.02601794761972373,0.0019812077911510943,10.36959240586215,4.379335193535061,16.703626299687556,0.002476509738938868,"10.370 (4.379, 16.704)",0.002,0.002,positive
2009-2012,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,1387,0.2271169270964716,0.05749193912841016,0.0012824373007787777,25.497660013162072,11.023950194508192,41.858244470554595,0.002198140554320537,"25.498 (11.024, 41.858)",0.001,0.002,positive
2009-2012,ln_HOMA_IR,ln(HOMA-IR),ln_URXMHH,MEHHP,1386,0.09915296689927738,0.02230926377494961,5.552558061925277e-4,10.423519807493387,5.264322169593272,15.835579191123749,0.002198140554320537,"10.424 (5.264, 15.836)",<0.001,0.002,positive
2009-2012,ln_HOMA_IR,ln(HOMA-IR),ln_URXMOH,MEOHP,1386,0.09450125151432354,0.023631796119556524,0.001318884332592322,9.911053868471154,4.47901896305376,15.625509144088511,0.002198140554320537,"9.911 (4.479, 15.626)",0.001,0.002,positive
2009-2012,ln_HOMA_IR,ln(HOMA-IR),ln_URXECP,MECPP,1386,0.09508518620907629,0.026847191545160243,0.0032540111459739025,9.975253488530345,3.82158251582414,16.493662365655947,0.0032540111459739025,"9.975 (3.822, 16.494)",0.003,0.003,positive
2009-2012,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),2926,0.02783291764708459,0.018740178564829436,0.15965755950512334,0.02783291764708459,-0.012360767867964164,0.06802660316213334,0.19957194938140416,"0.028 (-0.012, 0.068)",0.160,0.200,positive
