outcome,outcome_label,exposure,exposure_label,exposure_interpretation,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,1983,0.1068164213737446,0.02557709879678462,2.615046586978223e-4,11.272996229018917,5.593233817358767,17.2582678090857,2.6150465869783203e-4,"11.273 (5.593, 17.258)",<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,1983,0.10681642137374447,0.02557709879678468,2.6150465869783203e-4,11.272996229018894,5.593233817358745,17.2582678090857,2.6150465869783203e-4,"11.273 (5.593, 17.258)",<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,1984,-0.2108068029880403,0.042956721986660715,3.280972798865868e-5,-19.00694720752234,-25.819076467891712,-11.569251388388102,5.46828799810978e-5,"-19.007 (-25.819, -11.569)",<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,1984,0.21080680298804125,0.04295672198666064,3.280972798865584e-5,23.467379672948606,13.08283777987722,34.80554735439001,5.46828799810978e-5,"23.467 (13.083, 34.806)",<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,1984,0.21578324016310435,0.036615779346851014,2.1360358451312036e-6,24.083338700581237,15.130440278184732,33.73244214024407,1.0680179225656017e-5,"24.083 (15.130, 33.732)",<0.001,<0.001
HbA1c,HbA1c,ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,4124,0.08824356786813228,0.024694205597838133,0.0014068219042473302,0.08824356786813228,0.03748390129787638,0.1390032344383882,0.0021342041420040984,"0.088 (0.037, 0.139)",0.001,0.002
HbA1c,HbA1c,ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,4124,0.08824356786813216,0.024694205597838102,0.001406821904247333,0.08824356786813216,0.03748390129787632,0.139003234438388,0.0021342041420040984,"0.088 (0.037, 0.139)",0.001,0.002
HbA1c,HbA1c,pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,4125,-0.06756372827662742,0.019897473445607626,0.0021342041420038004,-0.06756372827662742,-0.10838997149318128,-0.02673748506007357,0.0021342041420040984,"-0.068 (-0.108, -0.027)",0.002,0.002
HbA1c,HbA1c,pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,4125,0.06756372827662717,0.019897473445607872,0.0021342041420040984,0.06756372827662717,0.026737485060072813,0.10838997149318153,0.0021342041420040984,"0.068 (0.027, 0.108)",0.002,0.002
HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,4125,0.07561577485171574,0.017662835978347766,2.0964061121308078e-4,0.07561577485171574,0.03937462898375588,0.1118569207196756,0.0010482030560654038,"0.076 (0.039, 0.112)",<0.001,0.001
TyG,TyG index,ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,1969,0.0140045180174445,0.02324109868567036,0.5516405273675966,0.0140045180174445,-0.03360271451345074,0.061611750548339735,0.5516405273675998,"0.014 (-0.034, 0.062)",0.552,0.552
TyG,TyG index,ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,1969,0.01400451801744438,0.023241098685670352,0.5516405273675998,0.01400451801744438,-0.03360271451345084,0.0616117505483396,0.5516405273675998,"0.014 (-0.034, 0.062)",0.552,0.552
TyG,TyG index,pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,1970,-0.13192228593487945,0.03419365276003616,5.8731577111599e-4,-0.13192228593487945,-0.20185615813249813,-0.06198841373726077,9.78859618526663e-4,"-0.132 (-0.202, -0.062)",<0.001,<0.001
TyG,TyG index,pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,1970,0.13192228593487956,0.034193652760036226,5.873157711159977e-4,0.13192228593487956,0.061988413737260745,0.20185615813249838,9.78859618526663e-4,"0.132 (0.062, 0.202)",<0.001,<0.001
TyG,TyG index,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,1970,0.12171096175138717,0.026190574744883795,6.757321346628271e-5,0.12171096175138717,0.06814522193865866,0.17527670156411568,3.3786606733141354e-4,"0.122 (0.068, 0.175)",<0.001,<0.001
ln_TG_HDL,ln(TG/HDL-C),ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,1969,0.010833756001271393,0.026600008888977258,0.6868965321720162,1.089265363786529,-4.27147759540043,6.750206888172383,0.6868965321720255,"1.089 (-4.271, 6.750)",0.687,0.687
ln_TG_HDL,ln(TG/HDL-C),ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,1969,0.010833756001271058,0.02660000888897727,0.6868965321720255,1.0892653637864846,-4.271477595400475,6.750206888172361,0.6868965321720255,"1.089 (-4.271, 6.750)",0.687,0.687
ln_TG_HDL,ln(TG/HDL-C),pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,1970,-0.13216413062697843,0.03920571177682571,0.002135510167779217,-12.380282751442683,-19.13174318367541,-5.065162117265276,0.0035591836129653617,"-12.380 (-19.132, -5.065)",0.002,0.004
ln_TG_HDL,ln(TG/HDL-C),pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,0.0035591836129653617,"14.130 (5.335, 23.658)",0.002,0.004
ln_TG_HDL,ln(TG/HDL-C),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,1970,0.1229521579474006,0.03058357744071858,3.786980337142873e-4,13.083031840973703,6.226319194201402,20.382332621054623,0.0018934901685714364,"13.083 (6.226, 20.382)",<0.001,0.002
