outcome,outcome_label,exposure,exposure_label,exposure_interpretation,n,events,beta,se,p_value,OR,OR_low,OR_high,q_value,OR_CI,p_value_fmt,q_value_fmt
obesity,Obesity,ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,4215,1716,0.07084341443190094,0.06589850937250391,0.2922332002620063,1.073413131703108,0.9374302615860983,1.2291215661879382,0.2922332002620094,"1.073 (0.937, 1.229)",0.292,0.292
obesity,Obesity,ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,4215,1716,0.07084341443190051,0.06589850937250394,0.2922332002620094,1.0734131317031075,0.9374302615860979,1.2291215661879378,0.2922332002620094,"1.073 (0.937, 1.229)",0.292,0.292
obesity,Obesity,pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,4216,1716,-0.4590841981507923,0.09575780527455917,5.2952103145440645e-5,0.6318620410442825,0.5191497066950582,0.7690452941874827,8.825350524241833e-5,"0.632 (0.519, 0.769)",<0.001,<0.001
obesity,Obesity,pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,4216,1716,0.4590841981507914,0.09575780527456045,5.2952103145451e-5,1.582623951182908,1.3003135284203562,1.926226649276311,8.825350524241833e-5,"1.583 (1.300, 1.926)",<0.001,<0.001
obesity,Obesity,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,4216,1716,0.44600680807957505,0.06085198347693453,6.959888833175426e-8,1.562062101140629,1.378710788642419,1.7697968478382036,3.479944416587713e-7,"1.562 (1.379, 1.770)",<0.001,<0.001
central_obesity,Central obesity,ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,4121,2420,0.13353136957662964,0.0727187517523993,0.07777817019154087,1.142857116516694,0.9841822699526678,1.3271143249061657,0.07777817019154327,"1.143 (0.984, 1.327)",0.078,0.078
central_obesity,Central obesity,ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,4121,2420,0.13353136957662828,0.07271875175239918,0.07777817019154327,1.1428571165166925,0.9841822699526667,1.3271143249061634,0.07777817019154327,"1.143 (0.984, 1.327)",0.078,0.078
central_obesity,Central obesity,pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,4122,2420,-0.3072854860148874,0.06879274503497443,1.2754059051077753e-4,0.7354406129245932,0.6386258377111963,0.8469323713512175,2.1256765085129824e-4,"0.735 (0.639, 0.847)",<0.001,<0.001
central_obesity,Central obesity,pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,4122,2420,0.30728548601488703,0.0687927450349744,1.2754059051077894e-4,1.3597290963077837,1.1807318197137444,1.5658621072770098,2.1256765085129824e-4,"1.360 (1.181, 1.566)",<0.001,<0.001
central_obesity,Central obesity,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,4122,2420,0.3413002363458093,0.06101134146901207,6.205042957335919e-6,1.4067755426121176,1.241245491404699,1.5943803550512743,3.1025214786679594e-5,"1.407 (1.241, 1.594)",<0.001,<0.001
metabolic_syndrome,Metabolic syndrome,ln_Sigma_DEHP,ln(ΣDEHP),per ln-unit increase in molar ΣDEHP,1008,623,0.19182563972403238,0.14934233946772205,0.20950375156145273,1.2114592681764145,0.8921791952751563,1.644998635053244,0.20950375156145773,"1.211 (0.892, 1.645)",0.210,0.210
metabolic_syndrome,Metabolic syndrome,ln_Sigma_DEHP_MECPP_equiv,"ln(ΣDEHP, MECPP-equivalent)",per ln-unit increase in MECPP-equivalent ΣDEHP,1008,623,0.1918256397240319,0.14934233946772332,0.20950375156145773,1.2114592681764138,0.8921791952751535,1.6449986350532473,0.20950375156145773,"1.211 (0.892, 1.645)",0.210,0.210
metabolic_syndrome,Metabolic syndrome,pct_MEHP_10,%MEHP per 10 percentage points,per 10 percentage-point increase in %MEHP,1008,623,-0.6648873820150824,0.17603896595767551,7.305283702297361e-4,0.5143314474163581,0.35882248147450235,0.7372359633497593,0.0012175472837162957,"0.514 (0.359, 0.737)",<0.001,0.001
metabolic_syndrome,Metabolic syndrome,pct_oxidative_10,%Oxidative metabolites per 10 percentage points,per 10 percentage-point increase in oxidative metabolite proportion,1008,623,0.664887382015086,0.17603896595767746,7.305283702297774e-4,1.9442715490629732,1.3564178223974945,2.786893384970548,0.0012175472837162957,"1.944 (1.356, 2.787)",<0.001,0.001
metabolic_syndrome,Metabolic syndrome,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),per ln-unit increase in oxidative-to-MEHP ratio,1008,623,0.5274113472950497,0.11707958663242347,1.0021763094136155e-4,1.6945400503706698,1.3336995619857333,2.1530081167867614,5.010881547068078e-4,"1.695 (1.334, 2.153)",<0.001,<0.001
