outcome,outcome_label,exposure,exposure_label,quartile,reference,n,beta,se,p_value,effect,effect_low,effect_high,p_trend,q_value,effect_CI,p_value_fmt,p_trend_fmt,q_value_fmt
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(ΣDEHP),Q2,Q1,1983,0.19800347809728794,0.05771312827276314,0.002021221514506516,21.896663349881184,8.260745757609822,37.250084800841286,4.5157876658268666e-4,0.002021221514506516,"21.897 (8.261, 37.250)",0.002,<0.001,0.002
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(ΣDEHP),Q3,Q1,1983,0.3029594756817071,0.07287871612461803,3.100828249354823e-4,35.385959909328776,16.55057689401902,57.26527168747959,4.5157876658268666e-4,6.113683977262117e-4,"35.386 (16.551, 57.265)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(ΣDEHP),Q4,Q1,1983,0.3104570183373239,0.07660770811005713,4.0757893181747444e-4,36.40483668190095,16.531055124853154,59.66799107998308,4.5157876658268666e-4,6.113683977262117e-4,"36.405 (16.531, 59.668)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),pct_oxidative,%Oxidative metabolites,Q2,Q1,1984,0.14161416872169677,0.07084087140038002,0.055761525920094965,15.21320341939334,-0.3732310581324061,33.23810842348966,3.340759602744633e-5,0.055761525920094965,"15.213 (-0.373, 33.238)",0.056,<0.001,0.056
ln_HOMA_IR,ln(HOMA-IR),pct_oxidative,%Oxidative metabolites,Q3,Q1,1984,0.21907667299097783,0.07627032099175618,0.007837381281855146,24.49267252838956,6.458271010149752,45.582164412412965,3.340759602744633e-5,0.011756071922782718,"24.493 (6.458, 45.582)",0.008,<0.001,0.012
ln_HOMA_IR,ln(HOMA-IR),pct_oxidative,%Oxidative metabolites,Q4,Q1,1984,0.40422503960530975,0.07947958552030479,2.4179594842827762e-5,49.81410500965497,27.270734678590824,76.35056571744174,3.340759602744633e-5,7.253878452848329e-5,"49.814 (27.271, 76.351)",<0.001,<0.001,<0.001
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),Q2,Q1,1984,0.14161416872169677,0.07084087140038002,0.055761525920094965,15.21320341939334,-0.3732310581324061,33.23810842348966,3.340759602744633e-5,0.055761525920094965,"15.213 (-0.373, 33.238)",0.056,<0.001,0.056
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),Q3,Q1,1984,0.21907667299097783,0.07627032099175618,0.007837381281855146,24.49267252838956,6.458271010149752,45.582164412412965,3.340759602744633e-5,0.011756071922782718,"24.493 (6.458, 45.582)",0.008,<0.001,0.012
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),Q4,Q1,1984,0.40422503960530975,0.07947958552030479,2.4179594842827762e-5,49.81410500965497,27.270734678590824,76.35056571744174,3.340759602744633e-5,7.253878452848329e-5,"49.814 (27.271, 76.351)",<0.001,<0.001,<0.001
HbA1c,HbA1c,ln_Sigma_DEHP,ln(ΣDEHP),Q2,Q1,4124,0.1744914164360984,0.045613452479328055,8.18072644009775e-4,0.1744914164360984,0.08034987747312493,0.26863295539907184,0.0025450100809190556,0.0010304049974432688,"0.174 (0.080, 0.269)",<0.001,0.003,0.001
HbA1c,HbA1c,ln_Sigma_DEHP,ln(ΣDEHP),Q3,Q1,4124,0.22480497643852487,0.058600846504482475,7.962275453048015e-4,0.22480497643852487,0.10385877362773879,0.345751179249311,0.0025450100809190556,0.0010304049974432688,"0.225 (0.104, 0.346)",<0.001,0.003,0.001
