outcome,outcome_label,exposure,exposure_label,contrast,n,events,p0_weighted,beta,se,p_value,OR,OR_low,OR_high,RR_approx,RR_low_approx,RR_high_approx,E_value_point,E_value_CI,q_value,OR_CI,RR_approx_CI,p_value_fmt,q_value_fmt,interpretation
high_HOMA_IR_q75,"High HOMA-IR, top quartile",ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,931,218,0.12731466989965698,0.4279004075388019,0.3059173196218214,0.17286897777698115,1.5340332952081215,0.8197606965645327,2.870664769205406,1.436373845744224,0.8390136325165932,2.3184868329227144,2.228078322802317,1,0.21608622222122645,"1.534 (0.820, 2.871)","1.436 (0.839, 2.318)",0.173,0.216,"Point estimate shows sensitivity, but CI includes null"
high_HOMA_IR_q75,"High HOMA-IR, top quartile",pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,1006,267,0.16436210162311232,0.7719590448922516,0.20461839577983384,7.389141464786088e-4,2.164001479977454,1.4239966159077653,3.2885628751016154,1.8164771885081366,1.3312249161758234,2.389678230476797,3.0343081241729717,1.995254178536681,0.003694570732393044,"2.164 (1.424, 3.289)","1.816 (1.331, 2.390)",<0.001,0.004,Relatively robust to moderate unmeasured confounding
high_HOMA_IR_q75,"High HOMA-IR, top quartile",ln_URXMHH,MEHHP,Q4 vs Q1,942,220,0.131419510333539,0.6146136830974891,0.2916958580791359,0.04420029601933117,1.8489421839543734,1.017248877237821,3.3606202730728034,1.663364639554573,1.014948153180809,2.5649056050230645,2.713801350911303,1.1381212040658386,0.11050074004832793,"1.849 (1.017, 3.361)","1.663 (1.015, 2.565)",0.044,0.111,Relatively robust to moderate unmeasured confounding
high_HOMA_IR_q75,"High HOMA-IR, top quartile",ln_URXMOH,MEOHP,Q4 vs Q1,930,224,0.14803301348763417,0.10306041670695648,0.28848744955700467,0.7235877351096054,1.1085583824997696,0.6139269478944861,2.001706704071432,1.0910253600280695,0.6511406500875645,1.7432131831420197,1.406161800631674,1,0.7235877351096054,"1.109 (0.614, 2.002)","1.091 (0.651, 1.743)",0.724,0.724,"Point estimate shows sensitivity, but CI includes null"
high_HOMA_IR_q75,"High HOMA-IR, top quartile",ln_URXECP,MECPP,Q4 vs Q1,924,218,0.13169814467347168,0.4336791648723874,0.27359147252226396,0.12416656154511584,1.5429237645545293,0.8809560318579934,2.7023071040290763,1.4399634242114854,0.8949875297676031,2.207423346820387,2.235910180505762,1,0.20694426924185974,"1.543 (0.881, 2.702)","1.440 (0.895, 2.207)",0.124,0.207,"Point estimate shows sensitivity, but CI includes null"
high_HOMA_IR_2_5,High HOMA-IR >= 2.5,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,931,442,0.31815353934817714,0.3664792514009754,0.26474830346707967,0.17721466138423636,1.442646467346673,0.8387579903874862,2.481322209266057,1.264559179463311,0.884112721981166,1.686496710038245,1.8429627919188452,1,0.2953577689737273,"1.443 (0.839, 2.481)","1.265 (0.884, 1.686)",0.177,0.295,"Point estimate shows sensitivity, but CI includes null"
high_HOMA_IR_2_5,High HOMA-IR >= 2.5,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,1006,511,0.347464555368113,0.9520144158270808,0.19527004984205779,3.586550295422447e-5,2.5909236035405656,1.7378388858760614,3.8627775992016664,1.6685606769026777,1.3832190591120308,1.9365072345217682,2.7247491333834537,2.1112821788885654,1.7932751477112233e-4,"2.591 (1.738, 3.863)","1.669 (1.383, 1.937)",<0.001,<0.001,Relatively robust to moderate unmeasured confounding
high_HOMA_IR_2_5,High HOMA-IR >= 2.5,ln_URXMHH,MEHHP,Q4 vs Q1,942,441,0.31181962141768244,0.5636790414800845,0.23310854418437654,0.022357130552060556,1.757125159565041,1.090000150984917,2.832558163947625,1.4215228360735281,1.060245616267796,1.8025381358525003,2.195605736934281,1.3129809532258132,0.05589282638015139,"1.757 (1.090, 2.833)","1.422 (1.060, 1.803)",0.022,0.056,Moderately robust
high_HOMA_IR_2_5,High HOMA-IR >= 2.5,ln_URXMOH,MEOHP,Q4 vs Q1,930,445,0.33705933337994226,0.05821579649697487,0.2552063628746879,0.8212163574295369,1.0599437031704004,0.6284173646622442,1.7877937769819896,1.0389521073891623,0.7183927484699163,1.4126802149266895,1.240122120212195,1,0.8212163574295369,"1.060 (0.628, 1.788)","1.039 (0.718, 1.413)",0.821,0.821,"Point estimate shows sensitivity, but CI includes null"
high_HOMA_IR_2_5,High HOMA-IR >= 2.5,ln_URXECP,MECPP,Q4 vs Q1,924,445,0.3281447045291841,0.313302970352799,0.2761056524659053,0.26611315852352446,1.3679359122777681,0.7770319420123946,2.4082004341455514,1.2205690209499929,0.838372096691375,1.6470905648731595,1.7394328893710185,1,0.33264144815440555,"1.368 (0.777, 2.408)","1.221 (0.838, 1.647)",0.266,0.333,"Point estimate shows sensitivity, but CI includes null"
elevated_HbA1c_5_7,HbA1c >= 5.7%,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,2062,841,0.2523879329339805,0.6636656199790734,0.26499707934919897,0.018867465039880526,1.9418975624153132,1.1263207220279814,3.3480393898149847,1.5689266938557938,1.0915210382976455,2.1022253268374738,2.513704062783245,1.4075861245516077,0.023584331299850658,"1.942 (1.126, 3.348)","1.569 (1.092, 2.102)",0.019,0.024,Relatively robust to moderate unmeasured confounding
elevated_HbA1c_5_7,HbA1c >= 5.7%,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,2068,886,0.25094205273316417,0.6355186135842471,0.1418009526780723,1.2253571690643852e-4,1.8880010305857324,1.411378789680835,2.525578475144057,1.5439517590210954,1.2793124975432832,1.8263815496674642,2.46037702884032,1.87708165769388,6.126785845321926e-4,"1.888 (1.411, 2.526)","1.544 (1.279, 1.826)",<0.001,<0.001,Moderately robust
elevated_HbA1c_5_7,HbA1c >= 5.7%,ln_URXMHH,MEHHP,Q4 vs Q1,2061,842,0.2539454389597619,0.732070909088244,0.23225234574304465,0.004056335904588184,2.0793823636988185,1.2900350328069925,3.351715964684652,1.6320347407606128,1.2015380613939048,2.098484933568519,2.6476639320942157,1.6936311944330869,0.01014083976147046,"2.079 (1.290, 3.352)","1.632 (1.202, 2.098)",0.004,0.010,Relatively robust to moderate unmeasured confounding
elevated_HbA1c_5_7,HbA1c >= 5.7%,ln_URXMOH,MEOHP,Q4 vs Q1,2074,847,0.26270066017519866,0.5162902610307529,0.269567976603496,0.06652167821869193,1.6757993260498565,0.962891395701519,2.916531805898162,1.4231443424106631,0.9723705056709876,1.9398615971069193,2.199156891874147,1,0.06652167821869193,"1.676 (0.963, 2.917)","1.423 (0.972, 1.940)",0.067,0.067,"Point estimate shows sensitivity, but CI includes null"
elevated_HbA1c_5_7,HbA1c >= 5.7%,ln_URXECP,MECPP,Q4 vs Q1,2057,843,0.2567852295501886,0.6568926876970591,0.2445209319016168,0.012417152934087112,1.9287896612975473,1.1668090483327689,3.1883790778311774,1.5573601068517087,1.1188827145116071,2.0412897350565067,2.489030861765405,1.48359604621372,0.020695254890145186,"1.929 (1.167, 3.188)","1.557 (1.119, 2.041)",0.012,0.021,Moderately robust
diabetes_range_HbA1c_6_5,HbA1c >= 6.5%,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,2062,268,0.054640204703443974,0.8107607309712712,0.3383415436395528,0.02404846485945633,2.2496186905126994,1.122198522478297,4.509704968714165,2.1058335920201063,1.1147553541716393,3.784036510799617,3.6318419554507257,1.472420204950546,0.04008077476576055,"2.250 (1.122, 4.510)","2.106 (1.115, 3.784)",0.024,0.040,Relatively robust to moderate unmeasured confounding
diabetes_range_HbA1c_6_5,HbA1c >= 6.5%,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,2068,307,0.06089058149473615,0.4443428580316453,0.18163972635511166,0.021230280461411132,1.5594650690975698,1.0742781251120452,2.2637818316200398,1.5080902358085913,1.069441215497416,2.102025873490703,2.383444977346341,1.341954147130347,0.04008077476576055,"1.559 (1.074, 2.264)","1.508 (1.069, 2.102)",0.021,0.040,Moderately robust
diabetes_range_HbA1c_6_5,HbA1c >= 6.5%,ln_URXMHH,MEHHP,Q4 vs Q1,2061,264,0.05525578913633291,0.6435190983792933,0.28483514593274545,0.03247824437562692,1.9031665389410402,1.059748982114627,3.417830954380706,1.8127032569244954,1.056261758048789,3.015026018784593,3.0264535775177293,1.3000385893259419,0.04059780546953365,"1.903 (1.060, 3.418)","1.813 (1.056, 3.015)",0.032,0.041,Relatively robust to moderate unmeasured confounding
diabetes_range_HbA1c_6_5,HbA1c >= 6.5%,ln_URXMOH,MEOHP,Q4 vs Q1,2074,269,0.06055967866639329,0.35527382304461896,0.3557222288060206,0.3271258865115343,1.4265712288821348,0.6866547294967152,2.963797354990795,1.3906466314377925,0.6999367922868509,2.648785418920092,2.127702546610778,1,0.3271258865115343,"1.427 (0.687, 2.964)","1.391 (0.700, 2.649)",0.327,0.327,"Point estimate shows sensitivity, but CI includes null"
diabetes_range_HbA1c_6_5,HbA1c >= 6.5%,ln_URXECP,MECPP,Q4 vs Q1,2057,273,0.05515557641168133,0.8919880359087785,0.3537191618500973,0.018140896800931047,2.4399755918350325,1.179284484759582,5.048383969847987,2.2604449846060803,1.167737269117042,4.126887364040546,3.9483924197546703,1.610312754845618,0.04008077476576055,"2.440 (1.179, 5.048)","2.260 (1.168, 4.127)",0.018,0.040,Relatively robust to moderate unmeasured confounding
obesity,Obesity,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,2103,823,0.29851653699881203,0.13825889388477855,0.2010754769359608,0.4977951959274044,1.1482727925994698,0.7595283212197751,1.735985834085387,1.0996023257728889,0.8182674653026942,1.4232845968899221,1.4305448420385654,1,0.6222439949092555,"1.148 (0.760, 1.736)","1.100 (0.818, 1.423)",0.498,0.622,"Point estimate shows sensitivity, but CI includes null"
obesity,Obesity,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,2112,891,0.29414938228011195,0.849649013503318,0.13267033534940711,7.345531073881502e-7,2.3388258115694285,1.7814577161325185,3.0705787329821113,1.6780033014271132,1.4484982295585975,1.9083065718467993,2.7446296550173375,2.254506226712344,3.672765536940751e-6,"2.339 (1.781, 3.071)","1.678 (1.448, 1.908)",<0.001,<0.001,Relatively robust to moderate unmeasured confounding
obesity,Obesity,ln_URXMHH,MEHHP,Q4 vs Q1,2105,805,0.2953398241456985,0.13110787525354015,0.1769384114128913,0.46534553613930374,1.140090762258608,0.7924750643784857,1.6401865555313255,1.0947943246552678,0.8442174723676048,1.379383039011276,1.4169438064833721,1,0.6222439949092555,"1.140 (0.792, 1.640)","1.095 (0.844, 1.379)",0.465,0.622,"Point estimate shows sensitivity, but CI includes null"
obesity,Obesity,ln_URXMOH,MEOHP,Q4 vs Q1,2117,837,0.31478722015907895,0.03525458368603789,0.18410829696652106,0.8496306323470846,1.0358833942460053,0.7095066280061234,1.5123951829599591,1.024313128126554,0.7809164393337173,1.302334540362433,1.1821239526154095,1,0.8496306323470846,"1.036 (0.710, 1.512)","1.024 (0.781, 1.302)",0.850,0.850,"Point estimate shows sensitivity, but CI includes null"
obesity,Obesity,ln_URXECP,MECPP,Q4 vs Q1,2100,826,0.29205702989365717,0.2433976377612213,0.21883926766738362,0.276221724463933,1.275575740369161,0.8134808285225859,2.000162035008742,1.1805597661940108,0.8603476064229723,1.5479880009784583,1.642254032307471,1,0.6222439949092555,"1.276 (0.813, 2.000)","1.181 (0.860, 1.548)",0.276,0.622,"Point estimate shows sensitivity, but CI includes null"
central_obesity,Central obesity,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,2051,1199,0.5251139417321046,0.44428979067256574,0.2138090753805524,0.047724385289071386,1.5593823146005767,1.0048104753428198,2.42003170026608,1.2053294904185896,1.0022786716407601,1.386298667581883,1.7028128469785324,1.05006846119048,0.07954064214845231,"1.559 (1.005, 2.420)","1.205 (1.002, 1.386)",0.048,0.080,Limited robustness
central_obesity,Central obesity,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,2064,1243,0.497053955483661,0.7223156422467356,0.12458458530562341,3.610447265615947e-6,2.0591960553735102,1.594705673094466,2.658978685538696,1.348985448768838,1.230861901506449,1.4572924974647399,2.035116844509643,1.7639276751907311,1.8052236328079735e-5,"2.059 (1.595, 2.659)","1.349 (1.231, 1.457)",<0.001,<0.001,Moderately robust
central_obesity,Central obesity,ln_URXMHH,MEHHP,Q4 vs Q1,2052,1185,0.5384358869498475,0.288785253039212,0.20453538885010805,0.16983389704445612,1.3348050524199468,0.8766536767475456,2.0323926942006127,1.1309309385871864,0.9390176785071885,1.3062679978517395,1.515734588864192,1,0.16983389704445612,"1.335 (0.877, 2.032)","1.131 (0.939, 1.306)",0.170,0.170,"Point estimate shows sensitivity, but CI includes null"
central_obesity,Central obesity,ln_URXMOH,MEOHP,Q4 vs Q1,2067,1228,0.53701874177473,0.31979671958183764,0.22397941083169523,0.16525285143079532,1.376847849679708,0.8688371652525603,2.181893313249988,1.1451074621081045,0.9346726066306201,1.3347371596372781,1.5527392048214996,1,0.16983389704445612,"1.377 (0.869, 2.182)","1.145 (0.935, 1.335)",0.165,0.170,"Point estimate shows sensitivity, but CI includes null"
central_obesity,Central obesity,ln_URXECP,MECPP,Q4 vs Q1,2048,1195,0.5079577820449191,0.6230250093374834,0.24613694356905694,0.017754473485590033,1.8645598303424729,1.1242130456386,3.0924595426233523,1.2955890712976044,1.0574906884548485,1.4990973208278022,1.9144282833456003,1.3040588691146022,0.04438618371397508,"1.865 (1.124, 3.092)","1.296 (1.057, 1.499)",0.018,0.044,Limited robustness
metabolic_syndrome,Metabolic syndrome,ln_Sigma_DEHP,ln(Sigma DEHP),Q4 vs Q1,464,272,0.5434497510971307,0.6493691702455239,0.4587920951523796,0.16838627115908372,1.9143328299239848,0.7467726795734131,4.907343672264739,1.278870043802874,0.8659401848369468,1.571131797384246,1.8760622617139004,1,0.21048283894885467,"1.914 (0.747, 4.907)","1.279 (0.866, 1.571)",0.168,0.210,"Point estimate shows sensitivity, but CI includes null"
metabolic_syndrome,Metabolic syndrome,pct_oxidative_10,%Oxidative per 10 percentage points,Q4 vs Q1,500,319,0.47846479384915147,1.3497416404497151,0.286716401959088,6.168005205853909e-5,3.8564290567014354,2.14347793910647,6.938277645894822,1.6294536068356142,1.3854687031559922,1.8062519705966267,2.6422050324055704,2.1162592506241125,3.084002602926954e-4,"3.856 (2.143, 6.938)","1.629 (1.385, 1.806)",<0.001,<0.001,Relatively robust to moderate unmeasured confounding
metabolic_syndrome,Metabolic syndrome,ln_URXMHH,MEHHP,Q4 vs Q1,465,271,0.5323058671121799,0.7078496377754901,0.4130136831221087,0.098013686142211065,2.029622139956654,0.8697195801313852,4.736430138068102,1.3110628194690261,0.9345282065038013,1.5846607802513026,1.9496729486754507,1,0.16335614357035178,"2.030 (0.870, 4.736)","1.311 (0.935, 1.585)",0.098,0.163,"Point estimate shows sensitivity, but CI includes null"
metabolic_syndrome,Metabolic syndrome,ln_URXMOH,MEOHP,Q4 vs Q1,477,276,0.5095744404492782,0.8436558680631998,0.4076977313429695,0.048210974879810665,2.3248508072674943,1.0071546947919396,5.3665353535078175,1.3878793967424046,1.0034960989458253,1.6640033706371082,2.121589028108694,1.06272718583155,0.12052743719952666,"2.325 (1.007, 5.367)","1.388 (1.003, 1.664)",0.048,0.121,Moderately robust
metabolic_syndrome,Metabolic syndrome,ln_URXECP,MECPP,Q4 vs Q1,460,270,0.5446748055609879,0.44134644676977064,0.4504979446683517,0.33563075123437813,1.5547992642281399,0.617882628889203,3.9123947478346195,1.193992441684641,0.7802826203272646,1.512733472887477,1.6752673206419888,1,0.33563075123437813,"1.555 (0.618, 3.912)","1.194 (0.780, 1.513)",0.336,0.336,"Point estimate shows sensitivity, but CI includes null"
