group,pollutant,label,exposure,n,beta,se,percent_change,percent_low,percent_high,percent_CI,p_value,p_value_fmt
Bisphenols,URXBPH,BPA,ln_URXBPH,612,0.027196133150423223,0.05626385671373618,2.756932340908236,-12.104130774425325,20.13064137309526,"2.76% (-12.10%, 20.13%)",0.6541019438880962,0.654
Bisphenols,URXBPF,BPF,ln_URXBPF,612,0.044725238947866286,0.03309260170905512,4.5740491673974315,-4.606004816637121,14.63752763730033,"4.57% (-4.61%, 14.64%)",0.2479060856931474,0.248
Bisphenols,URXBPS,BPS,ln_URXBPS,612,0.032537095939212834,0.037521846395676926,3.3072215217269774,-6.913428624419938,14.65007101270157,"3.31% (-6.91%, 14.65%)",0.434781999638692,0.435
Phthalates,URXMEP,MEP,ln_URXMEP,613,-0.03111349832067797,0.033352473724014856,-3.0634454529364197,-11.636819274498,6.341753774645498,"-3.06% (-11.64%, 6.34%)",0.40369726976315706,0.404
Phthalates,URXMBP,MBP,ln_URXMBP,613,0.0384627250986086,0.05590477813840635,3.921199111153162,-11.019578403819107,21.370695159343533,"3.92% (-11.02%, 21.37%)",0.529271054212576,0.529
Phthalates,URXMIB,MiBP,ln_URXMIB,613,-0.05255931994520671,0.05402109651535424,-5.120196326112514,-18.33510260871619,10.233128709670636,"-5.12% (-18.34%, 10.23%)",0.38567595816832784,0.386
Phthalates,URXMHP,MEHP,ln_URXMHP,613,0.09406107593239678,0.07685370777831341,9.862684352695283,-11.247538680974312,35.99408099561716,"9.86% (-11.25%, 35.99%)",0.28815087078563933,0.288
Phthalates,URXMHH,MEHHP,ln_URXMHH,613,0.16213162080374116,0.055106893868462965,17.601501917681905,0.917216389805886,37.0441412085122,"17.60% (0.92%, 37.04%)",0.042299330833469644,0.042
Phthalates,URXMOH,MEOHP,ln_URXMOH,613,0.14076577896986855,0.05801787736744666,15.115499169839385,-2.0112659560460044,35.23573172378307,"15.12% (-2.01%, 35.24%)",0.07227325541965075,0.072
Phthalates,URXECP,MECPP,ln_URXECP,613,0.12993863726327548,0.05278317045410831,13.875850384238152,-1.647373707952171,31.849141091841695,"13.88% (-1.65%, 31.85%)",0.06956092873080687,0.070
Phthalates,URXMZP,MBzP,ln_URXMZP,613,-0.03383010728835244,0.06419891158834229,-3.3264267958444727,-19.1095860175588,15.536307653066238,"-3.33% (-19.11%, 15.54%)",0.6260943034497057,0.626
Plasticizers,URXCOP,MCOP,ln_URXCOP,613,0.0675865774531714,0.054767507745991484,6.992288678675895,-8.100298189800604,24.56351447519762,"6.99% (-8.10%, 24.56%)",0.2847279704688326,0.285
Plasticizers,URXCNP,MCNP,ln_URXCNP,613,0.018827331460255826,0.06774501367392172,1.9005683202689916,-15.571315649739137,22.98812783716826,"1.90% (-15.57%, 22.99%)",0.7948513271526952,0.795
Plasticizers,URXMNP,MNP,ln_URXMNP,613,0.25223570684094754,0.1310929150147744,28.689933251534082,-10.572019820627855,85.18923145828079,"28.69% (-10.57%, 85.19%)",0.12667248954950366,0.127
Plasticizers,URXMONP,MONP,ln_URXMONP,613,0.0924033953684049,0.07397527196773852,9.680717978865294,-10.683584105310251,34.68811724983936,"9.68% (-10.68%, 34.69%)",0.2797318539193319,0.280
