outcome,outcome_label,group,pollutant,label,exposure,n,events,OR,OR_low,OR_high,OR_CI,p_value,p_value_fmt,beta,se
obesity,Obesity,Bisphenols,URXBPH,BPA,ln_URXBPH,1340,563,0.8852510528782334,0.7560403543983644,1.036544441130583,"0.885 (0.756, 1.037)",0.20455906239228755,0.205,-0.12188399863388877,0.08049822793852
obesity,Obesity,Bisphenols,URXBPF,BPF,ln_URXBPF,1339,562,1.1508285675334218,0.9858291649509067,1.3434441168282758,"1.151 (0.986, 1.343)",0.14981704523315573,0.150,0.14048217645163955,0.07895631456193249
obesity,Obesity,Bisphenols,URXBPS,BPS,ln_URXBPS,1336,559,0.9622026840602433,0.8482860433621124,1.0914172317904336,"0.962 (0.848, 1.091)",0.5812501788985488,0.581,-0.03853016021719974,0.0642894002885383
obesity,Obesity,Phthalates,URXMEP,MEP,ln_URXMEP,1342,563,0.8332575368695587,0.7322947719765636,0.9481402152795174,"0.833 (0.732, 0.948)",0.05042837063893655,0.050,-0.18241251668720976,0.06589777318163904
obesity,Obesity,Phthalates,URXMBP,MBP,ln_URXMBP,1342,563,0.8618067473661574,0.6658407299537193,1.1154482391869593,"0.862 (0.666, 1.115)",0.32167272272469083,0.322,-0.14872422444353744,0.1316227330670318
obesity,Obesity,Phthalates,URXMIB,MiBP,ln_URXMIB,1342,563,1.0088874669384587,0.8226044875553263,1.2373551765690327,"1.009 (0.823, 1.237)",0.9363764786531267,0.936,0.008848205853756671,0.10414692536907891
obesity,Obesity,Phthalates,URXMHP,MEHP,ln_URXMHP,1342,563,0.9081185155839567,0.7208357871732057,1.1440597886800692,"0.908 (0.721, 1.144)",0.45933419428537736,0.459,-0.09638038512745253,0.11783854058756778
obesity,Obesity,Phthalates,URXMHH,MEHHP,ln_URXMHH,1342,563,1.0031111161740989,0.8010183512199506,1.2561908349035398,"1.003 (0.801, 1.256)",0.9797066790129657,0.980,0.0031062866663549246,0.11478454513041694
obesity,Obesity,Phthalates,URXMOH,MEOHP,ln_URXMOH,1342,563,0.9678940733610633,0.7728250429262971,1.212200543735245,"0.968 (0.773, 1.212)",0.7903778921895382,0.790,-0.032632626039287294,0.11483161486053854
obesity,Obesity,Phthalates,URXECP,MECPP,ln_URXECP,1342,563,1.060577404144331,0.8047616764636119,1.3977112269117695,"1.061 (0.805, 1.398)",0.6976632281806019,0.698,0.05881348070828421,0.14082784703417806
obesity,Obesity,Phthalates,URXMZP,MBzP,ln_URXMZP,1342,563,1.0283794284190748,0.8377659687151423,1.2623623879321562,"1.028 (0.838, 1.262)",0.8022710356270875,0.802,0.027984192727489688,0.10459218563331414
obesity,Obesity,Plasticizers,URXCOP,MCOP,ln_URXCOP,1342,563,0.9837325947224745,0.8523008711995875,1.1354321585490836,"0.984 (0.852, 1.135)",0.8336246160373704,0.834,-0.016401172192329637,0.07317066688126092
obesity,Obesity,Plasticizers,URXCNP,MCNP,ln_URXCNP,1342,563,0.9758843163649622,0.7982922730864404,1.1929843630391592,"0.976 (0.798, 1.193)",0.8234345734402431,0.823,-0.02441122790866829,0.10248431820348514
obesity,Obesity,Plasticizers,URXMNP,MNP,ln_URXMNP,1342,563,1.080214105409745,0.761932296627792,1.5314517033738422,"1.080 (0.762, 1.531)",0.6871668674948457,0.687,0.07715926723780024,0.1780902265563646
obesity,Obesity,Plasticizers,URXMONP,MONP,ln_URXMONP,1342,563,0.9934273342391667,0.8059055722433993,1.224582509916527,"0.993 (0.806, 1.225)",0.9536985127059022,0.954,-0.006594360843705431,0.10673180536768657
central_obesity,Central obesity,Bisphenols,URXBPH,BPA,ln_URXBPH,1311,763,0.9591370857233112,0.7835558678667096,1.174062995296588,"0.959 (0.784, 1.174)",0.7065838723132576,0.707,-0.041721267783494886,0.1031590032832463
central_obesity,Central obesity,Bisphenols,URXBPF,BPF,ln_URXBPF,1310,763,1.0939046817899687,0.9520069638260489,1.2569524155924776,"1.094 (0.952, 1.257)",0.274170308989277,0.274,0.08975357204117626,0.07088597005886399
central_obesity,Central obesity,Bisphenols,URXBPS,BPS,ln_URXBPS,1309,760,1.006790013128333,0.869817151684682,1.1653324248340406,"1.007 (0.870, 1.165)",0.9320936792304683,0.932,0.006767064810212373,0.0746119003622484
central_obesity,Central obesity,Phthalates,URXMEP,MEP,ln_URXMEP,1313,764,0.8670359119820272,0.7630335314878798,0.9852139409923779,"0.867 (0.763, 0.985)",0.09384935575142124,0.094,-0.14267488208822357,0.06519307126067647
central_obesity,Central obesity,Phthalates,URXMBP,MBP,ln_URXMBP,1313,764,0.9315123751046805,0.7204446222359082,1.2044163814842541,"0.932 (0.720, 1.204)",0.6171088623160377,0.617,-0.0709458038922075,0.13109230754610077
central_obesity,Central obesity,Phthalates,URXMIB,MiBP,ln_URXMIB,1313,764,0.9732522208650036,0.8028059082812137,1.1798865400064567,"0.973 (0.803, 1.180)",0.7962163286593046,0.796,-0.02711201058818661,0.09822974076832006
central_obesity,Central obesity,Phthalates,URXMHP,MEHP,ln_URXMHP,1313,764,0.9948300977124318,0.7839294539439804,1.2624693693231863,"0.995 (0.784, 1.262)",0.9680315185065349,0.968,-0.005183312471929187,0.12155761858303729
central_obesity,Central obesity,Phthalates,URXMHH,MEHHP,ln_URXMHH,1313,764,1.1200372960802136,0.8863432328985676,1.4153473485753323,"1.120 (0.886, 1.415)",0.3961440804858973,0.396,0.11336198482418733,0.11939438376105806
central_obesity,Central obesity,Phthalates,URXMOH,MEOHP,ln_URXMOH,1313,764,1.0932154273868393,0.8707369842702264,1.3725384269490195,"1.093 (0.871, 1.373)",0.48547457329425586,0.485,0.08912328710798482,0.11609112483606979
central_obesity,Central obesity,Phthalates,URXECP,MECPP,ln_URXECP,1313,764,1.2065502505885413,0.9374171828740645,1.5529515927284248,"1.207 (0.937, 1.553)",0.21855277539617576,0.219,0.18776525510251388,0.12877148898459395
central_obesity,Central obesity,Phthalates,URXMZP,MBzP,ln_URXMZP,1313,764,0.971358093734777,0.8058568883041479,1.1708487697482441,"0.971 (0.806, 1.171)",0.7756264071325512,0.776,-0.029060090072313288,0.09530052046110825
central_obesity,Central obesity,Plasticizers,URXCOP,MCOP,ln_URXCOP,1313,764,1.0166977739079588,0.8312382727893746,1.2435355749449704,"1.017 (0.831, 1.244)",0.8797796366115895,0.880,0.016559898769640074,0.10275443561417745
central_obesity,Central obesity,Plasticizers,URXCNP,MCNP,ln_URXCNP,1313,764,0.958240267534431,0.7439156473170849,1.2343125374980533,"0.958 (0.744, 1.234)",0.7577907874926433,0.758,-0.042656731272469904,0.1291688247786967
central_obesity,Central obesity,Plasticizers,URXMNP,MNP,ln_URXMNP,1313,764,1.2820076885530258,0.8143840492434065,2.0181433011071204,"1.282 (0.814, 2.018)",0.3436542451723243,0.344,0.2484273557917471,0.23150539544335821
central_obesity,Central obesity,Plasticizers,URXMONP,MONP,ln_URXMONP,1313,764,1.105051660350124,0.8292783679505518,1.47253228739156,"1.105 (0.829, 1.473)",0.5326993581018048,0.533,0.09989208532497726,0.14647524382627514
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPH,BPA,ln_URXBPH,322,208,1.1566188840361382,0.7006712633937947,1.9092651758391628,"1.157 (0.701, 1.909)",0.5997965910486528,0.600,0.14550099380576975,0.2557231885386224
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPF,BPF,ln_URXBPF,322,208,1.128886159219705,0.8824360650582835,1.444165771254653,"1.129 (0.882, 1.444)",0.3893110282829166,0.389,0.12123144679715217,0.12566346281750537
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPS,BPS,ln_URXBPS,322,207,0.9817667043883489,0.7577690723927284,1.27197835984789,"0.982 (0.758, 1.272)",0.8959685066412766,0.896,-0.018401570758305084,0.13213011369046845
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMEP,MEP,ln_URXMEP,323,208,1.0654834159382802,0.7881571006716362,1.4403916537351336,"1.065 (0.788, 1.440)",0.7012201937661853,0.701,0.063428607853782,0.15381961760933818
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMBP,MBP,ln_URXMBP,323,208,0.6708917454772468,0.4118482379284966,1.0928679370182244,"0.671 (0.412, 1.093)",0.18413458080519618,0.184,-0.39914748814490003,0.24895554280071108
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMIB,MiBP,ln_URXMIB,323,208,0.8748878295517296,0.588945375634398,1.2996599446480663,"0.875 (0.589, 1.300)",0.5441958154592387,0.544,-0.13365959564020133,0.20191951267829378
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMHP,MEHP,ln_URXMHP,323,208,1.0571581968612285,0.7442434768010497,1.5016368809768348,"1.057 (0.744, 1.502)",0.7717499749588937,0.772,0.05558436159393907,0.17906704362957457
