outcome,outcome_label,group,pollutant,label,exposure,n,events,OR,OR_low,OR_high,OR_CI,p_value,p_value_fmt,beta,se,df_resid
obesity,Obesity,Bisphenols,URXBPH,BPA,ln_URXBPH,1340,563,0.8852510528782334,0.7079492210290745,1.1069571140750452,"0.885 (0.708, 1.107)",0.20455906239228755,0.205,-0.12188399863388877,0.08049822793852,4
obesity,Obesity,Bisphenols,URXBPF,BPF,ln_URXBPF,1339,562,1.1508285675334218,0.9242841835813006,1.432899551217444,"1.151 (0.924, 1.433)",0.14981704523315573,0.150,0.14048217645163955,0.07895631456193249,4
obesity,Obesity,Bisphenols,URXBPS,BPS,ln_URXBPS,1336,559,0.9622026840602433,0.8049089198852513,1.1502344952826766,"0.962 (0.805, 1.150)",0.5812501788985488,0.581,-0.03853016021719974,0.0642894002885383,4
obesity,Obesity,Phthalates,URXMEP,MEP,ln_URXMEP,1342,563,0.8332575368695587,0.6939370237417296,1.0005491838526492,"0.833 (0.694, 1.001)",0.05042837063893655,0.050,-0.18241251668720976,0.06589777318163904,4
obesity,Obesity,Phthalates,URXMBP,MBP,ln_URXMBP,1342,563,0.8618067473661574,0.5979982105661659,1.2419951375818676,"0.862 (0.598, 1.242)",0.32167272272469083,0.322,-0.14872422444353744,0.1316227330670318,4
obesity,Obesity,Phthalates,URXMIB,MiBP,ln_URXMIB,1342,563,1.0088874669384587,0.755549473241109,1.3471704461379255,"1.009 (0.756, 1.347)",0.9363764786531267,0.936,0.008848205853756671,0.10414692536907891,4
obesity,Obesity,Phthalates,URXMHP,MEHP,ln_URXMHP,1342,563,0.9081185155839567,0.6547167207209698,1.25959703219169,"0.908 (0.655, 1.260)",0.45933419428537736,0.459,-0.09638038512745253,0.11783854058756778,4
obesity,Obesity,Phthalates,URXMHH,MEHHP,ln_URXMHH,1342,563,1.0031111161740989,0.7293608313922075,1.3796078265833744,"1.003 (0.729, 1.380)",0.9797066790129657,0.980,0.0031062866663549246,0.11478454513041694,4
obesity,Obesity,Phthalates,URXMOH,MEOHP,ln_URXMOH,1342,563,0.9678940733610633,0.7036625986133469,1.3313467833782662,"0.968 (0.704, 1.331)",0.7903778921895382,0.790,-0.032632626039287294,0.11483161486053854,4
obesity,Obesity,Phthalates,URXECP,MECPP,ln_URXECP,1342,563,1.060577404144331,0.7173529458557849,1.5680209256541615,"1.061 (0.717, 1.568)",0.6976632281806019,0.698,0.05881348070828421,0.14082784703417806,4
obesity,Obesity,Phthalates,URXMZP,MBzP,ln_URXMZP,1342,563,1.0283794284190748,0.7691953818535572,1.3748967736221884,"1.028 (0.769, 1.375)",0.8022710356270875,0.802,0.027984192727489688,0.10459218563331414,4
obesity,Obesity,Plasticizers,URXCOP,MCOP,ln_URXCOP,1342,563,0.9837325947224745,0.80287558714697,1.205329734035449,"0.984 (0.803, 1.205)",0.8336246160373704,0.834,-0.016401172192329637,0.07317066688126092,4
obesity,Obesity,Plasticizers,URXCNP,MCNP,ln_URXCNP,1342,563,0.9758843163649622,0.7342150485928447,1.2970998084993361,"0.976 (0.734, 1.297)",0.8234345734402431,0.823,-0.02441122790866829,0.10248431820348514,4
obesity,Obesity,Plasticizers,URXMNP,MNP,ln_URXMNP,1342,563,1.080214105409745,0.6588242509471133,1.7711286611698283,"1.080 (0.659, 1.771)",0.6871668674948457,0.687,0.07715926723780024,0.1780902265563646,4
obesity,Obesity,Plasticizers,URXMONP,MONP,ln_URXMONP,1342,563,0.9934273342391667,0.738651273277678,1.3360809141156613,"0.993 (0.739, 1.336)",0.9536985127059022,0.954,-0.006594360843705431,0.10673180536768657,4
central_obesity,Central obesity,Bisphenols,URXBPH,BPA,ln_URXBPH,1311,763,0.9591370857233112,0.7202646410387147,1.277230474458844,"0.959 (0.720, 1.277)",0.7065838723132576,0.707,-0.041721267783494886,0.1031590032832463,4
central_obesity,Central obesity,Bisphenols,URXBPF,BPF,ln_URXBPF,1310,763,1.0939046817899687,0.8984740698461798,1.3318441711365994,"1.094 (0.898, 1.332)",0.274170308989277,0.274,0.08975357204117626,0.07088597005886399,4
central_obesity,Central obesity,Bisphenols,URXBPS,BPS,ln_URXBPS,1309,760,1.006790013128333,0.8184125081976409,1.2385271734998524,"1.007 (0.818, 1.239)",0.9320936792304683,0.932,0.006767064810212373,0.0746119003622484,4
central_obesity,Central obesity,Phthalates,URXMEP,MEP,ln_URXMEP,1313,764,0.8670359119820272,0.7234818166678556,1.0390741762230473,"0.867 (0.723, 1.039)",0.09384935575142124,0.094,-0.14267488208822357,0.06519307126067647,4
central_obesity,Central obesity,Phthalates,URXMBP,MBP,ln_URXMBP,1313,764,0.9315123751046805,0.647318780984818,1.3404760227303125,"0.932 (0.647, 1.340)",0.6171088623160377,0.617,-0.0709458038922075,0.13109230754610077,4
central_obesity,Central obesity,Phthalates,URXMIB,MiBP,ln_URXMIB,1313,764,0.9732522208650036,0.7409356544701169,1.2784104526540432,"0.973 (0.741, 1.278)",0.7962163286593046,0.796,-0.02711201058818661,0.09822974076832006,4
central_obesity,Central obesity,Phthalates,URXMHP,MEHP,ln_URXMHP,1313,764,0.9948300977124318,0.7098643613238186,1.3941915910088372,"0.995 (0.710, 1.394)",0.9680315185065349,0.968,-0.005183312471929187,0.12155761858303729,4
central_obesity,Central obesity,Phthalates,URXMHH,MEHHP,ln_URXMHH,1313,764,1.1200372960802136,0.8040209382383108,1.5602622829193642,"1.120 (0.804, 1.560)",0.3961440804858973,0.396,0.11336198482418733,0.11939438376105806,4
central_obesity,Central obesity,Phthalates,URXMOH,MEOHP,ln_URXMOH,1313,764,1.0932154273868393,0.7919972588671493,1.5089950846371056,"1.093 (0.792, 1.509)",0.48547457329425586,0.485,0.08912328710798482,0.11609112483606979,4
central_obesity,Central obesity,Phthalates,URXECP,MECPP,ln_URXECP,1313,764,1.2065502505885413,0.84386587307061,1.7251124303654135,"1.207 (0.844, 1.725)",0.21855277539617576,0.219,0.18776525510251388,0.12877148898459395,4
central_obesity,Central obesity,Phthalates,URXMZP,MBzP,ln_URXMZP,1313,764,0.971358093734777,0.7455323488026432,1.265587667362013,"0.971 (0.746, 1.266)",0.7756264071325512,0.776,-0.029060090072313288,0.09530052046110825,4
central_obesity,Central obesity,Plasticizers,URXCOP,MCOP,ln_URXCOP,1313,764,1.0166977739079588,0.7643479580465861,1.3523609929057963,"1.017 (0.764, 1.352)",0.8797796366115895,0.880,0.016559898769640074,0.10275443561417745,4
central_obesity,Central obesity,Plasticizers,URXCNP,MCNP,ln_URXCNP,1313,764,0.958240267534431,0.6694579776591283,1.371593798217452,"0.958 (0.669, 1.372)",0.7577907874926433,0.758,-0.042656731272469904,0.1291688247786967,4
central_obesity,Central obesity,Plasticizers,URXMNP,MNP,ln_URXMNP,1313,764,1.2820076885530258,0.6741284104817635,2.43802766350482,"1.282 (0.674, 2.438)",0.3436542451723243,0.344,0.2484273557917471,0.23150539544335821,4
central_obesity,Central obesity,Plasticizers,URXMONP,MONP,ln_URXMONP,1313,764,1.105051660350124,0.7358062895586962,1.6595932779739495,"1.105 (0.736, 1.660)",0.5326993581018048,0.533,0.09989208532497726,0.14647524382627514,4
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPH,BPA,ln_URXBPH,322,208,1.1566188840361382,0.5686441696920451,2.352555981772367,"1.157 (0.569, 2.353)",0.5997965910486528,0.600,0.14550099380576975,0.2557231885386224,4
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPF,BPF,ln_URXBPF,322,208,1.128886159219705,0.7963900031301974,1.6002008506747605,"1.129 (0.796, 1.600)",0.3893110282829166,0.389,0.12123144679715217,0.12566346281750537,4
metabolic_syndrome,Metabolic syndrome,Bisphenols,URXBPS,BPS,ln_URXBPS,322,207,0.9817667043883489,0.6802781106572315,1.4168703163392218,"0.982 (0.680, 1.417)",0.8959685066412766,0.896,-0.018401570758305084,0.13213011369046845,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMEP,MEP,ln_URXMEP,323,208,1.0654834159382802,0.6951392341740289,1.6331331247450405,"1.065 (0.695, 1.633)",0.7012201937661853,0.701,0.063428607853782,0.15381961760933818,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMBP,MBP,ln_URXMBP,323,208,0.6708917454772468,0.33609585184084223,1.3391886025497548,"0.671 (0.336, 1.339)",0.18413458080519618,0.184,-0.39914748814490003,0.24895554280071108,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMIB,MiBP,ln_URXMIB,323,208,0.8748878295517296,0.4994348907393887,1.5325895897352244,"0.875 (0.499, 1.533)",0.5441958154592387,0.544,-0.13365959564020133,0.20191951267829378,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMHP,MEHP,ln_URXMHP,323,208,1.0571581968612285,0.6430161392137616,1.7380332856923193,"1.057 (0.643, 1.738)",0.7717499749588937,0.772,0.05558436159393907,0.17906704362957457,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMHH,MEHHP,ln_URXMHH,323,208,1.3290819234218976,0.7507733190437189,2.3528523381955537,"1.329 (0.751, 2.353)",0.23886258838089572,0.239,0.28448842073712965,0.20570906706265574,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMOH,MEOHP,ln_URXMOH,323,208,1.213042908305467,0.7219006606320107,2.0383318337760463,"1.213 (0.722, 2.038)",0.35989100352045206,0.360,0.19313200304235165,0.18692958876753463,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXECP,MECPP,ln_URXECP,323,208,1.4539577409833604,0.7360426338639956,2.872106879825192,"1.454 (0.736, 2.872)",0.20158339020797705,0.202,0.3742893147160326,0.24518999094448943,4
metabolic_syndrome,Metabolic syndrome,Phthalates,URXMZP,MBzP,ln_URXMZP,323,208,1.412783576759272,0.8833453785572702,2.2595436430772216,"1.413 (0.883, 2.260)",0.11055554228121002,0.111,0.34556192619585296,0.16913748374750534,4
metabolic_syndrome,Metabolic syndrome,Plasticizers,URXCOP,MCOP,ln_URXCOP,323,208,1.35039732129967,0.799370981656409,2.2812598495815104,"1.350 (0.799, 2.281)",0.1868895694614777,0.187,0.30039886122286513,0.18884904072464892,4
metabolic_syndrome,Metabolic syndrome,Plasticizers,URXCNP,MCNP,ln_URXCNP,323,208,1.348796349693488,0.6104463110998667,2.980199175368356,"1.349 (0.610, 2.980)",0.3538276948608966,0.354,0.2992126019254098,0.28553690193483583,4
metabolic_syndrome,Metabolic syndrome,Plasticizers,URXMNP,MNP,ln_URXMNP,323,208,4.040756126010658,0.4520758380303195,36.117192506974014,"4.041 (0.452, 36.117)",0.15142188738992268,0.151,1.396431834364457,0.7888998634386616,4
metabolic_syndrome,Metabolic syndrome,Plasticizers,URXMONP,MONP,ln_URXMONP,323,208,1.2839609534331002,0.6417316285800251,2.56891768540166,"1.284 (0.642, 2.569)",0.3736305298972823,0.374,0.2499497947065415,0.24979239824169305,4
