sample_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,inference,same_direction_as_main,beta_ratio_vs_main,robustness_decision
Exclude antidiabetic medication users,HbA1c,%Oxidative per 10 percentage points,0,NA,NA,NA,Weak/no association,NA,NA,Unclear
Exclude diagnosed diabetes,HbA1c,%Oxidative per 10 percentage points,3531,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,TRUE,0.5438763067313014,Robust positive
Exclude diagnosed diabetes or medication users,HbA1c,%Oxidative per 10 percentage points,3531,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,TRUE,0.5438763067313014,Robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,%Oxidative per 10 percentage points,3337,"0.015 (-0.009, 0.039)",0.214,0.269,Positive but not significant,TRUE,0.21922458689382995,Directionally consistent
Full analytic sample,HbA1c,%Oxidative per 10 percentage points,4125,"0.068 (0.027, 0.108)",0.002,0.004,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,%Oxidative per 10 percentage points,1854,"-0.003 (-0.023, 0.017)",0.738,0.876,Negative but not significant,FALSE,-0.04819494275545408,Direction changed
Exclude antidiabetic medication users,HbA1c,ILR oxidative-vs-primary balance,0,NA,NA,NA,Weak/no association,NA,NA,Unclear
Exclude diagnosed diabetes,HbA1c,ILR oxidative-vs-primary balance,3530,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,TRUE,0.683880168705229,Robust positive
Exclude diagnosed diabetes or medication users,HbA1c,ILR oxidative-vs-primary balance,3530,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,TRUE,0.683880168705229,Robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,ILR oxidative-vs-primary balance,3336,"0.021 (-0.010, 0.052)",0.179,0.269,Positive but not significant,TRUE,0.25605066109576924,Directionally consistent
Full analytic sample,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.028, 0.135)",0.005,0.005,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,ILR oxidative-vs-primary balance,1853,"0.005 (-0.025, 0.035)",0.727,0.876,Positive but not significant,TRUE,0.06266096742014585,Directionally consistent
Exclude antidiabetic medication users,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],0,NA,NA,NA,Weak/no association,NA,NA,Unclear
Exclude diagnosed diabetes,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],3530,"0.044 (0.011, 0.078)",0.012,0.019,FDR-significant positive association,TRUE,0.6583005485128111,Robust positive
