sample_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,inference,same_direction_as_main,beta_ratio_vs_main,robustness_decision
Exclude antidiabetic medication users,HbA1c,%Oxidative per 10 percentage points,3579,"0.035 (0.005, 0.065)",0.024,0.024,FDR-significant positive association,TRUE,0.5187501540212824,FDR robust positive
Exclude diagnosed diabetes,HbA1c,%Oxidative per 10 percentage points,3531,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,TRUE,0.5438763067313014,FDR robust positive
Exclude diagnosed diabetes or medication users,HbA1c,%Oxidative per 10 percentage points,3479,"0.033 (0.004, 0.063)",0.029,0.029,FDR-significant positive association,TRUE,0.4916478292191275,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,%Oxidative per 10 percentage points,3309,"0.013 (-0.011, 0.037)",0.265,0.312,Positive but not significant,TRUE,0.1977145575597108,Directionally consistent
Full analytic sample,HbA1c,%Oxidative per 10 percentage points,4125,"0.068 (0.027, 0.108)",0.002,0.004,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,%Oxidative per 10 percentage points,1848,"-0.004 (-0.024, 0.016)",0.705,0.930,Negative but not significant,FALSE,-0.05488470925496891,Direction changed
Exclude antidiabetic medication users,HbA1c,ILR oxidative-vs-primary balance,3578,"0.052 (0.011, 0.093)",0.015,0.024,FDR-significant positive association,TRUE,0.6372671085161605,FDR robust positive
Exclude diagnosed diabetes,HbA1c,ILR oxidative-vs-primary balance,3530,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,TRUE,0.683880168705229,FDR robust positive
Exclude diagnosed diabetes or medication users,HbA1c,ILR oxidative-vs-primary balance,3478,"0.049 (0.009, 0.089)",0.017,0.029,FDR-significant positive association,TRUE,0.6072144300495251,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,ILR oxidative-vs-primary balance,3308,"0.020 (-0.012, 0.052)",0.214,0.312,Positive but not significant,TRUE,0.24217246752276392,Directionally consistent
Full analytic sample,HbA1c,ILR oxidative-vs-primary balance,4124,"0.081 (0.028, 0.135)",0.005,0.005,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,ILR oxidative-vs-primary balance,1847,"0.004 (-0.026, 0.035)",0.782,0.930,Positive but not significant,TRUE,0.05074104844477408,Directionally consistent
Exclude antidiabetic medication users,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],3578,"0.041 (0.006, 0.075)",0.024,0.024,FDR-significant positive association,TRUE,0.6011327306291556,FDR robust positive
Exclude diagnosed diabetes,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],3530,"0.044 (0.011, 0.078)",0.012,0.019,FDR-significant positive association,TRUE,0.6583005485128111,FDR robust positive
Exclude diagnosed diabetes or medication users,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],3478,"0.039 (0.005, 0.074)",0.026,0.029,FDR-significant positive association,TRUE,0.5844166827153966,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],3308,"0.013 (-0.013, 0.040)",0.312,0.312,Positive but not significant,TRUE,0.19979683819760838,Directionally consistent
Full analytic sample,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],4124,"0.067 (0.023, 0.112)",0.005,0.005,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,ln[(MEHHP+MEOHP+MECPP)/MEHP],1847,"0.001 (-0.025, 0.028)",0.930,0.930,Positive but not significant,TRUE,0.016979438123994252,Directionally consistent
Exclude antidiabetic medication users,HbA1c,lnΣDEHP,3578,"0.038 (0.009, 0.068)",0.013,0.024,FDR-significant positive association,TRUE,0.4327937580160424,FDR robust positive
Exclude diagnosed diabetes,HbA1c,lnΣDEHP,3530,"0.032 (0.004, 0.059)",0.025,0.025,FDR-significant positive association,TRUE,0.36094304722552617,FDR robust positive
Exclude diagnosed diabetes or medication users,HbA1c,lnΣDEHP,3478,"0.034 (0.006, 0.061)",0.018,0.029,FDR-significant positive association,TRUE,0.382358773781886,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,HbA1c,lnΣDEHP,3308,"0.017 (-0.005, 0.039)",0.134,0.312,Positive but not significant,TRUE,0.18765731953443626,Directionally consistent
Full analytic sample,HbA1c,lnΣDEHP,4124,"0.088 (0.037, 0.139)",0.001,0.004,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,HbA1c,lnΣDEHP,1847,"-0.009 (-0.028, 0.010)",0.335,0.930,Negative but not significant,FALSE,-0.10103977234701852,Direction changed
Exclude antidiabetic medication users,TyG index,%Oxidative per 10 percentage points,1700,"0.105 (0.033, 0.177)",0.006,0.009,FDR-significant positive association,TRUE,0.7966948554161196,FDR robust positive
Exclude diagnosed diabetes,TyG index,%Oxidative per 10 percentage points,1691,"0.101 (0.030, 0.171)",0.007,0.013,FDR-significant positive association,TRUE,0.7625288602658152,FDR robust positive
Exclude diagnosed diabetes or medication users,TyG index,%Oxidative per 10 percentage points,1660,"0.099 (0.028, 0.170)",0.008,0.015,FDR-significant positive association,TRUE,0.7518051183891266,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,TyG index,%Oxidative per 10 percentage points,1552,"0.080 (0.009, 0.152)",0.030,0.053,Nominal positive association,TRUE,0.61018820745976865,Nominal robust positive
Full analytic sample,TyG index,%Oxidative per 10 percentage points,1970,"0.132 (0.062, 0.202)",<0.001,0.002,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,TyG index,%Oxidative per 10 percentage points,652,"0.054 (-0.059, 0.166)",0.336,0.677,Positive but not significant,TRUE,0.4076293602199547,Directionally consistent
Exclude antidiabetic medication users,TyG index,ILR oxidative-vs-primary balance,1699,"0.140 (0.043, 0.238)",0.007,0.009,FDR-significant positive association,TRUE,1.0343424491665412,FDR robust positive
Exclude diagnosed diabetes,TyG index,ILR oxidative-vs-primary balance,1690,"0.130 (0.034, 0.226)",0.010,0.013,FDR-significant positive association,TRUE,0.9599701250678895,FDR robust positive
Exclude diagnosed diabetes or medication users,TyG index,ILR oxidative-vs-primary balance,1659,"0.129 (0.031, 0.227)",0.012,0.015,FDR-significant positive association,TRUE,0.9531227154487847,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,TyG index,ILR oxidative-vs-primary balance,1551,"0.105 (0.005, 0.205)",0.039,0.053,Nominal positive association,TRUE,0.7765255705986969,Nominal robust positive
Full analytic sample,TyG index,ILR oxidative-vs-primary balance,1969,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,TyG index,ILR oxidative-vs-primary balance,651,"0.045 (-0.092, 0.181)",0.507,0.677,Positive but not significant,TRUE,0.32872313045615403,Directionally consistent
