outcome,outcome_label,model_type,n,ilr_term,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,interpretation
ln_HOMA_IR,ln(HOMA-IR),composition_only,1984,ilr_oxidative_vs_primary,0.2483123314611141,0.04177554822863585,2.4526145135607524e-6,28.186023495732183,17.656124733425592,39.65831916424016,7.357843540682257e-6,"28.186 (17.656, 39.658)",<0.001,<0.001,Oxidative-vs-primary balance positively associated after FDR correction
ln_HOMA_IR,ln(HOMA-IR),composition_only,1984,ilr_MEHHP_vs_MEOHP_MECPP,0.20881565758202247,0.11549879295636632,0.08176796462887961,23.22178275784661,-2.7775263078767654,56.17384715085776,0.12265194694331942,"23.222 (-2.778, 56.174)",0.082,0.123,Secondary ILR coordinate or not significant
ln_HOMA_IR,ln(HOMA-IR),composition_only,1984,ilr_MEOHP_vs_MECPP,-0.026569080504122353,0.12028762731394126,0.8268480336987364,-2.621922775466723,-23.91955395922073,24.637675216369416,0.8268480336987364,"-2.622 (-23.920, 24.638)",0.827,0.827,Secondary ILR coordinate or not significant
ln_HOMA_IR,ln(HOMA-IR),composition_plus_total_burden,1983,ilr_oxidative_vs_primary,0.15613970416997794,0.05563920723596149,0.009567471660946684,16.898950439109093,4.242383474263822,31.092211807868896,0.02870241498284005,"16.899 (4.242, 31.092)",0.010,0.029,Oxidative-vs-primary balance positively associated after FDR correction
ln_HOMA_IR,ln(HOMA-IR),composition_plus_total_burden,1983,ilr_MEHHP_vs_MEOHP_MECPP,0.226692405214406,0.1163708535166389,0.06272443189042665,25.44439481725902,-1.2894004792062708,59.41850487650473,0.09408664783563997,"25.444 (-1.289, 59.419)",0.063,0.094,Secondary ILR coordinate or not significant
ln_HOMA_IR,ln(HOMA-IR),composition_plus_total_burden,1983,ilr_MEOHP_vs_MECPP,-0.08275606739377367,0.11774945203751307,0.48866456377751477,-7.9424321741783155,-27.766452661860686,17.322159942312187,0.48866456377751477,"-7.942 (-27.766, 17.322)",0.489,0.489,Secondary ILR coordinate or not significant
HbA1c,HbA1c,composition_only,4125,ilr_oxidative_vs_primary,0.08897621829785336,0.020222540501105148,1.765363595865132e-4,0.08897621829785336,0.04732711650121232,0.1306253200944944,5.296090787595396e-4,"0.089 (0.047, 0.131)",<0.001,<0.001,Oxidative-vs-primary balance positively associated after FDR correction
HbA1c,HbA1c,composition_only,4125,ilr_MEHHP_vs_MEOHP_MECPP,-0.03527706205263628,0.07430902422541745,0.6390971114232538,-0.03527706205263628,-0.18831936226236226,0.1177652381570897,0.6390971114232538,"-0.035 (-0.188, 0.118)",0.639,0.639,Secondary ILR coordinate or not significant
HbA1c,HbA1c,composition_only,4125,ilr_MEOHP_vs_MECPP,0.06124571517399644,0.07515309212132984,0.4227991723712844,0.06124571517399644,-0.09353497540850247,0.21602640575649534,0.6341987585569266,"0.061 (-0.094, 0.216)",0.423,0.634,Secondary ILR coordinate or not significant
HbA1c,HbA1c,composition_plus_total_burden,4124,ilr_oxidative_vs_primary,0.08170681198579521,0.027297461361351125,0.0064931022450723545,0.08170681198579521,0.025237710795516295,0.13817591317607414,0.019479306735217063,"0.082 (0.025, 0.138)",0.006,0.019,Oxidative-vs-primary balance positively associated after FDR correction
HbA1c,HbA1c,composition_plus_total_burden,4124,ilr_MEHHP_vs_MEOHP_MECPP,-0.06859500971940068,0.07612289427685946,0.3768699216294785,-0.06859500971940068,-0.2260672142923506,0.08887719485354927,0.45708342622012843,"-0.069 (-0.226, 0.089)",0.377,0.457,Secondary ILR coordinate or not significant
HbA1c,HbA1c,composition_plus_total_burden,4124,ilr_MEOHP_vs_MECPP,0.060473131493229186,0.07994782860298745,0.45708342622012843,0.060473131493229186,-0.10491155258281845,0.22585781556927684,0.45708342622012843,"0.060 (-0.105, 0.226)",0.457,0.457,Secondary ILR coordinate or not significant
