outcome,outcome_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
iauc_2h_per1000,2h iAUC /1000,Intercept,2.839789083711274,0.48420421148282694,5.864858289882908,4.495164418180257e-09,1.8907488292049333,3.7888293382176146,1497,40,20,macro_msi_food_matrix,5.993552557573676e-08
iauc_2h_per1000,2h iAUC /1000,carbs_10g,0.06857387554962902,0.041249191066276024,1.6624295841208083,0.09642667122574518,-0.012274538940271987,0.14942229003953,1497,40,20,macro_msi_food_matrix,0.16769855865346986
iauc_2h_per1000,2h iAUC /1000,protein_10g,-0.15774040865405947,0.03355898073262713,-4.700393313814181,2.596608855946737e-06,-0.22351601089000864,-0.0919648064181103,1497,40,20,macro_msi_food_matrix,1.2983044279733686e-05
iauc_2h_per1000,2h iAUC /1000,fat_10g,-0.02999067959209345,0.047060726299878994,-0.637276173788473,0.5239449678163661,-0.12222970313985627,0.062248343955669375,1497,40,20,macro_msi_food_matrix,0.6164058444898425
iauc_2h_per1000,2h iAUC /1000,fiber_5g,-0.030434065275730227,0.04069862911742641,-0.7477909191466824,0.45458628032202697,-0.11020337834588599,0.04933524779442554,1497,40,20,macro_msi_food_matrix,0.5510136731176084
iauc_2h_per1000,2h iAUC /1000,msi_centered,1.28838169134766,0.32391097710941585,3.977579589445188,6.96203232814193e-05,0.6535161762132049,1.9232472064821151,1497,40,20,macro_msi_food_matrix,0.00021421637932744398
iauc_2h_per1000,2h iAUC /1000,digestibility_centered,0.38800664119287553,0.07624447852498648,5.088980195014645,3.5999420358132896e-07,0.23856746328390205,0.537445819101849,1497,40,20,macro_msi_food_matrix,2.8799536286506317e-06
iauc_2h_per1000,2h iAUC /1000,msi_x_digestibility,0.4101264030649179,0.09918421720645439,4.1349966216019,3.549598572424092e-05,0.21572533734026728,0.6045274687895685,1497,40,20,macro_msi_food_matrix,0.0001183199524141364
iauc_2h_per1000,2h iAUC /1000,baseline_glucose_z,-0.43457197299484984,0.11351054403728826,-3.828472294627473,0.00012894114252111062,-0.6570526393079348,-0.21209130668176485,1497,40,20,macro_msi_food_matrix,0.00036840326434603037
iauc_2h_per1000,2h iAUC /1000,meal_hour_sin,0.041175116454923444,0.3396329542903172,0.1212341615699844,0.9035055666463394,-0.6245054739540983,0.7068557068639452,1497,40,20,macro_msi_food_matrix,0.9035055666463394
iauc_2h_per1000,2h iAUC /1000,meal_hour_cos,-0.19655845297071384,0.20187835025297698,-0.9736480049713271,0.3302313421330857,-0.5922400194665487,0.19912311352512102,1497,40,20,macro_msi_food_matrix,0.45549150639046304
iauc_2h_per1000,2h iAUC /1000,meal_type_Dinner,-0.14693026080584204,0.9665715681386642,-0.15201177610550556,0.8791776476048105,-2.041410534357624,1.7475500127459398,1497,40,20,macro_msi_food_matrix,0.9035055666463394
iauc_2h_per1000,2h iAUC /1000,meal_type_Lunch,0.3809039001079588,0.3605496022591064,1.0564535301698237,0.2907610607642485,-0.3257733203198898,1.0875811205358075,1497,40,20,macro_msi_food_matrix,0.43075712705814595
iauc_2h_per1000,2h iAUC /1000,meal_type_Snack,-2.127317996474705,0.6827893861384003,-3.1156283909244906,0.0018355342370319386,-3.46558519330597,-0.7890507996434404,1497,40,20,macro_msi_food_matrix,0.004588835592579847
iauc_2h_per1000,2h iAUC /1000,meal_type_Snacks,-1.4114057398371003,0.7827639185164259,-1.8031052613055294,0.07137168503714679,-2.945623020129295,0.12281154045509446,1497,40,20,macro_msi_food_matrix,0.13594606673742246
iauc_2h_per1000,2h iAUC /1000,meal_type_breakfast,1.8761496203013017,0.7543139372930375,2.4872265081487566,0.012874339990832514,0.3976943032069482,3.3546049373956555,1497,40,20,macro_msi_food_matrix,0.027103873664910558
iauc_2h_per1000,2h iAUC /1000,meal_type_dinner,0.560370869528052,0.6501177560258967,0.8619528759736418,0.38871345014920733,-0.7138599322827055,1.8346016713388096,1497,40,20,macro_msi_food_matrix,0.5015657421280094
iauc_2h_per1000,2h iAUC /1000,meal_type_lunch,0.1497207802204361,0.5124597369189599,0.2921610605363771,0.7701634825535272,-0.8547003041407253,1.1541418645815975,1497,40,20,macro_msi_food_matrix,0.8326091703281374
iauc_2h_per1000,2h iAUC /1000,meal_type_snack,-0.394476049522428,0.6888547170635224,-0.5726549296258235,0.5668783596570524,-1.7446312949669318,0.9556791959220758,1497,40,20,macro_msi_food_matrix,0.6478609824652027
iauc_2h_per1000,2h iAUC /1000,meal_type_snack 1,-3.8685269536344222,0.8622636429811883,-4.48647810344802,7.241015524447868e-06,-5.558563693877551,-2.178490213391293,1497,40,20,macro_msi_food_matrix,3.2182291219768296e-05
peak_delta_2h,2h peak delta,Intercept,54.272146185307975,5.760702336614855,9.421098854623299,4.463915728966307e-21,42.98116960554286,65.56312276507309,1497,40,20,macro_msi_food_matrix,1.785566291586523e-19
peak_delta_2h,2h peak delta,carbs_10g,1.570667669819116,0.5841358554073,2.6888739242413697,0.007169349081771722,0.4257613932208082,2.7155739464174236,1497,40,20,macro_msi_food_matrix,0.01686905666299229
peak_delta_2h,2h peak delta,protein_10g,-2.287992497662483,0.4562046127589865,-5.015276991228566,5.295711688749651e-07,-3.1821535386700965,-1.3938314566548693,1497,40,20,macro_msi_food_matrix,3.530474459166434e-06
peak_delta_2h,2h peak delta,fat_10g,-0.616884187064251,0.664963588716474,-0.9276961889822767,0.3535651858972137,-1.9202128209485398,0.6864444468200379,1497,40,20,macro_msi_food_matrix,0.4714202478629516
peak_delta_2h,2h peak delta,fiber_5g,-0.6874505024040474,0.6362921154192853,-1.0804007872249857,0.27996374544706015,-1.9345830486258466,0.5596820438177519,1497,40,20,macro_msi_food_matrix,0.43071345453393867
peak_delta_2h,2h peak delta,msi_centered,20.29048838122573,4.27110979785405,4.750636097302007,2.027777630237365e-06,11.919113177431793,28.66186358501967,1497,40,20,macro_msi_food_matrix,1.1587300744213515e-05
peak_delta_2h,2h peak delta,digestibility_centered,4.112804345165614,0.9921859482393482,4.145195114347123,3.3952448140732764e-05,2.1681198866164912,6.057488803714737,1497,40,20,macro_msi_food_matrix,0.0001183199524141364
peak_delta_2h,2h peak delta,msi_x_digestibility,4.988467977640173,1.186020166822159,4.206056622971557,2.5986515120590024e-05,2.6638684506687413,7.313067504611605,1497,40,20,macro_msi_food_matrix,0.0001039460604823601
peak_delta_2h,2h peak delta,baseline_glucose_z,-9.117101447895413,1.5179743639639716,-6.0060971148995,1.90042386794793e-09,-12.092331201264798,-6.141871694526029,1497,40,20,macro_msi_food_matrix,3.80084773589586e-08
peak_delta_2h,2h peak delta,meal_hour_sin,1.5303135472538543,4.662704027080668,0.3282030209007257,0.7427581638958001,-7.608586345824255,10.669213440331964,1497,40,20,macro_msi_food_matrix,0.8252868487731112
peak_delta_2h,2h peak delta,meal_hour_cos,-3.627034131436524,2.75593430685129,-1.316081490919311,0.18814669261200181,-9.028665372865053,1.7745971099920048,1497,40,20,macro_msi_food_matrix,0.3010347081792029
peak_delta_2h,2h peak delta,meal_type_Dinner,-11.22923392677967,13.811832070128819,-0.813015526815259,0.4162091560735727,-38.300424784232156,15.841956930672815,1497,40,20,macro_msi_food_matrix,0.5202614450919658
peak_delta_2h,2h peak delta,meal_type_Lunch,-5.365682563508756,5.480434357576523,-0.9790615512237407,0.32754956779589917,-16.10733390435874,5.375968777341228,1497,40,20,macro_msi_food_matrix,0.45549150639046304
peak_delta_2h,2h peak delta,meal_type_Snack,-31.949579702479525,8.796548884134857,-3.6320584496611676,0.00028116941373230574,-49.190815515383846,-14.708343889575204,1497,40,20,macro_msi_food_matrix,0.0007497851032861486
peak_delta_2h,2h peak delta,meal_type_Snacks,-27.111910391509866,10.524817396535564,-2.5759981736532787,0.009995117425384266,-47.74055248871957,-6.48326829430016,1497,40,20,macro_msi_food_matrix,0.02221137205640948
peak_delta_2h,2h peak delta,meal_type_breakfast,18.273407600409655,9.589205806044781,1.9056226313226674,0.05669918373711338,-0.5214357794381144,37.068250980257424,1497,40,20,macro_msi_food_matrix,0.11339836747422676
peak_delta_2h,2h peak delta,meal_type_dinner,1.1604358985586885,8.556933738615534,0.13561351928225177,0.8921268173525201,-15.61115422912776,17.932026026245136,1497,40,20,macro_msi_food_matrix,0.9035055666463394
peak_delta_2h,2h peak delta,meal_type_lunch,-11.522417643504909,6.826739829183269,-1.6878360581793868,0.09144270372223705,-24.902827708704116,1.8579924216942967,1497,40,20,macro_msi_food_matrix,0.16625946131315827
peak_delta_2h,2h peak delta,meal_type_snack,-13.448315036679105,8.613663017988397,-1.5612771254917022,0.11845837832866753,-30.331094551936364,3.4344644785781533,1497,40,20,macro_msi_food_matrix,0.1974306305477792
peak_delta_2h,2h peak delta,meal_type_snack 1,-59.32828489393552,10.950046946027932,-5.418084980490108,6.02407835304575e-08,-80.79037690815026,-37.86619287972077,1497,40,20,macro_msi_food_matrix,6.02407835304575e-07
