outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
early_slope_proxy_0_to_peak,Intercept,0.9718048175777387,0.14311620060098598,6.790320127957922,1.1188499494721418e-11,0.6912970643998062,1.2523125707556713,1417,40,17,curve_shape_lpm_or_linear,1.484952809873073e-10
early_slope_proxy_0_to_peak,msi_centered,0.044917611334329054,0.06953423069420506,0.6459784035271201,0.5182933418418633,-0.09136948082631285,0.18120470349497098,1417,40,17,curve_shape_lpm_or_linear,0.7339345532741752
early_slope_proxy_0_to_peak,carbs_10g,-0.0023221080932131666,0.011265725123997527,-0.20612149396994967,0.8366960094966946,-0.024402929336248318,0.019758713149821985,1417,40,17,curve_shape_lpm_or_linear,0.9276412279202484
early_slope_proxy_0_to_peak,digestibility_centered,0.06912375161983651,0.025925823096812562,2.6662124231008466,0.007671120514453462,0.018309138350083895,0.11993836488958913,1417,40,17,curve_shape_lpm_or_linear,0.03009439586439435
early_slope_proxy_0_to_peak,msi_x_digestibility,0.05811158079111378,0.023040160454125328,2.52218646249527,0.01166278684696171,0.01295286630102814,0.10327029528119942,1417,40,17,curve_shape_lpm_or_linear,0.04248586637107481
early_slope_proxy_0_to_peak,baseline_glucose,0.030995278287028936,0.06286966169321222,0.4930085108184282,0.6220065737613867,-0.092229258631667,0.1542198152057249,1417,40,17,curve_shape_lpm_or_linear,0.8133932118418133
early_slope_proxy_0_to_peak,meal_hour_sin,-0.0992156061346487,0.12021471862540613,-0.825319954737061,0.40918996577277056,-0.3348364546404447,0.13640524237114732,1417,40,17,curve_shape_lpm_or_linear,0.6734702146104062
early_slope_proxy_0_to_peak,meal_hour_cos,-0.1723728304235245,0.09570519661780985,-1.8010812005525676,0.07169008236794848,-0.3599550157944318,0.01520935494738282,1417,40,17,curve_shape_lpm_or_linear,0.17005554422164523
early_slope_proxy_0_to_peak,meal_type_Dinner,-0.1133618215847635,0.26470159642063035,-0.42826270456118903,0.6684598686665936,-0.632176950569199,0.405453307399672,1417,40,17,curve_shape_lpm_or_linear,0.8567872774036137
early_slope_proxy_0_to_peak,meal_type_Lunch,-0.3583483317671567,0.16513149317708928,-2.170078674107664,0.030000886442684744,-0.6820060583942517,-0.034690605140061725,1417,40,17,curve_shape_lpm_or_linear,0.09273001264102557
early_slope_proxy_0_to_peak,meal_type_Snack,-0.620633416153271,0.24741203291718467,-2.508501340195581,0.012124450823224324,-1.1055610006709529,-0.13570583163558902,1417,40,17,curve_shape_lpm_or_linear,0.04264462013685797
early_slope_proxy_0_to_peak,meal_type_Snacks,-0.3946772925480561,0.23483312294771252,-1.6806713107330016,0.09282677609944706,-0.8549502135255727,0.06559562842946043,1417,40,17,curve_shape_lpm_or_linear,0.20583328613355653
early_slope_proxy_0_to_peak,meal_type_breakfast,0.2871186461166909,0.15327980190270565,1.8731668657749143,0.061045346241453025,-0.013309765612612157,0.587547057845994,1417,40,17,curve_shape_lpm_or_linear,0.1596570594007233
early_slope_proxy_0_to_peak,meal_type_dinner,-0.1828725530543226,0.24607161439849984,-0.7431680143251723,0.45737996581919466,-0.6651729172753822,0.29942781116673706,1417,40,17,curve_shape_lpm_or_linear,0.6956765517228742
early_slope_proxy_0_to_peak,meal_type_lunch,-0.5024392250795124,0.180821344946408,-2.7786499720396716,0.005458530927582112,-0.8568490611744721,-0.14802938898455276,1417,40,17,curve_shape_lpm_or_linear,0.023198756442223977
early_slope_proxy_0_to_peak,meal_type_snack,-0.09727292029663821,0.2312418251369693,-0.4206545257935992,0.6740073717648678,-0.5505068975650981,0.3559610569718216,1417,40,17,curve_shape_lpm_or_linear,0.8567872774036137
early_slope_proxy_0_to_peak,meal_type_snack 1,-1.0369283314478235,0.26661726303587646,-3.889201770510609,0.00010057447627625901,-1.5594981669981414,-0.5143584958975056,1417,40,17,curve_shape_lpm_or_linear,0.0007891228138598784
delayed_peak_flag,Intercept,0.43236068059793886,0.05817642908247584,7.43188757744116,1.0705877721514367e-13,0.3183348795962862,0.5463864815995915,1498,40,17,curve_shape_lpm_or_linear,2.183999055188931e-12
delayed_peak_flag,msi_centered,0.22688056284611735,0.030430512858617996,7.455693037452841,8.93966604713836e-14,0.16723675764322607,0.2865243680490086,1498,40,17,curve_shape_lpm_or_linear,2.183999055188931e-12
delayed_peak_flag,carbs_10g,-0.005148242707902004,0.004904079277231469,-1.0497878229261364,0.2938156750582987,-0.014760238091275683,0.004463752675471676,1498,40,17,curve_shape_lpm_or_linear,0.5448945246535721
delayed_peak_flag,digestibility_centered,0.03469440138189887,0.012002052272159504,2.890705738915798,0.0038437784222822677,0.011170378928466246,0.058218423835331504,1498,40,17,curve_shape_lpm_or_linear,0.018646024654644128
delayed_peak_flag,msi_x_digestibility,0.038617170833545086,0.010710035461145245,3.60569962383819,0.0003113130699557212,0.017625501329700408,0.059608840337389765,1498,40,17,curve_shape_lpm_or_linear,0.0022681380811059686
delayed_peak_flag,baseline_glucose,-0.13135444788407752,0.01908825595105324,-6.881427419084336,5.9255764148155995e-12,-0.16876742954814186,-0.09394146622001318,1498,40,17,curve_shape_lpm_or_linear,1.007347990518652e-10
delayed_peak_flag,meal_hour_sin,0.021814395611855393,0.041874797040846984,0.5209433156315105,0.6024062595496764,-0.0602602065882047,0.10388899781191549,1498,40,17,curve_shape_lpm_or_linear,0.8084926115008816
delayed_peak_flag,meal_hour_cos,0.03216394157404647,0.03567789473144058,0.9015089543863277,0.36731777501618307,-0.03776473209957707,0.10209261524767002,1498,40,17,curve_shape_lpm_or_linear,0.6459726388215634
delayed_peak_flag,meal_type_Dinner,0.11686340382808191,0.14165039009386451,0.825012933255196,0.40936424809652144,-0.16077136075589255,0.39449816841205637,1498,40,17,curve_shape_lpm_or_linear,0.6734702146104062
delayed_peak_flag,meal_type_Lunch,0.22055026630702962,0.08122679467209594,2.7152402996741154,0.006622769644371423,0.06134574874972157,0.3797547838643377,1498,40,17,curve_shape_lpm_or_linear,0.027020900149035406
delayed_peak_flag,meal_type_Snack,0.1280089832559007,0.08307716337852951,1.5408444156024639,0.12335465663339931,-0.03482225696601712,0.29084022347781857,1498,40,17,curve_shape_lpm_or_linear,0.2516434995321346
delayed_peak_flag,meal_type_Snacks,-0.08726199364550703,0.11910792673920556,-0.7326296077386416,0.4637843678152495,-0.32071353005434994,0.14618954276333584,1498,40,17,curve_shape_lpm_or_linear,0.6956765517228742
delayed_peak_flag,meal_type_breakfast,-0.008048343497485094,0.08783355161448785,-0.09163176655784402,0.9269906115531262,-0.18020210466188127,0.16410541766691109,1498,40,17,curve_shape_lpm_or_linear,0.9550812361456452
delayed_peak_flag,meal_type_dinner,0.2689138741413937,0.09348793797110946,2.876455294419865,0.004021691592178145,0.08567751571801918,0.4521502325647683,1498,40,17,curve_shape_lpm_or_linear,0.018646024654644128
delayed_peak_flag,meal_type_lunch,0.25192920642182404,0.08572380597010737,2.9388476581368064,0.0032943495634275436,0.08391054672041359,0.4199478661232345,1498,40,17,curve_shape_lpm_or_linear,0.016801182773480472
delayed_peak_flag,meal_type_snack,0.1461728842385932,0.07851451794719179,1.8617306462596874,0.06264106655769516,-0.007715570937902705,0.3000613394150891,1498,40,17,curve_shape_lpm_or_linear,0.15973471972212266
delayed_peak_flag,meal_type_snack 1,0.42462623517666676,0.08665941320854234,4.899943577448662,9.586418160055604e-07,0.25477378528792377,0.5944786850654098,1498,40,17,curve_shape_lpm_or_linear,9.778146523256717e-06
prolonged_elevation_flag,Intercept,0.38545058472353844,0.07262785950054712,5.307200120921019,1.1132193805818917e-07,0.24309998010246608,0.5278011893446108,1498,40,17,curve_shape_lpm_or_linear,1.261648631326144e-06
prolonged_elevation_flag,msi_centered,0.27878123768017604,0.03491335999017976,7.984944381136335,1.405856784660943e-15,0.2103510520994237,0.34721142326092835,1498,40,17,curve_shape_lpm_or_linear,4.779913067847206e-14
prolonged_elevation_flag,carbs_10g,0.003915780351842015,0.004945832927952955,0.7917332447100531,0.42851623350834883,-0.005778052186945776,0.013609612890629806,1498,40,17,curve_shape_lpm_or_linear,0.6872789934481606
prolonged_elevation_flag,digestibility_centered,0.04712508468640446,0.010655685613683937,4.422529567303191,9.755199421983502e-06,0.026239940883583942,0.06801022848922497,1498,40,17,curve_shape_lpm_or_linear,9.045730373111975e-05
prolonged_elevation_flag,msi_x_digestibility,0.03355671675925452,0.007625300148321906,4.400707658260419,1.0789841228725166e-05,0.018611128468543583,0.04850230504996546,1498,40,17,curve_shape_lpm_or_linear,9.171365044416391e-05
