outcome,outcome_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
msi_core_partial,MSI-core,ln_Sigma_DEHP,0.012362641111837824,0.03567531448514138,0.3465320850075986,0.728942875797433,-0.05756097527903928,0.08228625750271493,1313,60,28,joint_DEHP_composition_proxy,0.8200607352721121
msi_core_partial,MSI-core,pct_oxidative_10,-0.13762979876150816,0.08595609071737302,-1.6011640084242582,0.10934059819754449,-0.3061037365675593,0.030844139044542945,1313,60,28,joint_DEHP_composition_proxy,0.31191809622670336
msi_core_partial,MSI-core,ln_oxidative_to_MEHP,0.6575482732349762,0.2144624493954073,3.0660298578547223,0.0021692165192086083,0.23720187241997792,1.0778946740499746,1313,60,28,joint_DEHP_composition_proxy,0.032538247788129124
msi_core_partial,MSI-core,ilr_primary_vs_oxidative,0.21296598919693643,0.11191783147875221,1.9028780881746121,0.05705645476117677,-0.00639296050141791,0.4323249388952908,1313,60,28,joint_DEHP_composition_proxy,0.2567540464347087
msi_core_partial,MSI-core,ilr_mehpp_vs_meohp_meccp,0.05714576288831735,0.04031808723728198,1.4173728667235703,0.1563739413017094,-0.021877688096755332,0.13616921387339004,1313,60,28,joint_DEHP_composition_proxy,0.3518413679288461
msi_core_partial,MSI-core,clr_MEHP,0.15972449189571236,0.08393837360872539,1.9028780881585847,0.05705645476326861,-0.0047947203773894,0.3242437041688141,1313,60,28,joint_DEHP_composition_proxy,0.2567540464347087
msi_core_partial,MSI-core,clr_MEHHP,-0.01514432203987015,0.04360892885265053,-0.34727571711382876,0.7283841918631793,-0.10061782259106519,0.07032917851132489,1313,60,28,joint_DEHP_composition_proxy,0.8200607352721121
msi_core_partial,MSI-core,clr_MEOHP,-0.014964557672831835,0.07056905108111713,-0.2120555320437921,0.8320637110058182,-0.1532798977918214,0.12335078244615774,1313,60,28,joint_DEHP_composition_proxy,0.8720296732822895
msi_core_partial,MSI-core,clr_MECPP,-0.12961561218327855,0.08112785069559299,-1.5976709733087937,0.11011622197697528,-0.2886261995466408,0.029394975180083716,1313,60,28,joint_DEHP_composition_proxy,0.31191809622670336
msi_no_bmi,MSI no BMI,ln_Sigma_DEHP,0.025644094026639697,0.03619605786734175,0.7084775397537789,0.4786487551797867,-0.04530017939335014,0.09658836744662953,1306,60,28,joint_DEHP_composition_proxy,0.7179731327696801
msi_no_bmi,MSI no BMI,pct_oxidative_10,-0.08376146303567533,0.08853711314469086,-0.9460604718248383,0.3441177435424973,-0.2572942047992694,0.08977127872791874,1306,60,28,joint_DEHP_composition_proxy,0.5955884022850915
msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,0.40442959726561156,0.23505264625811467,1.7205915513135794,0.08532496765020817,-0.0562735894002932,0.8651327839315164,1306,60,28,joint_DEHP_composition_proxy,0.31191809622670336
msi_no_bmi,MSI no BMI,ilr_primary_vs_oxidative,0.10349586084911522,0.12855014776117987,0.8051010648497235,0.42076136137534037,-0.1484624287627973,0.35545415046102774,1306,60,28,joint_DEHP_composition_proxy,0.6560637069522951
msi_no_bmi,MSI no BMI,ilr_mehpp_vs_meohp_meccp,0.0687648176023728,0.04313593984893389,1.5941420968963154,0.11090421199171675,-0.015781624501537625,0.15331125970628323,1306,60,28,joint_DEHP_composition_proxy,0.31191809622670336
msi_no_bmi,MSI no BMI,clr_MEHP,0.07762189563688615,0.09641261082095724,0.8051010648496354,0.4207613613753913,-0.11134682157219003,0.2665906128459623,1306,60,28,joint_DEHP_composition_proxy,0.6560637069522951
msi_no_bmi,MSI no BMI,clr_MEHHP,0.01996924652267751,0.04776099046465407,0.41810788110552105,0.6758682430518238,-0.07364229478804446,0.11358078783339948,1306,60,28,joint_DEHP_composition_proxy,0.8025408224312006
msi_no_bmi,MSI no BMI,clr_MEOHP,-0.07904967313529962,0.07810680968513314,-1.012071462833617,0.3115038858189188,-0.23213902011816057,0.07403967384756133,1306,60,28,joint_DEHP_composition_proxy,0.5840697859104728
msi_no_bmi,MSI no BMI,clr_MECPP,-0.01854146902421583,0.09097464603151433,-0.2038091911651178,0.8385026100848427,-0.1968517752459839,0.15976883719755225,1306,60,28,joint_DEHP_composition_proxy,0.8720296732822895
msi_pca,MSI PCA,ln_Sigma_DEHP,0.0293560730397638,0.022342939807010517,1.313885875955893,0.1888846124527319,-0.014436088981976812,0.07314823506150442,2741,60,29,joint_DEHP_composition_proxy,0.3695568504509971
msi_pca,MSI PCA,pct_oxidative_10,-0.20426620632175752,0.05673746807130116,-3.600199537720984,0.0003179730729695061,-0.31547164374150777,-0.09306076890200725,2741,60,29,joint_DEHP_composition_proxy,0.014308788283627773
msi_pca,MSI PCA,ln_oxidative_to_MEHP,0.6184956350942394,0.21807025146828257,2.8362219556765043,0.004565070820175185,0.19107794221640562,1.0459133279720731,2741,60,29,joint_DEHP_composition_proxy,0.05135704672697083
msi_pca,MSI PCA,ilr_primary_vs_oxidative,0.17439857482171733,0.1196752604538011,1.457265053448882,0.14504322945672363,-0.060164935667732816,0.4089620853111675,2741,60,29,joint_DEHP_composition_proxy,0.343523438186977
msi_pca,MSI PCA,ilr_mehpp_vs_meohp_meccp,-0.006740526372681439,0.0362907593691323,-0.185736713418422,0.8526512360982387,-0.07787041473618074,0.06438936199081786,2741,60,29,joint_DEHP_composition_proxy,0.8720296732822895
msi_pca,MSI PCA,clr_MEHP,0.13079893111635352,0.08975644534030695,1.4572650534503242,0.14504322945632564,-0.045123701750648115,0.30672156398335515,2741,60,29,joint_DEHP_composition_proxy,0.343523438186977
msi_pca,MSI PCA,clr_MEHHP,-0.048093327954050524,0.036171634010159756,-1.3295868232146286,0.18365444195990205,-0.11898973061396365,0.022803074705862597,2741,60,29,joint_DEHP_composition_proxy,0.3695568504509971
msi_pca,MSI PCA,clr_MEOHP,0.03738553764918749,0.06071570949972547,0.6157473569399124,0.5380612765363495,-0.08161725297027443,0.1563883282686494,2741,60,29,joint_DEHP_composition_proxy,0.7566486701292415
msi_pca,MSI PCA,clr_MECPP,-0.120091140811584,0.06276665654558407,-1.9132951700935068,0.05571027571090528,-0.24311378764092878,0.0029315060177607793,2741,60,29,joint_DEHP_composition_proxy,0.2567540464347087
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,0.026932445216348633,0.03359924595678383,0.8015788583764588,0.4227966111470346,-0.03892207685894768,0.09278696729164494,1292,60,28,joint_DEHP_composition_proxy,0.6560637069522951
ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,-0.2536274468811328,0.13320666009772733,-1.9040147594351404,0.056908261985057114,-0.5147125006726784,0.007457606910412751,1292,60,28,joint_DEHP_composition_proxy,0.2567540464347087
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,0.9362341980988731,0.2846329282491974,3.2892687569837173,0.0010044805861933728,0.37835365873044624,1.4941147374672998,1292,60,28,joint_DEHP_composition_proxy,0.022600813189350887
ln_HOMA_IR,ln(HOMA-IR),ilr_primary_vs_oxidative,0.30769417566773427,0.1538398563101877,2.000094013656186,0.045490113074393296,0.006168057299766383,0.6092202940357021,1292,60,28,joint_DEHP_composition_proxy,0.2567540464347087
ln_HOMA_IR,ln(HOMA-IR),ilr_mehpp_vs_meohp_meccp,0.052065838125880504,0.0550068542120508,0.9465336433377427,0.34387647091824264,-0.05574759612973906,0.15987927238150007,1292,60,28,joint_DEHP_composition_proxy,0.5955884022850915
ln_HOMA_IR,ln(HOMA-IR),clr_MEHP,0.23077063175009016,0.11537989223248162,2.0000940136527867,0.04549011307476032,0.004626042974426203,0.4569152205257541,1292,60,28,joint_DEHP_composition_proxy,0.2567540464347087
