subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
sex,female,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.16824961194740345,0.05847816177245845,2.8771357862114644,0.004013028703287731,0.053632414873384895,0.282866809021422,667,60,19,0.006162102916315591
sex,female,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17076334423414052,0.05936068231426349,2.8767079079397413,0.0040184737579158185,0.05441640689818408,0.287110281570097,663,60,19,0.006162102916315591
sex,female,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.15112768379290364,0.045386026648208476,3.329828472633418,0.0008689949882333664,0.06217107156241504,0.24008429602339226,1423,60,20,0.0021724874705834163
sex,female,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.19865367423591163,0.06219917176321193,3.1938315029687665,0.001403980377290057,0.07674329758001625,0.320564050891807,656,60,19,0.0030078584271860174
sex,female,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.11124874854455413,0.04171848683959581,2.666653490388962,0.00766106145380868,0.029480514338946343,0.19301698275016194,1392,60,20,0.011037122433453183
sex,male,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.19840121714363537,0.048475954877943844,4.092775844089794,4.262397213152746e-05,0.10338834558286544,0.29341408870440533,646,60,19,0.0002415358420786556
sex,male,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1806348154069796,0.04460863334810014,4.049324129645696,5.136576203076063e-05,0.09320189404470332,0.2680677367692559,643,60,19,0.00027288061078841586
sex,male,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.16028010005741866,0.031150878829265878,5.145283410329902,2.671172314035271e-07,0.09922437755205754,0.22133582256277978,1318,60,19,4.540992933859961e-06
sex,male,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.23716898314439583,0.06410956924295427,3.699431862435435,0.00021608264185079168,0.11151422742820546,0.36282373886058616,636,60,19,0.0007584256767923763
sex,male,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.149826226559036,0.03657076153029358,4.096885607233709,4.187456952569431e-05,0.07814753395966058,0.22150491915841142,1279,60,19,0.0002415358420786556
age,40-60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2285225447086762,0.06654698693622903,3.4340028787128394,0.0005947378797716283,0.09809045031366731,0.3589546391036851,459,60,20,0.0015797724931433876
age,40-60,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.22166359255377852,0.06539727517518307,3.3894927878875194,0.0007002205078491268,0.0934849332104197,0.34984225189713736,458,60,20,0.0018035982777932053
age,40-60,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.19710553037566717,0.055446379449180655,3.554885500798553,0.00037814372311218667,0.08843062665527308,0.30578043409606126,922,60,20,0.001071407215484529
age,40-60,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.25226736239791503,0.07030720481472819,3.5880727026864996,0.0003331314071910104,0.11446524096104779,0.39006948383478224,453,60,20,0.001008873573172491
age,40-60,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.17718528247657872,0.047148118407892896,3.7580562800766355,0.00017123837140990952,0.08477497039710864,0.2695955945560488,903,60,20,0.0006616027986291958
age,<40,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.21292847688431915,0.06658912757899796,3.197646291907213,0.0013855411317802747,0.08241378682948317,0.3434431669391551,404,60,20,0.0030078584271860174
age,<40,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.16806360601494097,0.05965864457070273,2.817087233950902,0.004846136122814074,0.05113266265636361,0.2849945493735183,403,60,20,0.007226694218231514
age,<40,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.13595208830785843,0.035241129390372106,3.8577676328670845,0.00011442735423927101,0.0668794747027291,0.20502470191298777,910,60,20,0.00047354153630665654
age,<40,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.24380210628727728,0.0768484661086992,3.1725045226332633,0.0015113020539191911,0.09317911271422682,0.3944250998603277,400,60,20,0.0031331871849544202
age,<40,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.07423209085059312,0.03588096932847485,2.0688429615997896,0.03856082546279386,0.0039053909667824127,0.14455879073440384,881,60,20,0.0468238594905354
age,>60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.13518411805022384,0.057490893736766316,2.351400530824789,0.018702889419834643,0.022501966326161874,0.24786626977428583,450,60,20,0.024087054555847646
age,>60,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.15254631434471128,0.057737191197034285,2.6420806274439435,0.008239843793306677,0.03938141959852408,0.26571120909089846,445,60,20,0.011673112040517793
age,>60,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1808336341131275,0.04635546811369856,3.9010205585582067,9.578801489246966e-05,0.08997691661027832,0.27169035161597666,909,60,21,0.00045233229254777334
age,>60,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1778577641126038,0.076010364565892,2.339914630437302,0.019288148230528893,0.028877449563455476,0.3268380786617521,439,60,20,0.024470038799924713
age,>60,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.20037591080943695,0.0667365659686602,3.0024905822024825,0.002677802587639937,0.06957224151086294,0.33117958010801096,887,60,21,0.004645167754069279
obesity,BMI<30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.06501955007862747,0.027254300573474274,2.3856620316981787,0.017048410376518733,0.011601120954617898,0.11843797920263704,783,60,20,0.022294075107755267
obesity,BMI<30,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.06704150025674327,0.027943153074926976,2.3992102851449046,0.016430475972403637,0.012272920229886394,0.12181008028360014,780,60,20,0.02182172590084858
obesity,BMI<30,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.04188576449289416,0.020654250384616202,2.0279489070245664,0.0425654628813947,0.001403433739046403,0.08236809524674192,1645,60,21,0.05095865274533168
obesity,BMI<30,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.11215290826057878,0.036039599665676054,3.11193546268475,0.0018586512682475674,0.04151529291585371,0.18279052360530385,771,60,20,0.0035107857289120715
obesity,BMI<30,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.07122788891418223,0.027267846717974296,2.6121567152286564,0.008997300016264578,0.017782909346952612,0.12467286848141185,1603,60,21,0.012537221334139165
obesity,BMI>=30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.16165133405505694,0.052597624005782585,3.073358105249868,0.0021166432084620806,0.05855999100372307,0.2647426771063908,530,59,20,0.003911188537375584
obesity,BMI>=30,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1842173891179546,0.05876743216501198,3.1346850173867393,0.0017203872746913433,0.06903322207453112,0.2994015561613781,526,59,20,0.0033234754170173675
