model,outcome,outcome_label,exposure,exposure_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value
primary,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.18278820426886033,0.039060599843758405,4.679605664019738,2.8742719969964227e-06,0.10622942857509386,0.2593469799626268,1313,60,20,7.544963992115609e-06
primary,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1716920855041849,0.03565671601034279,4.815140167546079,1.4709660202333702e-06,0.10180492212391305,0.24157924888445675,1306,60,20,5.148381070816796e-06
primary,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1567672505701406,0.029408323944881107,5.330710137169444,9.782946000148066e-08,0.09912693563817362,0.21440756550210757,2741,60,21,4.108837320062188e-07
primary,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.2184098895182327,0.046125306540436437,4.735142287385352,2.18901471113616e-06,0.1280042886989773,0.3088154903374881,1292,60,20,6.56704413340848e-06
primary,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.13456944257848588,0.029623502629701873,4.5426580462352355,5.55493205981237e-06,0.07650737742427022,0.19263150773270155,2671,60,21,1.2961508139562198e-05
exclude_diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1402048236721556,0.039168427627056954,3.579536687229799,0.00034420392496473226,0.06343470552312395,0.2169749418211872,1134,60,20,0.0005163058874470984
exclude_diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.12383595394043145,0.03372684444326408,3.6717325911930656,0.0002409116855693431,0.057731338831633866,0.18994056904922904,1132,60,20,0.0003891650305350927
exclude_diabetes_history,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.11378165721307806,0.030932620774587548,3.6783710647160714,0.00023472829988479234,0.053153720494886474,0.17440959393126965,2354,60,21,0.0003891650305350927
exclude_diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.18166223788792735,0.047156289328967274,3.85234378007634,0.00011699261485223279,0.08923591080315149,0.2740885649727032,1120,60,20,0.00022334953744517167
exclude_diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.06451138534530458,0.021390043821143314,3.015953865486583,0.002561722334330465,0.022586899455863688,0.10643587123474547,2292,60,21,0.0035864112680626514
without_urinary_creatinine_covariate,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.20317347381313622,0.03078186927822802,6.60042676345327,4.099758785088472e-11,0.1428410100278093,0.26350593759846314,1314,60,19,5.350514744511172e-10
without_urinary_creatinine_covariate,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.18396692804336393,0.02897949983456828,6.3481747129368475,2.178845581168173e-10,0.12716710836761008,0.24076674771911777,1307,60,19,1.5251919068177212e-09
without_urinary_creatinine_covariate,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.17249693613020417,0.027700934707153187,6.227116086651778,4.750991019594126e-10,0.11820310410418393,0.2267907681562244,2742,60,20,2.494270285286916e-09
