Outcome,Exposure,Beta (95% CI),P,Q
MSI PCA,ln(oxidative DEHP metabolites/MEHP),"0.157 (0.100, 0.213)",2.83e-04,0.003
MSI core,ln(oxidative DEHP metabolites/MEHP),"0.183 (0.109, 0.257)",5.03e-04,0.003
ln(HOMA-IR),ln(oxidative DEHP metabolites/MEHP),"0.218 (0.129, 0.308)",5.52e-04,0.003
MSI without BMI,ln(oxidative DEHP metabolites/MEHP),"0.172 (0.100, 0.244)",6.71e-04,0.003
HbA1c,ln(oxidative DEHP metabolites/MEHP),"0.135 (0.079, 0.190)",8.14e-04,0.003
MSI core,"Oxidative metabolite fraction, per 10 pp","0.168 (0.072, 0.265)",0.006,0.016
MSI without BMI,"Oxidative metabolite fraction, per 10 pp","0.168 (0.070, 0.267)",0.006,0.016
ln(HOMA-IR),"Oxidative metabolite fraction, per 10 pp","0.182 (0.074, 0.290)",0.007,0.016
MSI PCA,"Oxidative metabolite fraction, per 10 pp","0.105 (0.038, 0.173)",0.012,0.023
HbA1c,"Oxidative metabolite fraction, per 10 pp","0.110 (0.033, 0.186)",0.019,0.030
