outcome,exposure,R_beta,R_ci_low,R_ci_high,R_p,R_q,estimate_CI_for_table,R_significant_q05,label,exposure_label,outcome_order,forest_label,color
msi_core_partial,ln_oxidative_to_MEHP,0.182788204268863,0.1090649771974986,0.2565114313402273,0.0005029944456931,0.0034207874660773,"0.183 (0.109, 0.257)",True,MSI core,ln oxidative/MEHP,0,ln oxidative/MEHP | MSI core,#4477AA
msi_pca,ln_oxidative_to_MEHP,0.156767250570138,0.1003295258321882,0.2132049753080876,0.0002831235126943,0.0034207874660773,"0.157 (0.100, 0.213)",True,MSI PCA,ln oxidative/MEHP,1,ln oxidative/MEHP | MSI PCA,#4477AA
msi_no_bmi,ln_oxidative_to_MEHP,0.171692085504188,0.0997966234274009,0.2435875475809751,0.00067086497399,0.0034207874660773,"0.172 (0.100, 0.244)",True,MSI without BMI,ln oxidative/MEHP,2,ln oxidative/MEHP | MSI without BMI,#4477AA
ln_HOMA_IR,ln_oxidative_to_MEHP,0.218409889518229,0.1292547470436492,0.3075650319928087,0.0005519664129867,0.0034207874660773,"0.218 (0.129, 0.308)",True,ln(HOMA-IR),ln oxidative/MEHP,3,ln oxidative/MEHP | ln(HOMA-IR),#4477AA
HbA1c,ln_oxidative_to_MEHP,0.134569442578456,0.0787077670780018,0.1904311180789101,0.0008144732062088,0.0034207874660773,"0.135 (0.079, 0.190)",True,HbA1c,ln oxidative/MEHP,4,ln oxidative/MEHP | HbA1c,#4477AA
msi_core_partial,pct_oxidative_10,0.168407623229052,0.0718137673843491,0.2650014790737549,0.0057517772104713,0.016123633472318,"0.168 (0.072, 0.265)",True,MSI core,% oxidative /10 pp,0,% oxidative /10 pp | MSI core,#EE7733
msi_pca,pct_oxidative_10,0.105328710261454,0.0379700835563829,0.1726873369665251,0.0119452067256964,0.0228044855672387,"0.105 (0.038, 0.173)",True,MSI PCA,% oxidative /10 pp,1,% oxidative /10 pp | MSI PCA,#EE7733
msi_no_bmi,pct_oxidative_10,0.168379406918104,0.0699662948069353,0.2667925190292726,0.0064381087821174,0.016123633472318,"0.168 (0.070, 0.267)",True,MSI without BMI,% oxidative /10 pp,2,% oxidative /10 pp | MSI without BMI,#EE7733
ln_HOMA_IR,pct_oxidative_10,0.181973437516822,0.0743335604334307,0.2896133146002132,0.0069101286309934,0.016123633472318,"0.182 (0.074, 0.290)",True,ln(HOMA-IR),% oxidative /10 pp,3,% oxidative /10 pp | ln(HOMA-IR),#EE7733
HbA1c,pct_oxidative_10,0.109640793884053,0.0329679301059851,0.1863136576621208,0.0187056366620271,0.030216797684813,"0.110 (0.033, 0.186)",True,HbA1c,% oxidative /10 pp,4,% oxidative /10 pp | HbA1c,#EE7733
