exposure,outcome,quartile,n,weighted_mean_outcome,weighted_mean_exposure,outcome_label,z_weighted_mean
ln_oxidative_to_MEHP,msi_core_partial,1.0,1252,-0.2589875689087101,1.6787686419139822,MSI core,-1.25275817598638
ln_oxidative_to_MEHP,msi_core_partial,2.0,1231,-0.1578236004797435,2.368894352304131,MSI core,-0.5142578229173872
ln_oxidative_to_MEHP,msi_core_partial,3.0,1332,-0.0416895288361515,2.824035972278225,MSI core,0.33352478430954546
ln_oxidative_to_MEHP,msi_core_partial,4.0,1332,0.1089901137175824,3.5021727588247984,MSI core,1.433491214594222
ln_oxidative_to_MEHP,ln_HOMA_IR,1.0,1252,0.6973869430418974,1.6787686419139822,ln(HOMA-IR),-1.2618792073229201
ln_oxidative_to_MEHP,ln_HOMA_IR,2.0,1231,0.8273853324417021,2.368894352304131,ln(HOMA-IR),-0.4253538966764159
ln_oxidative_to_MEHP,ln_HOMA_IR,3.0,1332,0.9260955346500732,2.824035972278225,ln(HOMA-IR),0.2098353771874722
ln_oxidative_to_MEHP,ln_HOMA_IR,4.0,1332,1.123078293949553,3.5021727588247984,ln(HOMA-IR),1.4773977268118623
ln_oxidative_to_MEHP,HbA1c,1.0,1252,5.554661825242992,1.6787686419139822,HbA1c,-1.0489521489579194
ln_oxidative_to_MEHP,HbA1c,2.0,1231,5.5740880043248255,2.368894352304131,HbA1c,-0.866250460159542
ln_oxidative_to_MEHP,HbA1c,3.0,1332,5.725795220615692,2.824035972278225,HbA1c,0.5605439960472967
ln_oxidative_to_MEHP,HbA1c,4.0,1332,5.810231291586076,3.5021727588247984,HbA1c,1.354658613070198
