outcome,outcome_label,exposure,exposure_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,knots,nonlinearity_chi2_proxy,nonlinearity_p_proxy,q_value
msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.04690795731828876,0.09928273965827075,0.4724684016551621,0.636592490781708,-0.14768621241192192,0.24150212704849944,1313,60,22,1.4;2.323;2.867;3.761,1.9165369976136815,0.38355643977034104,0.9047190876352175
msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0537794926155184,0.048056843184623506,1.1190808436773463,0.2631056514187603,-0.04041192002634367,0.14797090525738046,1313,60,22,1.4;2.323;2.867;3.761,1.9165369976136815,0.38355643977034104,0.6577641285469008
msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,-0.17315416850414167,0.21246389045894845,-0.8149816334912587,0.41508282329171353,-0.5895833938036806,0.2432750567953973,1313,60,22,1.4;2.323;2.867;3.761,1.9165369976136815,0.38355643977034104,0.8385666202384795
msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.08299524177104001,0.11219365424619118,0.7397498755938559,0.45945177850344815,-0.1369043205514947,0.3028948040935747,1306,60,22,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8385666202384795
msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.038693588574774535,0.0530619979570491,0.7292146934628236,0.46587034457693305,-0.0653079274210417,0.14269510457059076,1306,60,22,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8385666202384795
msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,-0.13572091544351494,0.22958826854758785,-0.5911491745728438,0.5544204738298742,-0.585713921796787,0.3142720909097572,1306,60,22,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8761652147059034
msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.017934125581869693,0.05632520738354602,0.31840318775477233,0.7501791205281664,-0.09246328088988051,0.12833153205361988,2741,60,23,1.4;2.323;2.867;3.761,0.42569648810768335,0.8082787890220703,0.9123800114531754
msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0235914573776508,0.037739690115179525,0.6251099917792363,0.5318988705612226,-0.05037833524810108,0.09756125000340267,2741,60,23,1.4;2.323;2.867;3.761,0.42569648810768335,0.8082787890220703,0.8761652147059034
msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,0.036818934549814275,0.19699134444442137,0.18690635699581346,0.8517340548724153,-0.3492841005612516,0.42292196966088014,2741,60,23,1.4;2.323;2.867;3.761,0.42569648810768335,0.8082787890220703,0.9794738137684241
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.006814341612089936,0.14428768963833724,0.047227463612248215,0.96233193914114,-0.275989530079051,0.2896182133032309,1292,60,22,1.4;2.323;2.867;3.761,1.2322879943496998,0.5400227572939607,0.9912693656953244
