dataset,outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,estimate_CI
T1D_UOM,iauc_2h_per1000,Intercept,1.010636911578442,0.5037994134699885,2.00603034572339,0.044853010450877,0.0231900611772645,1.9980837619796192,3465,15,6,"1.011 (0.023, 1.998)"
T1D_UOM,iauc_2h_per1000,carbs_10g,0.2397292666116388,0.0955403015980605,2.509195204555491,0.0121006593934752,0.0524702754794401,0.4269882577438374,3465,15,6,"0.240 (0.052, 0.427)"
T1D_UOM,iauc_2h_per1000,protein_10g,-0.1244131449840499,0.1068979064973334,-1.1638501544195663,0.2444847427040317,-0.3339330417188235,0.0851067517507236,3465,15,6,"-0.124 (-0.334, 0.085)"
T1D_UOM,iauc_2h_per1000,fat_10g,-0.0309150928080338,0.0848473951227252,-0.3643611305134068,0.7155883568178574,-0.1972159872485754,0.1353858016325076,3465,15,6,"-0.031 (-0.197, 0.135)"
T1D_UOM,iauc_2h_per1000,fiber_5g,-0.2972957813130434,0.1018117780731084,-2.9200529343428525,0.0034997193464976,-0.4968468663363359,-0.0977446962897509,3465,15,6,"-0.297 (-0.497, -0.098)"
T1D_UOM,iauc_2h_per1000,baseline_glucose,-2.162704059457307,0.1258039354703033,-17.191068398395412,3.0977093360993124e-66,-2.4092797729791013,-1.9161283459355123,3465,15,6,"-2.163 (-2.409, -1.916)"
T1D_UOM,peak_delta_2h,Intercept,42.83454502366551,6.590032543447071,6.499898861085121,8.037402864244614e-11,29.918081238509245,55.751008808821766,3465,15,6,"42.835 (29.918, 55.751)"
T1D_UOM,peak_delta_2h,carbs_10g,3.350594151475361,1.0903608514044536,3.072922278124333,0.0021197368814646,1.2134868827226324,5.48770142022809,3465,15,6,"3.351 (1.213, 5.488)"
T1D_UOM,peak_delta_2h,protein_10g,-2.1537750255948014,1.2724380844481848,-1.6926364055889005,0.090524696973917,-4.647753671113243,0.3402036199236407,3465,15,6,"-2.154 (-4.648, 0.340)"
T1D_UOM,peak_delta_2h,fat_10g,0.0191212016079567,1.004166357109259,0.0190418663925386,0.9848077069044376,-1.9490448583261908,1.987287261542104,3465,15,6,"0.019 (-1.949, 1.987)"
T1D_UOM,peak_delta_2h,fiber_5g,-3.647183186801129,1.5050517015886853,-2.423294284808473,0.0153804615442821,-6.597084521914953,-0.6972818516873063,3465,15,6,"-3.647 (-6.597, -0.697)"
T1D_UOM,peak_delta_2h,baseline_glucose,-15.61159323021409,1.7917204510655682,-8.71318582144307,2.9545175011684735e-18,-19.123365314302603,-12.099821146125578,3465,15,6,"-15.612 (-19.123, -12.100)"
