target,target_label,unit,scenario_id,scenario_label,subgroup_variable,subgroup_level,n_meals,n_subjects,mean_delta_pred,median_delta_pred,mean_predicted_reduction,percent_meals_with_predicted_reduction,mean_relative_reduction_percent
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",Gender,F,993,26,-164.09952964549586,-33.73792980258531,164.09952964549586,63.74622356495468,6.300517262410229
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",Gender,M,490,14,-156.18564859605516,-32.426173846933466,156.18564859605516,61.42857142857143,15.296141403666471
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_bmi_30,BMI <30,788,21,-165.4711618164967,-33.41024832100692,165.4711618164967,62.69035532994924,15.460602013164896
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_bmi_30,BMI >=30,695,19,-156.964784516036,-33.11527134317703,156.964784516036,63.30935251798561,2.256933155389913
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_fasting_glucose_category,100-125,616,16,-148.49219607242588,-30.351043087362925,148.49219607242588,61.85064935064936,4.023536453875596
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_fasting_glucose_category,<100,418,10,-175.77827949570815,-52.53271436852492,175.77827949570815,66.98564593301435,20.825169218563097
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_fasting_glucose_category,>=126,449,14,-166.0028666820135,-21.851811452373116,166.0028666820135,60.80178173719376,5.719607439695296
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_hba1c_category,5.7-6.4,516,14,-149.16587382551575,-28.85015842451173,149.16587382551575,61.43410852713178,3.5109319649703723
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_hba1c_category,<5.7,603,14,-156.37664850304202,-37.08585903216675,156.37664850304202,64.51077943615256,15.461880646440802
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",subgroup_hba1c_category,>=6.5,364,12,-187.40959013391196,-33.31222012225311,187.40959013391196,62.63736263736264,7.187824191322564
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",Gender,F,993,26,-287.8759568516441,-157.8796556262805,287.8759568516441,76.13293051359517,15.81865254753677
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",Gender,M,490,14,-280.8635052982977,-146.9546467020239,280.8635052982977,75.10204081632654,43.75952045144943
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_bmi_30,BMI <30,788,21,-295.3933181974283,-152.44966261667383,295.3933181974283,75.38071065989847,41.09087352296851
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_bmi_30,BMI >=30,695,19,-274.4086446191008,-157.8796556262805,274.4086446191008,76.2589928057554,6.863998078870581
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_fasting_glucose_category,100-125,616,16,-277.5044105109289,-150.49861524259046,277.5044105109289,76.46103896103897,7.589715598722082
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_fasting_glucose_category,<100,418,10,-304.22542010542827,-169.8425915600634,304.22542010542827,74.88038277511961,55.71498098573018
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_fasting_glucose_category,>=126,449,14,-279.23162643885814,-145.88978098809866,279.23162643885814,75.7238307349666,20.458708552486
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_hba1c_category,5.7-6.4,516,14,-264.2010525314221,-134.5275524493269,264.2010525314221,77.32558139534885,9.483998155215753
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_hba1c_category,<5.7,603,14,-278.3313662066794,-154.74924120315677,278.3313662066794,74.12935323383084,38.29698108111428
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",subgroup_hba1c_category,>=6.5,364,12,-327.808752255514,-190.9353663384757,327.808752255514,76.37362637362637,25.17380318931593
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",Gender,F,993,26,-136.74566462701128,-27.742067493901917,136.74566462701128,59.91943605236657,-5.03920419712933
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",Gender,M,490,14,-124.56050830063413,-27.354860813827145,124.56050830063413,60.40816326530612,6.706892088037255
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",subgroup_bmi_30,BMI <30,788,21,-137.03170608599785,-27.752020437135627,137.03170608599785,59.13705583756346,1.9670254313742488
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",subgroup_bmi_30,BMI >=30,695,19,-127.83037359160662,-26.785553392569,127.83037359160662,61.15107913669065,-4.701537675588598
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",subgroup_fasting_glucose_category,100-125,616,16,-120.94060480703746,-24.40802392479887,120.94060480703746,59.57792207792208,-4.570746428674456
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",subgroup_fasting_glucose_category,<100,418,10,-138.10331237146744,-40.33874258233163,138.10331237146744,61.48325358851675,14.63980377156182
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",subgroup_fasting_glucose_category,>=126,449,14,-143.86747641319482,-23.63193009994484,143.86747641319482,59.46547884187082,-11.18354303131524
