raw_variable,log_variable,component,family,role
URXMHP,ln_URXMHP,MEHP,DEHP,primary_parent_monoester
URXMHH,ln_URXMHH,MEHHP,DEHP,primary_oxidative_metabolite
URXMOH,ln_URXMOH,MEOHP,DEHP,primary_oxidative_metabolite
URXECP,ln_URXECP,MECPP,DEHP,primary_oxidative_metabolite
URXMEP,ln_URXMEP,MEP,low_molecular_weight_phthalate,broader_phthalate_mixture
URXMBP,ln_URXMBP,MnBP,low_molecular_weight_phthalate,broader_phthalate_mixture
URXMIB,ln_URXMIB,MiBP,low_molecular_weight_phthalate,broader_phthalate_mixture
URXMZP,ln_URXMZP,MBzP,benzyl_phthalate,broader_phthalate_mixture
URXCOP,ln_URXCOP,MCOP,high_molecular_weight_phthalate,broader_phthalate_mixture
URXCNP,ln_URXCNP,MCNP,high_molecular_weight_phthalate,broader_phthalate_mixture
URXMNP,ln_URXMNP,MiNP_or_MNP,high_molecular_weight_phthalate,broader_phthalate_mixture
URXMONP,ln_URXMONP,MONP,high_molecular_weight_phthalate,broader_phthalate_mixture
