cycle,raw_variable,component,n_measured,n_below_lod,pct_below_lod,median_value,p95_value
2013-2014,URXMHP,MEHP,2685,1009,37.57914338919925,1.2,7.1
2015-2016,URXMHP,MEHP,2975,1122,37.714285714285715,1.1,7.1
2017-2018,URXMHP,MEHP,2762,1209,43.77262853005069,1,5.6949999999999825
2013-2014,URXMHH,MEHHP,2685,19,0.707635009310987,7.5,38.139999999999915
2015-2016,URXMHH,MEHHP,2975,14,0.47058823529411764,6.9,37.719999999999615
2017-2018,URXMHH,MEHHP,2762,27,0.9775524981897176,5.5,27.9
2013-2014,URXMOH,MEOHP,2685,13,0.48417132216014896,5,24.1
2015-2016,URXMOH,MEOHP,2975,16,0.5378151260504201,4.4,23.859999999999946
2017-2018,URXMOH,MEOHP,2762,23,0.832729905865315,3.75,18.994999999999983
2013-2014,URXECP,MECPP,2685,6,0.22346368715083798,12.3,58.5
2015-2016,URXECP,MECPP,2975,6,0.20168067226890757,10.7,57.21999999999989
2017-2018,URXECP,MECPP,2762,5,0.18102824040550325,8.95,43.29499999999997
2013-2014,URXMEP,MEP,2685,6,0.22346368715083798,34.2,596.7399999999997
2015-2016,URXMEP,MEP,2975,12,0.40336134453781514,30.3,457.8199999999996
2017-2018,URXMEP,MEP,2762,13,0.4706734250543085,26.4,378.10499999999934
2013-2014,URXMBP,MnBP,2685,43,1.601489757914339,11.3,53.17999999999998
2015-2016,URXMBP,MnBP,2975,21,0.7058823529411765,12,53.42999999999997
2017-2018,URXMBP,MnBP,2762,19,0.6879073135409124,10.8,49.3
2013-2014,URXMIB,MiBP,2685,72,2.6815642458100557,8.7,46.27999999999997
2015-2016,URXMIB,MiBP,2975,46,1.546218487394958,9.9,51.42999999999997
2017-2018,URXMIB,MiBP,2762,60,2.172338884866039,8.3,42.77999999999992
2013-2014,URXMZP,MBzP,2685,64,2.383612662942272,4.8,38.7
2015-2016,URXMZP,MBzP,2975,62,2.0840336134453783,5.3,57.889999999999915
2017-2018,URXMZP,MBzP,2762,105,3.8015930485155685,3.7,34.094999999999985
2013-2014,URXCOP,MCOP,2685,3,0.11173184357541899,18.5,218.79999999999973
2015-2016,URXCOP,MCOP,2975,16,0.5378151260504201,7.9,90.82999999999997
2017-2018,URXCOP,MCOP,2762,14,0.5068790731354091,5,38.88999999999996
2013-2014,URXCNP,MCNP,2685,33,1.229050279329609,2.6,16.579999999999973
2015-2016,URXCNP,MCNP,2975,60,2.0168067226890756,1.9,9.6
2017-2018,URXCNP,MCNP,2762,104,3.765387400434468,1.3,6.8
2013-2014,URXMNP,MiNP_or_MNP,2685,1600,59.5903165735568,0.64,11.679999999999971
2015-2016,URXMNP,MiNP_or_MNP,2975,2182,73.34453781512605,0.64,5
2017-2018,URXMNP,MiNP_or_MNP,2762,2391,86.56770456191165,0.64,1.8
