model,outcome,exposure,component,n,beta,se,statistic,p,error,q
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMHP,MEHP,2741,-0.06690294447986142,0.02515556682479073,-2.6595681562591063,0.023917009087142824,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMHH,MEHHP,2741,0.06960812975263907,0.024938106213111176,2.7912355957503574,0.019079283321180533,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMOH,MEOHP,2741,0.0730282435331976,0.027262443332009594,2.678712345912632,0.023143822252534283,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXECP,MECPP,2741,0.07026234922515273,0.03104384785199327,2.263326039998012,0.047101650442463484,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMEP,MEP,2741,0.009513400764586,0.03304950509472613,0.28785304764228076,0.7793366926229397,NA,0.8442587315524859
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMBP,MnBP,2741,-0.016438170309024343,0.028934674518086387,-0.5681131923135762,0.5824889376907358,NA,0.7219581199547148
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMIB,MiBP,2741,0.06049138223486729,0.034729127204513766,1.7418054268580982,0.11215700769857141,NA,0.2548626608921197
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMZP,MBzP,2741,0.0800719782105546,0.037411148834941926,2.140323959679302,0.05800328266400491,NA,0.16595817221134723
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXCOP,MCOP,2741,0.06700901088416258,0.02519095270215256,2.6600427413940833,0.023897533450735343,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXCNP,MCNP,2741,0.04133515673750612,0.02605071564048648,1.5867186647750078,0.14365986344840384,NA,0.29400158101068696
survey_weighted_standardized_single_monomer,response_vulnerability_index,ln_URXMNP,MiNP_or_MNP,2741,-0.016113110691683606,0.02139404850761723,-0.753158556499796,0.46871507460306117,NA,0.6652730091140223
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMHP,MEHP,2733,-0.06836641387246882,0.02377716632083049,-2.875296952966804,0.016518111033041717,NA,0.13603524060955505
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMHH,MEHHP,2733,0.04310835230956079,0.02801748758145183,1.538623054056404,0.15491572722928648,NA,0.2972413632613253
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMOH,MEOHP,2733,0.04345788124050721,0.03110311839454042,1.39721942633686,0.19257536306432452,NA,0.3322869009737364
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXECP,MECPP,2733,0.046467102483302485,0.03322169312441648,1.3986976012715984,0.19214439406884665,NA,0.3322869009737364
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMEP,MEP,2733,0.017133053221947147,0.035745118392776366,0.4793116932411537,0.6420263110060429,NA,0.7739495255963257
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMBP,MnBP,2733,-0.04547265531036067,0.0362804939123153,-1.2533637336983752,0.23858498557069935,NA,0.381735976913119
survey_weighted_standardized_single_monomer,exposure_facing_msi,ln_URXMIB,MiBP,2733,0.026398657711646352,0.03574955192167674,0.7384332472049678,0.4772238930876622,NA,0.6665984538367344
