model,mixture_set,components,outcome,n,psi,se,statistic,p,error,q
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,response_vulnerability_index,2741,0.06679087943923498,0.02898991303991736,2.303935142794943,0.0546731535654987,NA,0.0799670343109442
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,response_vulnerability_index,2741,0.08788849528264235,0.028480440321867844,3.085924736042786,0.014981773647183085,NA,0.059543990209839304
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,exposure_facing_msi,2733,0.04499585333590008,0.0281501575175933,1.5984227906283845,0.15398116155436645,NA,0.20530821540582192
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,exposure_facing_msi,2733,0.06480976133978916,0.02886588623420376,2.245202548570804,0.05497733608877413,NA,0.0799670343109442
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,msi_core_partial,1313,0.08788836211607462,0.03826915087074789,2.296585111410313,0.05074059261661403,NA,0.0799670343109442
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,msi_core_partial,1313,0.10754914632356107,0.03753015769409442,2.8656726465203346,0.018607496940574782,NA,0.059543990209839304
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,msi_no_bmi,1306,0.09052080514305545,0.03799456816281886,2.382467008314054,0.044374485216504375,NA,0.0799670343109442
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,msi_no_bmi,1306,0.10794217666731143,0.03678580700181752,2.9343430378454984,0.016639074078944407,NA,0.059543990209839304
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,ln_HOMA_IR,1292,0.08965453275398735,0.029006242158865592,3.0908703120850474,0.014869934583004606,NA,0.059543990209839304
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,ln_HOMA_IR,1292,0.11389381160022335,0.028916184322567436,3.9387565914544167,0.003412392497572099,NA,0.05459827996115359
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,HbA1c,2671,0.06505958657080572,0.026173056054630953,2.485746656218021,0.04185640245569978,NA,0.0799670343109442
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,HbA1c,2671,0.0695445461270133,0.02507336939161365,2.773641828539966,0.024160477495252304,NA,0.06442793998733948
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,TyG,1279,-0.005645562033909694,0.04309750625920074,-0.13099509748790727,0.8990134621422092,NA,0.9589476929516898
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,TyG,1279,0.01139948061601112,0.04281523773760085,0.26624821484991923,0.7960473223427846,NA,0.9097683683917538
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,ln_TG_HDL,1279,-0.015462101109622681,0.04428053087501595,-0.3491850888885061,0.7359633205295046,NA,0.9058010098824673
survey_weighted_qgcomp_like_weighted_quantiles,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,ln_TG_HDL,1279,0.0014825014502906687,0.044907340163085216,0.033012452861978146,0.9743852011911055,NA,0.9743852011911055
