model,mixture_set,components,outcome,n,psi,se,statistic,p,error,q
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,response_vulnerability_index,2741,-3.2717049245006846e-4,0.026139254187925374,-0.012516443280971644,0.9900135838982042,NA,0.9900135838982042
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,response_vulnerability_index,2741,0.07594815011005018,0.022086134022172736,3.4387254027257206,5.844597519836147e-4,NA,0.003545142088331707
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,exposure_facing_msi,2733,-0.00787305218333477,0.027884935109736934,-0.2823407030481357,0.7776822780505989,NA,0.8887797463435415
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,exposure_facing_msi,2733,0.05470540160223452,0.023434424992441846,2.3344034095088015,0.01957460843212037,NA,0.052198955818987654
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,msi_core_partial,1313,0.019894416023810816,0.03651216192818861,0.544870940891935,0.5858422834448251,NA,0.8521342304652002
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,msi_core_partial,1313,0.0995355713056881,0.030935051502575278,3.217566044698583,0.001292832584925134,NA,0.004137064271760429
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,msi_no_bmi,1306,0.03739695544884809,0.035347981100228486,1.057965809781605,0.2900710301372957,NA,0.4641136482196731
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,msi_no_bmi,1306,0.0980070696853725,0.029894710530127808,3.278408385543698,0.0010439424464514558,NA,0.004137064271760429
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,ln_HOMA_IR,1292,0.012287090572112698,0.03803536765254925,0.3230438229059468,0.7466620538863091,NA,0.8887797463435415
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,ln_HOMA_IR,1292,0.11021106117880736,0.03237945630115033,3.4037341502516814,6.647141415621951e-4,NA,0.003545142088331707
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,HbA1c,2671,0.03125281693617722,0.022632912379249623,1.3808570639291886,0.1673229138096785,NA,0.334645827619357
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,HbA1c,2671,0.06528398817185058,0.01899913281893256,3.436156207445181,5.900306707326711e-4,NA,0.003545142088331707
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,TyG,1279,-0.04848061037287259,0.039182528608101376,-1.2373017284762153,0.21597508641585605,NA,0.38395570918374405
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,TyG,1279,-4.2990449172634546e-4,0.03289232505475722,-0.013070054823143867,0.9895719019475703,NA,0.9900135838982042
qgcomp_glm_noboot_weighted,dehp_raw_four_monomers,ln_URXMHP|ln_URXMHH|ln_URXMOH|ln_URXECP,ln_TG_HDL,1279,-0.056768187062161614,0.04075036122535365,-1.3930719963002967,0.16359802033558982,NA,0.334645827619357
qgcomp_glm_noboot_weighted,dehp_raw_oxidative_three,ln_URXMHH|ln_URXMOH|ln_URXECP,ln_TG_HDL,1279,-0.01013277052425586,0.03419961142982031,-0.2962832061717696,0.7670138100451034,NA,0.8887797463435415
