block,pc,endpoint,n,pearson_r,p,q
lipids,lipids_PC1,stanford_msi,36,0.379908877922679,0.02158707541305306,0.16461519323923673
lipids,lipids_PC1,stanford_mean_iauc_2h,28,-0.11364910731987658,0.5681954376466989,0.9065369223541732
lipids,lipids_PC1,stanford_mean_peak_delta_2h,28,-0.11871351788463114,0.5509215520018611,0.9065369223541732
lipids,lipids_PC2,stanford_msi,36,-0.07073412527700275,0.6839959926404585,0.935704197676125
lipids,lipids_PC2,stanford_mean_iauc_2h,28,-0.2939152818414157,0.12996702397523607,0.3899010719257082
lipids,lipids_PC2,stanford_mean_peak_delta_2h,28,-0.3201403816724052,0.09711225265656233,0.3361577976573311
lipids,lipids_PC3,stanford_msi,36,-0.09123006978910343,0.5992091703992393,0.9065369223541732
lipids,lipids_PC3,stanford_mean_iauc_2h,28,0.04596894236104594,0.8180864735449179,0.935704197676125
lipids,lipids_PC3,stanford_mean_peak_delta_2h,28,0.018903605339511305,0.9246887184101062,0.9457043711012451
lipids,lipids_PC4,stanford_msi,36,-0.3141030772629629,0.06183089985146533,0.2846605657637995
lipids,lipids_PC4,stanford_mean_iauc_2h,28,-0.15759710901652518,0.4268414392655624,0.8201134081764109
lipids,lipids_PC4,stanford_mean_peak_delta_2h,28,-0.15408326585906684,0.43739381769408575,0.8201134081764109
lipids,lipids_PC5,stanford_msi,36,-0.06087517209982109,0.7262380038945833,0.935704197676125
lipids,lipids_PC5,stanford_mean_iauc_2h,28,0.019549161365767495,0.9221242510599589,0.9457043711012451
lipids,lipids_PC5,stanford_mean_peak_delta_2h,28,0.09245810264963472,0.6429238862864066,0.933276609125429
metabolomics,metabolomics_PC1,stanford_msi,36,0.42408020533322605,0.009313859014517652,0.13970788521776478
metabolomics,metabolomics_PC1,stanford_mean_iauc_2h,28,0.5038464215229614,0.0055672027785912594,0.12526206251830332
metabolomics,metabolomics_PC1,stanford_mean_peak_delta_2h,28,0.43386473183662133,0.020166310284231666,0.16461519323923673
metabolomics,metabolomics_PC2,stanford_msi,36,0.2941610797688033,0.08163701896106587,0.3339696230225422
metabolomics,metabolomics_PC2,stanford_mean_iauc_2h,28,0.26761084281313774,0.17023692146965047,0.4506271450667218
metabolomics,metabolomics_PC2,stanford_mean_peak_delta_2h,28,0.2981441947996922,0.12419354855336634,0.3899010719257082
metabolomics,metabolomics_PC3,stanford_msi,36,-0.05058082239385194,0.7711944344529631,0.935704197676125
metabolomics,metabolomics_PC3,stanford_mean_iauc_2h,28,-0.20499270066383415,0.2984822142996744,0.746205535749186
metabolomics,metabolomics_PC3,stanford_mean_peak_delta_2h,28,-0.27536494128888733,0.15756791294307543,0.44315975515239964
metabolomics,metabolomics_PC4,stanford_msi,36,-0.287575200574047,0.08914300291002078,0.3342862609125779
metabolomics,metabolomics_PC4,stanford_mean_iauc_2h,28,-0.1360607409982756,0.4936285544939445,0.8543571135472117
metabolomics,metabolomics_PC4,stanford_mean_peak_delta_2h,28,-0.14791265465310316,0.45625441599880134,0.8212579487978424
metabolomics,metabolomics_PC5,stanford_msi,36,-0.3567656436194084,0.03205479752854184,0.18030823609804783
metabolomics,metabolomics_PC5,stanford_mean_iauc_2h,28,0.0715674858622966,0.7200063922629755,0.935704197676125
metabolomics,metabolomics_PC5,stanford_mean_peak_delta_2h,28,0.06053262029821551,0.7618642641132827,0.935704197676125
olink,olink_PC1,stanford_msi,20,-0.7272020997231434,0.00014200420653408505,0.006390189294033827
olink,olink_PC1,stanford_mean_iauc_2h,15,-0.2232055608817745,0.4316066158270204,0.8201134081764109
olink,olink_PC1,stanford_mean_peak_delta_2h,15,-0.22737240140533888,0.42275455450542593,0.8201134081764109
olink,olink_PC2,stanford_msi,20,-0.024440726748010608,0.9197157598105875,0.9457043711012451
olink,olink_PC2,stanford_mean_iauc_2h,15,0.03030670536736829,0.916361789463477,0.9457043711012451
olink,olink_PC2,stanford_mean_peak_delta_2h,15,-0.06776062181818247,0.8141389372132969,0.935704197676125
olink,olink_PC3,stanford_msi,20,-0.12501094059259535,0.6043579482361154,0.9065369223541732
olink,olink_PC3,stanford_mean_iauc_2h,15,0.06125923070792002,0.831737064601,0.935704197676125
olink,olink_PC3,stanford_mean_peak_delta_2h,15,0.012353390382695568,0.9658644901042088,0.9658644901042088
olink,olink_PC4,stanford_msi,20,0.19429899261815056,0.417118071861486,0.8201134081764109
olink,olink_PC4,stanford_mean_iauc_2h,15,0.2731486677893686,0.33161788459569047,0.7854107793055828
olink,olink_PC4,stanford_mean_peak_delta_2h,15,0.06335722691359913,0.8260500900641556,0.935704197676125
olink,olink_PC5,stanford_msi,20,-0.4931795603527507,0.025912489870623195,0.16658029202543484
olink,olink_PC5,stanford_mean_iauc_2h,15,-0.5793131099579502,0.02194869243189823,0.16461519323923673
olink,olink_PC5,stanford_mean_peak_delta_2h,15,-0.49008926292152805,0.06325790350306655,0.2846605657637995
