gene_id,gene_name,log2FoldChange,pvalue,padj,gene_biotype,gene_description,tf_family
ENSG00000117318,ID3,4.64528393537105,3.91752789670187e-231,6.96458109475658e-227,protein_coding,"inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]",bHLH
ENSG00000196924,FLNA,-4.25971048410933,3.51069931216818e-162,3.12066061858629e-158,protein_coding,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],-
ENSG00000214049,UCA1,2.22836505396914,1.39926098326258e-156,8.29202058681402e-153,lincRNA,urothelial cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:37126],-
ENSG00000232931,LINC00342,4.05693072590432,9.19117759610593e-141,4.08501888258928e-137,lincRNA,long intergenic non-protein coding RNA 342 [Source:HGNC Symbol;Acc:HGNC:42470],-
ENSG00000131746,TNS4,-3.77799686319905,7.61911638873695e-135,2.70905302317931e-131,protein_coding,tensin 4 [Source:HGNC Symbol;Acc:HGNC:24352],-
ENSG00000168874,ATOH8,5.55905271812297,1.03341485797177e-113,3.06200822417034e-110,protein_coding,atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126],bHLH
ENSG00000142871,CYR61,-2.05668232572845,1.69936352674968e-107,4.31589782550797e-104,protein_coding,cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654],-
ENSG00000118322,ATP10B,2.401033758615,1.69919977196425e-100,3.77604669324755e-97,protein_coding,ATPase phospholipid transporting 10B (putative) [Source:HGNC Symbol;Acc:HGNC:13543],-
ENSG00000151632,AKR1C2,1.78597958779383,3.91585151908625e-89,7.73511203403505e-86,protein_coding,aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385],-
ENSG00000167653,PSCA,2.17359975276812,1.60250711217086e-87,2.84893714401736e-84,protein_coding,prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500],-
ENSG00000175832,ETV4,-4.18180277494864,2.88153715195192e-87,4.65708795340011e-84,protein_coding,ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493],ETS
ENSG00000120885,CLU,-1.910530423864,5.77780112545855e-87,8.55981236736685e-84,protein_coding,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],-
ENSG00000160867,FGFR4,-2.57283373860477,2.24283996119638e-85,3.06716991001148e-82,protein_coding,fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691],-
