"model","outcome","exposure","n","beta","se","statistic","p","q"
"survey_weighted_standardized_glm","exposure_facing_msi","ln_Sigma_DEHP",2733,0.0434543852094073,0.0301510055250541,1.44122507533949,0.180092138994742,0.196464151630628
"survey_weighted_standardized_glm","exposure_facing_msi","pct_oxidative_10",2733,0.0658624906369443,0.0261538186509527,2.51827434899435,0.0304773457718194,0.0457160186577292
"survey_weighted_standardized_glm","exposure_facing_msi","ln_oxidative_to_MEHP",2733,0.123578164460095,0.0280506544309571,4.40553587668574,0.00132359727573134,0.00529438910292535
"survey_weighted_standardized_glm","response_vulnerability_index","ln_Sigma_DEHP",2741,0.0706492371440399,0.0284916462403969,2.47964742184219,0.0325624798414463,0.0459705597761595
"survey_weighted_standardized_glm","response_vulnerability_index","pct_oxidative_10",2741,0.0781797450849478,0.0273359158465564,2.85996436057936,0.0169579354159026,0.0345334830683595
"survey_weighted_standardized_glm","response_vulnerability_index","ln_oxidative_to_MEHP",2741,0.14601294410418,0.027097405489599,5.38844739804425,0.000306396694450428,0.00390947138980247
"survey_weighted_standardized_glm","msi_core_partial","ln_Sigma_DEHP",1313,0.0835746214232255,0.0360505511536239,2.31826196129665,0.0407022298570755,0.054269639809434
"survey_weighted_standardized_glm","msi_core_partial","pct_oxidative_10",1313,0.12092098502744,0.0353861538159224,3.41718361527696,0.00575177721047122,0.0165843087143844
"survey_weighted_standardized_glm","msi_core_partial","ln_oxidative_to_MEHP",1313,0.172900079456687,0.035579127391403,4.85959302921141,0.000502994445693111,0.00390947138980247
"survey_weighted_standardized_glm","msi_no_bmi","ln_Sigma_DEHP",1306,0.0856006948306472,0.0334921305234691,2.55584501471663,0.0267155733461345,0.0427449173538151
"survey_weighted_standardized_glm","msi_no_bmi","pct_oxidative_10",1306,0.112728952491501,0.0336157952859397,3.35345189761589,0.00643810878211761,0.0165843087143844
"survey_weighted_standardized_glm","msi_no_bmi","ln_oxidative_to_MEHP",1306,0.151404720043579,0.0323470400697277,4.68063599380993,0.00067086497399009,0.00390947138980247
"survey_weighted_standardized_glm","ln_HOMA_IR","ln_Sigma_DEHP",1292,0.0918023793429005,0.0240568160613614,3.81606523110712,0.00286256102360504,0.00981449493807442
"survey_weighted_standardized_glm","ln_HOMA_IR","pct_oxidative_10",1292,0.112155328220721,0.0338476898916932,3.31352977351184,0.00691012863099349,0.0165843087143844
"survey_weighted_standardized_glm","ln_HOMA_IR","ln_oxidative_to_MEHP",1292,0.177305157188391,0.0369266062676865,4.80155571034824,0.000551966412986699,0.00390947138980247
"survey_weighted_standardized_glm","HbA1c","ln_Sigma_DEHP",2671,0.0693572604845707,0.024533234940677,2.82707358618956,0.0179417219793713,0.0345334830683595
"survey_weighted_standardized_glm","HbA1c","pct_oxidative_10",2671,0.0537091455489341,0.0191629199391061,2.80276417788131,0.0187056366620281,0.0345334830683595
"survey_weighted_standardized_glm","HbA1c","ln_oxidative_to_MEHP",2671,0.0809478065395796,0.017144172110517,4.72159320483739,0.000814473206208847,0.00390947138980247
"survey_weighted_standardized_glm","TyG","ln_Sigma_DEHP",1279,-0.00684215268670577,0.0411556995433384,-0.166250428558522,0.870976291098656,0.870976291098656
"survey_weighted_standardized_glm","TyG","pct_oxidative_10",1279,0.0818254880477912,0.0445282376103234,1.83760895196132,0.093258358496191,0.111910030195429
"survey_weighted_standardized_glm","TyG","ln_oxidative_to_MEHP",1279,0.112461559043188,0.042916288542847,2.62048659988172,0.0238079520861227,0.0408136321476389
"survey_weighted_standardized_glm","ln_TG_HDL","ln_Sigma_DEHP",1279,-0.0159296819569106,0.0461230040566095,-0.345373903602617,0.736327453544575,0.768341690655209
"survey_weighted_standardized_glm","ln_TG_HDL","pct_oxidative_10",1279,0.0664918626645424,0.0448606568054279,1.4821865616666,0.166362102243067,0.190128116849219
"survey_weighted_standardized_glm","ln_TG_HDL","ln_oxidative_to_MEHP",1279,0.0961175958442007,0.0446885340489034,2.15083349431462,0.0545677782184859,0.0689277198549295
