dataset,variable_1,variable_2,pearson_r,n
NHANES,exposure_facing_msi,response_vulnerability_index,0.8450006126855306,5229
NHANES,exposure_facing_msi,msi_core_partial,0.8133885812536769,2490
NHANES,exposure_facing_msi,msi_core_complete,0.8249005918123056,2368
NHANES,exposure_facing_msi,msi_no_bmi,0.746712145349047,2465
NHANES,exposure_facing_msi,msi_glycemia_ir,0.5501091604069841,2489
NHANES,exposure_facing_msi,msi_pca,0.7320335237256052,5229
NHANES,response_vulnerability_index,msi_core_partial,0.9667179448863666,2491
NHANES,response_vulnerability_index,msi_core_complete,0.9676862820876271,2368
NHANES,response_vulnerability_index,msi_no_bmi,0.927315918657686,2466
NHANES,response_vulnerability_index,msi_glycemia_ir,0.8156051933202786,2490
NHANES,response_vulnerability_index,msi_pca,0.9718335175997465,5261
NHANES,msi_core_partial,msi_core_complete,0.9999999999999999,2368
NHANES,msi_core_partial,msi_no_bmi,0.9663848669034738,2466
NHANES,msi_core_partial,msi_glycemia_ir,0.9216239384786002,2490
NHANES,msi_core_partial,msi_pca,0.9962885156513616,2491
NHANES,msi_core_complete,msi_no_bmi,0.9661632397737943,2368
NHANES,msi_core_complete,msi_glycemia_ir,0.9200690764122114,2368
NHANES,msi_core_complete,msi_pca,0.9962606176373435,2368
NHANES,msi_no_bmi,msi_glycemia_ir,0.9551812587936029,2466
NHANES,msi_no_bmi,msi_pca,0.9775274039788555,2466
NHANES,msi_glycemia_ir,msi_pca,0.9515385544538191,2490
CGMacros,exposure_facing_msi,response_vulnerability_index,0.8760865705577668,1498
CGMacros,exposure_facing_msi,msi_core_partial_nhanes_ref,0.8693768035504407,1498
CGMacros,exposure_facing_msi,msi_core_complete_nhanes_ref,0.8693768035504407,1498
CGMacros,response_vulnerability_index,msi_core_partial_nhanes_ref,0.9973365684558315,1498
CGMacros,response_vulnerability_index,msi_core_complete_nhanes_ref,0.9973365684558315,1498
CGMacros,msi_core_partial_nhanes_ref,msi_core_complete_nhanes_ref,1.0,1498
