outcome,exposure,permutation_delta_mse,relative_importance
exposure_facing_msi,ln_Sigma_DEHP,0.06919700744132584,0.10058813113155939
exposure_facing_msi,pct_oxidative_10,0.02089865987858819,0.03037930711272114
exposure_facing_msi,ln_oxidative_to_MEHP,0.030806784658660602,0.044782238561611565
response_vulnerability_index,ln_Sigma_DEHP,0.018744850388275835,0.03892950697861674
response_vulnerability_index,pct_oxidative_10,0.007961231289074888,0.016533970803003572
response_vulnerability_index,ln_oxidative_to_MEHP,0.015615921253208265,0.032431313284022295
msi_core_partial,ln_Sigma_DEHP,0.014003217290190995,0.0311349694043248
msi_core_partial,pct_oxidative_10,0.004195584296008914,0.009328526865108829
msi_core_partial,ln_oxidative_to_MEHP,0.005038066053169754,0.011201713804175943
msi_no_bmi,ln_Sigma_DEHP,0.015770762710216657,0.03240393256660116
msi_no_bmi,pct_oxidative_10,0.011734847664723547,0.02411140281507761
msi_no_bmi,ln_oxidative_to_MEHP,0.00971698171067753,0.019965326084052524
ln_HOMA_IR,ln_Sigma_DEHP,0.029868215672787968,0.04643877362222242
ln_HOMA_IR,pct_oxidative_10,0.017615213742045777,0.02738794082095794
ln_HOMA_IR,ln_oxidative_to_MEHP,0.025197118038563726,0.03917620233308219
HbA1c,ln_Sigma_DEHP,0.043256612765481206,0.05531639322737852
HbA1c,pct_oxidative_10,0.01924202778573203,0.0246066325456044
HbA1c,ln_oxidative_to_MEHP,0.04434712476679015,0.056710935860908966
TyG,ln_Sigma_DEHP,0.011381189774065992,0.028492446379163483
TyG,pct_oxidative_10,0.007407035733084433,0.018543278219853396
TyG,ln_oxidative_to_MEHP,0.018207755220336297,0.04558253571015078
ln_TG_HDL,ln_Sigma_DEHP,0.013640004917484072,0.026221854950080257
ln_TG_HDL,pct_oxidative_10,0.011759300638803927,0.02260634637087643
ln_TG_HDL,ln_oxidative_to_MEHP,0.008103179646150482,0.015577736415874628
