outcome,joint_exposure_quantile,mean_kernel_predicted_residual_outcome
exposure_facing_msi,0.1,0.12947291894207066
exposure_facing_msi,0.25,-0.12612375247924448
exposure_facing_msi,0.5,-0.11304256786970487
exposure_facing_msi,0.75,-0.02036960058692099
exposure_facing_msi,0.9,-0.03190082242442536
response_vulnerability_index,0.1,0.16840985918283738
response_vulnerability_index,0.25,0.01706912660935007
response_vulnerability_index,0.5,-0.08651886540336345
response_vulnerability_index,0.75,-0.025652829737491948
response_vulnerability_index,0.9,0.04562470312238547
msi_core_partial,0.1,-0.04528181812923662
msi_core_partial,0.25,-0.0625574592836511
msi_core_partial,0.5,0.07682837775535871
msi_core_partial,0.75,0.13780816648990432
msi_core_partial,0.9,0.2035386949939876
msi_no_bmi,0.1,-0.007618091636558866
msi_no_bmi,0.25,-0.029839293296560532
msi_no_bmi,0.5,0.07891674123394679
msi_no_bmi,0.75,0.10630397575254318
msi_no_bmi,0.9,0.09303936475912236
ln_HOMA_IR,0.1,-0.027065750960701927
ln_HOMA_IR,0.25,-0.03791671178302686
ln_HOMA_IR,0.5,-0.0703839864676177
ln_HOMA_IR,0.75,0.04992774501366157
ln_HOMA_IR,0.9,0.1638923610214177
HbA1c,0.1,-0.030310975020793888
HbA1c,0.25,-0.10566507766775192
HbA1c,0.5,-0.03515170463036581
HbA1c,0.75,0.29355802344912957
HbA1c,0.9,0.42775032169705457
TyG,0.1,0.09162801016145941
TyG,0.25,-0.04491515649982956
TyG,0.5,-0.08647350191032721
TyG,0.75,0.01591272479284708
TyG,0.9,0.22240413287364902
ln_TG_HDL,0.1,-0.0437825565569519
ln_TG_HDL,0.25,-0.030380787880876666
ln_TG_HDL,0.5,-0.040494525088423466
ln_TG_HDL,0.75,-0.05645597100329521
ln_TG_HDL,0.9,0.0292818239600786
