outcome,exposure,standardized_beta,std_error,ci_low,ci_high,rr_approx,e_value,e_value_ci_limit,interpretation
exposure_facing_msi,ln_Sigma_DEHP,0.012851895830368268,0.02278381348776975,-0.03180437860566045,0.057508170266396985,1.0117638817421024,1.1208614099255796,1.0,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
exposure_facing_msi,pct_oxidative_10,0.08941933290248265,0.0207750419671364,0.04870025064689531,0.13013841515806998,1.0847739160125847,1.3880238671233696,1.2629541019680848,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
exposure_facing_msi,ln_oxidative_to_MEHP,0.12546805660150076,0.02154366294147464,0.08324247723621048,0.16769363596679104,1.1209493178405856,1.4891585726491638,1.3700460252527533,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
response_vulnerability_index,ln_Sigma_DEHP,0.051086162881477055,0.02048989848822255,0.010925961844560864,0.09124636391839325,1.0475859356147013,1.2708578704453641,1.1104514718672023,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
response_vulnerability_index,pct_oxidative_10,0.09702252294908502,0.019455908179697085,0.05888894291687873,0.1351561029812913,1.0923053861623917,1.4098359681178625,1.2960516822152586,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
response_vulnerability_index,ln_oxidative_to_MEHP,0.13202442382300825,0.020346449134929716,0.09214538351854601,0.17190346412747048,1.1276572219887162,1.5070693835157192,1.3958818779389905,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_core_partial,ln_Sigma_DEHP,0.11766547137946148,0.0347668331353657,0.049522478434144715,0.18580846432477827,1.1130183720663274,1.4676893808770985,1.265689595133415,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_core_partial,pct_oxidative_10,0.11451194350486789,0.03240781007153722,0.05099263576465493,0.17803125124508085,1.1098289103111547,1.4589582557567795,1.2705499657242374,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_core_partial,ln_oxidative_to_MEHP,0.1335904090517128,0.03119897746149038,0.07244041322719165,0.19474040487623395,1.1292653315750272,1.511331893213479,1.3379298523531395,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_no_bmi,ln_Sigma_DEHP,0.11946618142611165,0.03440867121234367,0.052025185849918054,0.18690717700230525,1.1148437104616078,1.4726604069616418,1.2739409046375618,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_no_bmi,pct_oxidative_10,0.10432685161105358,0.0299657709207589,0.04559394060636614,0.163059762615741,1.0995900570847066,1.4305103443969862,1.2525010309659885,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
msi_no_bmi,ln_oxidative_to_MEHP,0.11124234792121349,0.029635559144453483,0.05315665199808466,0.1693280438443423,1.1065317084282342,1.449869316809362,1.277636044934911,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_HOMA_IR,ln_Sigma_DEHP,0.127054035315341,0.0320303574186227,0.06427453477484052,0.1898335358558415,1.1225682854386991,1.4935012578664433,1.3129442275775327,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_HOMA_IR,pct_oxidative_10,0.10474334277244583,0.031956716028557194,0.042108179356473735,0.16737850618841793,1.1000068883520286,1.431681828722693,1.2405264692145694,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_HOMA_IR,ln_oxidative_to_MEHP,0.1332606826358631,0.03232631517332763,0.06990110489614094,0.19662026037558528,1.128926545168781,1.5104348664645806,1.3302332060107287,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
HbA1c,ln_Sigma_DEHP,0.06651432171069332,0.01909161860596367,0.029094749243004536,0.10393389417838211,1.0623973790801735,1.3198674006287965,1.1928107653838933,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
HbA1c,pct_oxidative_10,0.057744557771255936,0.013623336558329924,0.031042818116929285,0.08444629742558259,1.0539526737776586,1.2924134982025879,1.2003278205429562,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
HbA1c,ln_oxidative_to_MEHP,0.06377717995713776,0.014913842623893298,0.0345460484143069,0.09300831149996863,1.0597544536197396,1.3113991403252874,1.213474653573832,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
TyG,ln_Sigma_DEHP,0.030404826989758944,0.03340518688536887,-0.035069339305564044,0.09587899328508193,1.0280547172986487,1.1978834088126442,1.0,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
TyG,pct_oxidative_10,0.09771329073709348,0.03898589475761366,0.0213009370121707,0.17412564446201625,1.092992223744017,1.4118021630822917,1.1608387854170645,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
TyG,ln_oxidative_to_MEHP,0.09768567630923439,0.037860044332866195,0.023479989416816643,0.17189136320165213,1.0929647581461408,1.411723608067694,1.1701332625715293,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_TG_HDL,ln_Sigma_DEHP,0.02063001894398648,0.03317286914913393,-0.04438880458831602,0.08564884247628898,1.018950643890751,1.157910245194961,1.0,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_TG_HDL,pct_oxidative_10,0.08600040223656419,0.03799353383632414,0.011533075917368879,0.1604677285557595,1.0814041829384538,1.37810407161105,1.1138057580675311,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
ln_TG_HDL,ln_oxidative_to_MEHP,0.08824713578248544,0.03637455687348786,0.01695300431044923,0.15954126725452167,1.0836174052841037,1.38463115206413,1.141199354915989,E-value approximated from standardized continuous effect using RR ~= exp(0.91*SMD).
