outcome,exposure,quantile_coefficient,direction,abs_weight
exposure_facing_msi,ln_Sigma_DEHP,-0.02750902995842057,negative,0.22500387408967218
exposure_facing_msi,pct_oxidative_10,0.04743667292267623,positive,0.38799751200458615
exposure_facing_msi,ln_oxidative_to_MEHP,0.04731454739111506,positive,0.3869986139057416
response_vulnerability_index,ln_Sigma_DEHP,0.01142659326222797,positive,0.1255380539990344
response_vulnerability_index,pct_oxidative_10,0.03998678693699793,positive,0.43931408973298397
response_vulnerability_index,ln_oxidative_to_MEHP,0.039607572398269855,positive,0.4351478562679817
msi_core_partial,ln_Sigma_DEHP,0.04784741518643331,positive,0.4131429842838143
msi_core_partial,pct_oxidative_10,0.033987646004202246,positive,0.29346951019706036
msi_core_partial,ln_oxidative_to_MEHP,0.03397814877921805,positive,0.2933875055191254
msi_no_bmi,ln_Sigma_DEHP,0.05698775772337331,positive,0.5209434686520971
msi_no_bmi,pct_oxidative_10,0.026196444162547183,positive,0.23947014294951105
msi_no_bmi,ln_oxidative_to_MEHP,0.02620916064307896,positive,0.23958638839839197
ln_HOMA_IR,ln_Sigma_DEHP,0.07695294648015745,positive,0.5192349764008019
ln_HOMA_IR,pct_oxidative_10,0.035648007099803765,positive,0.24053259779955283
ln_HOMA_IR,ln_oxidative_to_MEHP,0.03560352026649401,positive,0.24023242579964513
HbA1c,ln_Sigma_DEHP,0.05478026216013626,positive,0.5111739412039339
HbA1c,pct_oxidative_10,0.015714986547865538,positive,0.14664208042956267
HbA1c,ln_oxidative_to_MEHP,0.036670351383262544,positive,0.34218397836650327
TyG,ln_Sigma_DEHP,-0.01824434046219535,negative,0.26103664737745225
TyG,pct_oxidative_10,0.0265795918276701,positive,0.3802958815492993
TyG,ln_oxidative_to_MEHP,0.025067941688329286,positive,0.3586674710732484
ln_TG_HDL,ln_Sigma_DEHP,-0.03410546432758455,negative,0.39603724922877326
ln_TG_HDL,pct_oxidative_10,0.02602526878186105,positive,0.30220892933193166
ln_TG_HDL,ln_oxidative_to_MEHP,0.025986076342190922,positive,0.301753821439295
