outcome,direction,exposure,wqs_weight
HbA1c,negative,ln_Sigma_DEHP,0.33863216257315815
HbA1c,negative,ln_oxidative_to_MEHP,0.33068391871342095
HbA1c,negative,pct_oxidative_10,0.33068391871342095
HbA1c,positive,ln_Sigma_DEHP,0.3175517303669249
HbA1c,positive,ln_oxidative_to_MEHP,0.34122413481653757
HbA1c,positive,pct_oxidative_10,0.34122413481653757
TyG,negative,ln_Sigma_DEHP,0.6267306605118454
TyG,negative,ln_oxidative_to_MEHP,0.1866346697440773
TyG,negative,pct_oxidative_10,0.1866346697440773
TyG,positive,ln_Sigma_DEHP,0.05405251613865783
TyG,positive,ln_oxidative_to_MEHP,0.47297374193067104
TyG,positive,pct_oxidative_10,0.47297374193067104
exposure_facing_msi,negative,ln_Sigma_DEHP,0.6947067523488201
exposure_facing_msi,negative,ln_oxidative_to_MEHP,0.15264662382558994
exposure_facing_msi,negative,pct_oxidative_10,0.15264662382558994
exposure_facing_msi,positive,ln_Sigma_DEHP,0.016143526732270864
exposure_facing_msi,positive,ln_oxidative_to_MEHP,0.49192823663386454
exposure_facing_msi,positive,pct_oxidative_10,0.49192823663386454
ln_HOMA_IR,negative,ln_Sigma_DEHP,0.30780939884915043
ln_HOMA_IR,negative,ln_oxidative_to_MEHP,0.3460953005754248
ln_HOMA_IR,negative,pct_oxidative_10,0.3460953005754248
ln_HOMA_IR,positive,ln_Sigma_DEHP,0.3178725254238698
ln_HOMA_IR,positive,ln_oxidative_to_MEHP,0.3410637372880651
ln_HOMA_IR,positive,pct_oxidative_10,0.3410637372880651
ln_TG_HDL,negative,ln_Sigma_DEHP,0.8131094564644106
ln_TG_HDL,negative,ln_oxidative_to_MEHP,0.09344527176779473
ln_TG_HDL,negative,pct_oxidative_10,0.09344527176779473
ln_TG_HDL,positive,ln_Sigma_DEHP,0.01796550148989392
ln_TG_HDL,positive,ln_oxidative_to_MEHP,0.491017249255053
ln_TG_HDL,positive,pct_oxidative_10,0.491017249255053
msi_core_partial,negative,ln_Sigma_DEHP,0.2753374584731937
msi_core_partial,negative,ln_oxidative_to_MEHP,0.36233127076340316
msi_core_partial,negative,pct_oxidative_10,0.36233127076340316
msi_core_partial,positive,ln_Sigma_DEHP,0.2670039141629133
msi_core_partial,positive,ln_oxidative_to_MEHP,0.3664980429185434
msi_core_partial,positive,pct_oxidative_10,0.3664980429185434
msi_no_bmi,negative,ln_Sigma_DEHP,0.3266591459389218
msi_no_bmi,negative,ln_oxidative_to_MEHP,0.33667042703053907
msi_no_bmi,negative,pct_oxidative_10,0.33667042703053907
msi_no_bmi,positive,ln_Sigma_DEHP,0.34032863614747577
msi_no_bmi,positive,ln_oxidative_to_MEHP,0.32983568192626206
msi_no_bmi,positive,pct_oxidative_10,0.32983568192626206
response_vulnerability_index,negative,ln_Sigma_DEHP,0.1383910552762941
response_vulnerability_index,negative,ln_oxidative_to_MEHP,0.43080447236185293
response_vulnerability_index,negative,pct_oxidative_10,0.43080447236185293
response_vulnerability_index,positive,ln_Sigma_DEHP,0.14548400998455732
response_vulnerability_index,positive,ln_oxidative_to_MEHP,0.4272579950077213
response_vulnerability_index,positive,pct_oxidative_10,0.4272579950077213
