outcome,direction,mean_beta,sd_beta,mean_se,median_p,mean_r2,n_repeats,mean_n,z_meta,p_meta,fdr
HbA1c,negative,0.08754624464582815,0.020935865318579192,0.028139679100348647,0.001358887932456099,0.14766217834328926,50,1992.0,4.181639655855861,2.8941439648904423e-05,7.717717239707846e-05
HbA1c,positive,0.08495076981724717,0.021406367700347134,0.028128455626000956,0.0025173362380149517,0.14677570268940873,50,1992.0,3.968481295211498,7.233213358902095e-05,0.0001653305910606193
TyG,negative,0.037249369249302056,0.026200533456001717,0.03486522627196634,0.30642510412654506,0.1350064815749412,50,947.0,1.4217027035672587,0.15511257495014913,0.17727151422874185
TyG,positive,0.061941367988834845,0.029631778437657935,0.036737266025478346,0.10293473065487366,0.14101782591851453,50,947.0,2.0903695712747314,0.03658461410273902,0.04502721735721726
exposure_facing_msi,negative,0.031733227456151716,0.04405178566161731,0.03228723374498422,0.6125958454954122,0.08309186963177607,50,2048.0,0.7203618872549165,0.4713022096938893,0.5027223570068152
exposure_facing_msi,positive,0.09348432358281372,0.02612223597876808,0.029939057231839417,0.0024545575784848802,0.09083606034392956,50,2048.0,3.578725942863273,0.0003452732966674934,0.0006905465933349868
ln_HOMA_IR,negative,0.1250764411814782,0.02944155768656749,0.042796054645277776,0.0035850671909280945,0.1215909667633511,50,957.0,4.248295640911128,2.1540301393233142e-05,6.892896445834606e-05
ln_HOMA_IR,positive,0.1273332953915642,0.040650025235541745,0.043504675701246685,0.0034383711691448604,0.12280356803562573,50,957.0,3.132428446323134,0.001733666799146013,0.002773866878633621
ln_TG_HDL,negative,0.010271862775408168,0.031366668988818305,0.04074992999330175,0.6420239768112537,0.13561860357654695,50,947.0,0.3274770036649386,0.7433071333748362,0.7433071333748362
ln_TG_HDL,positive,0.05746542234663567,0.024225876582715633,0.04046700825632983,0.14383853662714707,0.12964347503908832,50,947.0,2.3720678238588633,0.01768884332908984,0.023585124438786454
msi_core_partial,negative,0.10054544846798485,0.023489962690957406,0.03485094977452151,0.0025930475145713493,0.14715281122154453,50,975.0,4.280357946532218,1.8659295792164768e-05,6.892896445834606e-05
msi_core_partial,positive,0.10170098161254737,0.021013896678418808,0.03481507040255777,0.004225582507114324,0.14590097401891158,50,975.0,4.839701230519226,1.3003446620582065e-06,6.935171530977102e-06
msi_no_bmi,negative,0.08545004043608387,0.027837685005293725,0.0367670293739604,0.022569476458251053,0.1558545356767641,50,965.0,3.0695814116667512,0.0021435897406555816,0.003117948713680846
msi_no_bmi,positive,0.09376211142291034,0.026778927648188344,0.03703405298273801,0.012428915841836512,0.14915368224708592,50,965.0,3.5013392864240984,0.0004629260846670896,0.0008229797060748259
response_vulnerability_index,negative,0.09520930072094622,0.017208832140076548,0.023591281032775982,3.794090816282457e-05,0.13012920662577573,50,2057.0,5.532583498168907,3.1554814481838385e-08,5.048770317094142e-07
response_vulnerability_index,positive,0.09518818252165225,0.018509190375002885,0.0236997285639053,5.082866326606835e-05,0.13178460998918812,50,2057.0,5.142752362102571,2.7074239541072946e-07,2.1659391632858357e-06
