ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs,metabolic_relevance_flag
Diethylhexyl Phthalate,D004051,117-81-7,17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,,HSD17B3,3.81,264300,25526675,False
Diethylhexyl Phthalate,D004051,117-81-7,18-Hydroxylase deficiency,MESH:C537806,,CYP11B2,3.83,203400|610600,,False
Diethylhexyl Phthalate,D004051,117-81-7,"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,,DECR1,5.79,,25526675,False
Diethylhexyl Phthalate,D004051,117-81-7,"2,4-Dienoyl-CoA Reductase Deficiency",MESH:C565624,,NADK2,5.79,616034,,False
Diethylhexyl Phthalate,D004051,117-81-7,2-Hydroxyglutaricaciduria,MESH:C535306,,IDH2,3.28,613657,27469509,False
Diethylhexyl Phthalate,D004051,117-81-7,2-Hydroxyglutaricaciduria,MESH:C535306,,SLC25A1,3.28,615182,,False
Diethylhexyl Phthalate,D004051,117-81-7,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,MESH:C538324,,HMGCL,4.03,246450,,False
Diethylhexyl Phthalate,D004051,117-81-7,3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency,MESH:C567784,,HMGCS2,3.66,605911,,False
Diethylhexyl Phthalate,D004051,117-81-7,3-Hydroxyacyl-CoA Dehydrogenase Deficiency,MESH:C535310,,HADH,3.75,231530,,False
Diethylhexyl Phthalate,D004051,117-81-7,3-methylcrotonyl CoA carboxylase 1 deficiency,MESH:C535308,,MCCC1,4.09,210200,,False
Diethylhexyl Phthalate,D004051,117-81-7,3-methylcrotonyl CoA carboxylase 2 deficiency,MESH:C535309,,MCCC2,4.01,210210,,False
Diethylhexyl Phthalate,D004051,117-81-7,"3-Methylglutaconic Aciduria, Type V",MESH:C565706,,DNAJC19,4.11,610198,,False
Diethylhexyl Phthalate,D004051,117-81-7,"3-METHYLGLUTACONIC ACIDURIA, TYPE VIIB",OMIM:616271,,CLPB,4.16,616271,,False
Diethylhexyl Phthalate,D004051,117-81-7,"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII",OMIM:617248,,HTRA2,4.05,617248,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46, XX Disorders of Sex Development",MESH:D058489,,NR3C1,3.33,,11932321,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XX SEX REVERSAL 1",OMIM:400045,,SRY,4.59,400045,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XX SEX REVERSAL 2",OMIM:278850,,SOX9,3.61,278850,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS",OMIM:611812,,WNT4,3.80,611812,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XY SEX REVERSAL 1",OMIM:400044,,SRY,4.59,400044,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XY SEX REVERSAL 10",OMIM:616425,,SOX9,3.61,616425,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46, XY Sex Reversal 5",MESH:C567766,,CBX2,4.16,613080,,False
Diethylhexyl Phthalate,D004051,117-81-7,"46,XY SEX REVERSAL 9",OMIM:616067,,ZFPM2,4.18,616067,,False
Diethylhexyl Phthalate,D004051,117-81-7,5-oxoprolinase deficiency,MESH:C535322,,OPLAH,4.01,260005,,False
Diethylhexyl Phthalate,D004051,117-81-7,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,4.16,261640,,False
Diethylhexyl Phthalate,D004051,117-81-7,ABCD syndrome,MESH:C535334,,EDNRB,3.66,600501,,False
Diethylhexyl Phthalate,D004051,117-81-7,Abdominal obesity metabolic syndrome,MESH:C535554,,PPARA,3.18,,15309680,True
Diethylhexyl Phthalate,D004051,117-81-7,Abdominal Pain,MESH:D015746,,IFNA2,12.35,,9234591,False
