ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Diethylhexyl Phthalate,D004051,117-81-7,A2M,2,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of A2M mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,AASS,10157,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of AASS mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,AASS,10157,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of AASS protein,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,AATK,9625,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of AATK mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,ABCA1,19,mRNA,Homo sapiens,9606,Colforsin promotes the reaction [Diethylhexyl Phthalate results in decreased expression of ABCA1 mRNA],decreases^expression|increases^reaction,37536456
Diethylhexyl Phthalate,D004051,117-81-7,ABCA1,19,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABCA1 mRNA,decreases^expression,36774801|37536456
Diethylhexyl Phthalate,D004051,117-81-7,ABCA1,19,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABCA1 protein,decreases^expression,37536456
Diethylhexyl Phthalate,D004051,117-81-7,ABCB1,5243,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate promotes the reaction [NR1I2 protein results in increased expression of ABCB1 mRNA],increases^expression|increases^reaction,17003290
Diethylhexyl Phthalate,D004051,117-81-7,ABCB1,5243,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of ABCB1 mRNA,increases^expression,17003290
Diethylhexyl Phthalate,D004051,117-81-7,ABCB11,8647,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABCB11 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,ABCC2,1244,mRNA,Homo sapiens,9606,[dimethyl phthalate co-treated with diethyl phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with Diethylhexyl Phthalate] results in increased expression of ABCC2 mRNA,affects^cotreatment|increases^expression,35739735
Diethylhexyl Phthalate,D004051,117-81-7,ABCC3,8714,mRNA,Homo sapiens,9606,[dimethyl phthalate co-treated with diethyl phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with Diethylhexyl Phthalate] results in increased expression of ABCC3 mRNA,affects^cotreatment|increases^expression,35739735
Diethylhexyl Phthalate,D004051,117-81-7,ABCC4,10257,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate co-treated with CGA protein] results in decreased expression of ABCC4 mRNA,affects^cotreatment|decreases^expression,40456493
Diethylhexyl Phthalate,D004051,117-81-7,ABCC4,10257,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of ABCC4 mRNA],affects^cotreatment|decreases^reaction|increases^expression,40456493
Diethylhexyl Phthalate,D004051,117-81-7,ABCC4,10257,mRNA,Homo sapiens,9606,[dimethyl phthalate co-treated with diethyl phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with Diethylhexyl Phthalate] results in increased expression of ABCC4 mRNA,affects^cotreatment|increases^expression,35739735
Diethylhexyl Phthalate,D004051,117-81-7,ABCC6,368,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABCC6 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,ABCC8,6833,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABCC8 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,ABCG2,9429,mRNA,Homo sapiens,9606,[dimethyl phthalate co-treated with diethyl phthalate co-treated with Dibutyl Phthalate co-treated with butylbenzyl phthalate co-treated with Diethylhexyl Phthalate] results in increased expression of ABCG2 mRNA,affects^cotreatment|increases^expression,35739735
Diethylhexyl Phthalate,D004051,117-81-7,ABI2,10152,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of ABI2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,ABLIM3,22885,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of ABLIM3 mRNA,increases^expression,31163220
