GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions
PPARA,5465,32,4,18,affects^binding; affects^binding|decreases^reaction; affects^binding|increases^activity; affects^binding|increases^reaction
MMP2,4313,21,4,7,affects^expression; affects^expression|affects^reaction; decreases^activity|decreases^reaction|increases^secretion; decreases^activity|decreases^response to substance
CYP3A4,1576,16,4,9,affects^binding|increases^expression|increases^reaction; affects^binding|increases^reaction; affects^cotreatment|increases^activity; affects^cotreatment|increases^expression
JAK3,3718,9,4,1,decreases^methylation|increases^abundance; increases^abundance|increases^expression
FLG,2312,7,4,1,affects^abundance|affects^response to substance
IFI6,2537,4,4,2,affects^cotreatment|affects^expression; increases^expression
ESR1,2099,31,3,18,affects^binding|decreases^activity; affects^binding|decreases^reaction; affects^binding|decreases^reaction|increases^activity; affects^binding|increases^activity
PPARG,5468,30,3,27,affects^activity; affects^binding; affects^binding|affects^folding|increases^activity; affects^binding|decreases^activity
TNF,7124,13,3,6,affects^reaction|decreases^reaction|increases^expression; decreases^methylation|increases^abundance; decreases^methylation|increases^abundance|increases^expression; decreases^reaction|increases^expression
CYP2C9,1559,12,3,2,increases^chemical synthesis|increases^metabolic processing; increases^metabolic processing
SOD2,6648,7,3,3,affects^response to substance|increases^abundance; decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction
ACTB,60,6,3,2,affects^cotreatment|increases^expression; affects^expression; increases^expression
PAX8,7849,6,3,3,affects^reaction|increases^expression; decreases^expression; increases^abundance|increases^expression; increases^expression
STAT5B,6777,6,3,1,decreases^methylation|increases^abundance; increases^abundance|increases^expression
CRP,1401,5,3,4,affects^cotreatment|decreases^expression; decreases^expression; increases^expression
CYP2C19,1557,5,3,1,increases^chemical synthesis|increases^metabolic processing; increases^metabolic processing
EXOSC1,51013,5,3,1,affects^cotreatment|affects^expression; affects^cotreatment|decreases^expression; affects^expression
GORASP2,26003,5,3,1,affects^cotreatment|affects^expression; affects^cotreatment|decreases^expression; decreases^expression
MIRLET7C,406885,5,3,1,affects^expression; affects^expression|increases^abundance
NEFL,4747,5,3,1,increases^abundance|increases^expression
RNR2,4550,5,3,1,affects^cotreatment|affects^expression; increases^expression
TP53I13,90313,5,3,1,affects^cotreatment|decreases^expression; affects^cotreatment|increases^expression; affects^expression
IGF2,3481,4,3,1,decreases^methylation|increases^abundance
CCDC163,126661,3,3,1,affects^cotreatment|affects^expression
DCAKD,79877,3,3,1,affects^cotreatment|affects^expression
FIBIN,387758,3,3,1,increases^abundance|increases^methylation
IFT140,9742,3,3,2,decreases^expression; increases^abundance|increases^methylation
IGF2-AS,51214,3,3,1,affects^expression
MMP1,4312,3,3,2,increases^expression
PFAS,5198,3,3,1,affects^cotreatment|affects^expression
SHBG,6462,3,3,1,decreases^secretion
SPRY4-AS1,101926941,3,3,1,affects^cotreatment|affects^expression
SVIL-AS1,102724316,3,3,1,increases^abundance|increases^methylation
VCL,7414,3,3,4,decreases^expression; increases^expression
CGA,1081,47,2,7,affects^cotreatment|affects^expression|affects^reaction; affects^cotreatment|affects^reaction|decreases^expression; affects^cotreatment|affects^reaction|decreases^expression|decreases^reaction; affects^cotreatment|affects^reaction|increases^abundance
PTGS2,5743,20,2,8,affects^binding|decreases^reaction; affects^binding|increases^reaction; affects^cotreatment|affects^reaction|increases^expression; affects^reaction|increases^expression
IL33,90865,19,2,1,decreases^reaction|increases^expression; decreases^reaction|increases^expression|increases^reaction; increases^abundance|increases^secretion; increases^expression
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation
MMP9,4318,18,2,6,affects^cotreatment|increases^secretion; affects^expression; affects^expression|affects^reaction; decreases^expression
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion
PRKN,5071,17,2,2,affects^cotreatment|affects^localization|decreases^reaction|increases^ubiquitination; affects^cotreatment|affects^localization|increases^activity|increases^degradation|increases^reaction|increases^ubiquitination; affects^cotreatment|affects^localization|increases^activity|increases^degradation|increases^ubiquitination; affects^cotreatment|affects^localization|increases^activity|increases^ubiquitination
AHR,196,15,2,4,affects^binding; affects^binding|decreases^reaction|increases^reaction; affects^binding|increases^activity; affects^binding|increases^reaction
CASP3,836,13,2,13,affects^cotreatment|affects^expression; decreases^reaction|increases^activity|increases^reaction; decreases^reaction|increases^cleavage; increases^activity
RELA,5970,13,2,8,affects^expression; affects^localization; affects^localization|decreases^reaction; affects^localization|increases^phosphorylation
TP53,7157,12,2,5,decreases^expression; decreases^expression|decreases^reaction; decreases^reaction|increases^activity; decreases^reaction|increases^expression
PINK1,65018,11,2,2,affects^cotreatment|affects^localization|increases^activity|increases^degradation|increases^reaction|increases^ubiquitination; affects^cotreatment|decreases^reaction|increases^expression; affects^cotreatment|increases^degradation|increases^reaction; affects^cotreatment|increases^expression
CYP1A1,1543,10,2,5,affects^binding|decreases^reaction|increases^reaction; affects^response to substance; decreases^reaction|increases^expression; decreases^reaction|increases^expression|increases^reaction
BAX,581,9,2,11,affects^cotreatment|increases^expression; decreases^expression; decreases^reaction|increases^expression; increases^expression
NR1I2,8856,9,2,12,affects^binding; affects^binding|increases^activity; affects^binding|increases^expression|increases^reaction; decreases^expression
PCNA,5111,9,2,5,affects^reaction|increases^expression; decreases^expression; decreases^reaction|increases^expression; increases^expression
RBP4,5950,9,2,1,decreases^activity|decreases^phosphorylation|increases^reaction; decreases^activity|increases^reaction; decreases^phosphorylation|increases^reaction; decreases^reaction|increases^abundance|increases^reaction
TIMP2,7077,9,2,2,affects^expression; affects^expression|affects^reaction; decreases^reaction|increases^expression; increases^expression
AR,367,8,2,6,affects^binding|decreases^reaction|increases^activity; decreases^expression; decreases^reaction|increases^activity; decreases^reaction|increases^expression
BCL2,596,8,2,13,affects^cotreatment|increases^expression; affects^reaction|decreases^expression; decreases^expression; decreases^expression|decreases^reaction
CRH,1392,8,2,3,affects^binding|increases^reaction; affects^cotreatment|decreases^expression; affects^reaction|increases^expression; decreases^expression
HDAC6,10013,8,2,2,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|affects^reaction|decreases^expression; affects^cotreatment|affects^reaction|increases^expression; affects^cotreatment|affects^reaction|increases^phosphorylation
MYC,4609,8,2,5,affects^cotreatment|affects^reaction|increases^expression; affects^cotreatment|decreases^reaction|increases^expression; affects^cotreatment|increases^expression; affects^reaction|decreases^expression
NR1I3,9970,8,2,6,affects^binding; affects^binding|increases^activity; decreases^activity; decreases^reaction|increases^activity
VEGFA,7422,8,2,7,affects^cotreatment|increases^secretion; affects^reaction|increases^secretion; decreases^reaction|increases^expression|increases^secretion; decreases^secretion
ADIPOQ,9370,7,2,5,affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion; decreases^methylation|increases^abundance
CYP19A1,1588,7,2,7,decreases^activity; decreases^expression; decreases^reaction|increases^expression; increases^expression
ESR2,2100,7,2,6,affects^binding|decreases^activity; affects^binding|increases^activity; decreases^expression|decreases^reaction; decreases^reaction|increases^activity
IFNL2,282616,7,2,1,decreases^reaction|increases^expression; increases^expression; increases^secretion
IL1B,3553,7,2,4,affects^cotreatment|increases^secretion; decreases^reaction|increases^cleavage; increases^abundance|increases^secretion; increases^cleavage
NLRP3,114548,7,2,2,decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction
PTEN,5728,7,2,2,affects^cotreatment|affects^reaction|decreases^expression; affects^cotreatment|decreases^expression; affects^cotreatment|increases^expression; decreases^reaction|increases^expression
CTNNB1,1499,6,2,4,decreases^expression; decreases^reaction|increases^expression; increases^expression
IL6,3569,6,2,6,affects^cotreatment|increases^expression; decreases^expression; decreases^reaction|increases^expression; increases^abundance|increases^secretion
MAP1LC3B,81631,6,2,2,increases^expression; increases^expression|increases^reaction; increases^lipidation|increases^localization; increases^lipidation|increases^localization|increases^reaction
MTOR,2475,6,2,2,decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction
NFE2L2,4780,6,2,4,affects^expression; decreases^expression; decreases^expression|increases^reaction; increases^expression
NOTCH1,4851,6,2,2,increases^abundance|increases^expression; increases^abundance|increases^methylation; increases^expression
SREBF1,6720,6,2,4,affects^expression; decreases^expression; decreases^expression|increases^reaction; increases^expression
TOMM20,9804,6,2,2,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction; decreases^expression
BECN1,8678,5,2,2,affects^cotreatment|decreases^expression; increases^expression; increases^expression|increases^reaction
BHLHE22,27319,5,2,2,decreases^expression; decreases^methylation|increases^abundance; increases^abundance|increases^methylation
CAT,847,5,2,4,affects^cotreatment|increases^expression; decreases^reaction|increases^activity; increases^activity; increases^expression
CDKN1A,1026,5,2,3,decreases^reaction|increases^activity; increases^activity; increases^expression
CXCL8,3576,5,2,6,affects^cotreatment|increases^secretion; increases^abundance|increases^secretion; increases^expression; increases^secretion
GSK3B,2932,5,2,2,decreases^activity|decreases^phosphorylation; decreases^activity|decreases^phosphorylation|increases^reaction; decreases^phosphorylation; decreases^phosphorylation|increases^reaction
HMOX1,3162,5,2,4,affects^expression; decreases^expression; decreases^reaction|increases^expression; increases^expression
IFNL1,282618,5,2,1,decreases^reaction|increases^expression; increases^secretion
PIK3CA,5290,5,2,2,decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction
PTGES,9536,5,2,3,affects^cotreatment|affects^reaction|increases^expression; decreases^expression; increases^expression
STAR,6770,5,2,4,affects^cotreatment|decreases^reaction|increases^expression; affects^cotreatment|increases^expression; decreases^expression; increases^expression
TIMM23,100287932,5,2,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction
TIMP1,7076,5,2,2,decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction
VDAC1,7416,5,2,1,affects^cotreatment|decreases^reaction|increases^degradation; affects^cotreatment|increases^degradation; affects^cotreatment|increases^degradation|increases^reaction
ABCA1,19,4,2,3,decreases^expression; decreases^expression|increases^reaction; increases^expression
ACAA1,30,4,2,2,decreases^expression; increases^abundance|increases^methylation; increases^expression
AFAP1L2,84632,4,2,2,decreases^expression; decreases^methylation|increases^abundance; increases^expression
CALD1,800,4,2,3,decreases^expression; decreases^methylation|increases^abundance; increases^expression
CASP1,834,4,2,2,decreases^reaction|increases^cleavage; increases^cleavage; increases^cleavage|increases^reaction; increases^expression
CASP8,841,4,2,4,affects^cotreatment|increases^expression; increases^activity; increases^expression
