GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
PPARA,5465,32,4,18,affects^binding; affects^binding|decreases^reaction; affects^binding|increases^activity; affects^binding|increases^reaction,hsa04931,Insulin resistance
PPARA,5465,32,4,18,affects^binding; affects^binding|decreases^reaction; affects^binding|increases^activity; affects^binding|increases^reaction,hsa03320,PPAR signaling pathway
MMP2,4313,21,4,7,affects^expression; affects^expression|affects^reaction; decreases^activity|decreases^reaction|increases^secretion; decreases^activity|decreases^response to substance,hsa04933,AGE-RAGE signaling pathway in diabetic complications
JAK3,3718,9,4,1,decreases^methylation|increases^abundance; increases^abundance|increases^expression,hsa04151,PI3K-Akt signaling pathway
PPARG,5468,30,3,27,affects^activity; affects^binding; affects^binding|affects^folding|increases^activity; affects^binding|decreases^activity,hsa04152,AMPK signaling pathway
PPARG,5468,30,3,27,affects^activity; affects^binding; affects^binding|affects^folding|increases^activity; affects^binding|decreases^activity,hsa03320,PPAR signaling pathway
TNF,7124,13,3,6,affects^reaction|decreases^reaction|increases^expression; decreases^methylation|increases^abundance; decreases^methylation|increases^abundance|increases^expression; decreases^reaction|increases^expression,hsa04931,Insulin resistance
TNF,7124,13,3,6,affects^reaction|decreases^reaction|increases^expression; decreases^methylation|increases^abundance; decreases^methylation|increases^abundance|increases^expression; decreases^reaction|increases^expression,hsa04668,TNF signaling pathway
TNF,7124,13,3,6,affects^reaction|decreases^reaction|increases^expression; decreases^methylation|increases^abundance; decreases^methylation|increases^abundance|increases^expression; decreases^reaction|increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
SOD2,6648,7,3,3,affects^response to substance|increases^abundance; decreases^reaction|increases^expression; increases^expression; increases^expression|increases^reaction,hsa04068,FoxO signaling pathway
STAT5B,6777,6,3,1,decreases^methylation|increases^abundance; increases^abundance|increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
IGF2,3481,4,3,1,decreases^methylation|increases^abundance,hsa04151,PI3K-Akt signaling pathway
MMP1,4312,3,3,2,increases^expression,hsa03320,PPAR signaling pathway
PTGS2,5743,20,2,8,affects^binding|decreases^reaction; affects^binding|increases^reaction; affects^cotreatment|affects^reaction|increases^expression; affects^reaction|increases^expression,hsa04668,TNF signaling pathway
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04910,Insulin signaling pathway
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04068,FoxO signaling pathway
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04668,TNF signaling pathway
MAPK1,5594,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04910,Insulin signaling pathway
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04068,FoxO signaling pathway
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04668,TNF signaling pathway
MAPK3,5595,19,2,13,affects^cotreatment|affects^phosphorylation|decreases^reaction; affects^cotreatment|decreases^phosphorylation; affects^cotreatment|decreases^phosphorylation|decreases^reaction; affects^cotreatment|increases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
MMP9,4318,18,2,6,affects^cotreatment|increases^secretion; affects^expression; affects^expression|affects^reaction; decreases^expression,hsa04668,TNF signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04910,Insulin signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04931,Insulin resistance
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04152,AMPK signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04068,FoxO signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04668,TNF signaling pathway
AKT1,207,17,2,8,affects^cotreatment|affects^reaction|increases^phosphorylation; affects^cotreatment|increases^phosphorylation; affects^reaction|increases^phosphorylation; decreases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion,hsa04910,Insulin signaling pathway
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion,hsa04931,Insulin resistance
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion,hsa04151,PI3K-Akt signaling pathway
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion,hsa04152,AMPK signaling pathway
INS,3630,17,2,5,affects^cotreatment|decreases^secretion|increases^reaction; affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion,hsa04068,FoxO signaling pathway
CASP3,836,13,2,13,affects^cotreatment|affects^expression; decreases^reaction|increases^activity|increases^reaction; decreases^reaction|increases^cleavage; increases^activity,hsa04668,TNF signaling pathway
CASP3,836,13,2,13,affects^cotreatment|affects^expression; decreases^reaction|increases^activity|increases^reaction; decreases^reaction|increases^cleavage; increases^activity,hsa04933,AGE-RAGE signaling pathway in diabetic complications
RELA,5970,13,2,8,affects^expression; affects^localization; affects^localization|decreases^reaction; affects^localization|increases^phosphorylation,hsa04931,Insulin resistance
RELA,5970,13,2,8,affects^expression; affects^localization; affects^localization|decreases^reaction; affects^localization|increases^phosphorylation,hsa04151,PI3K-Akt signaling pathway
RELA,5970,13,2,8,affects^expression; affects^localization; affects^localization|decreases^reaction; affects^localization|increases^phosphorylation,hsa04668,TNF signaling pathway
RELA,5970,13,2,8,affects^expression; affects^localization; affects^localization|decreases^reaction; affects^localization|increases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
TP53,7157,12,2,5,decreases^expression; decreases^expression|decreases^reaction; decreases^reaction|increases^activity; decreases^reaction|increases^expression,hsa04151,PI3K-Akt signaling pathway
BAX,581,9,2,11,affects^cotreatment|increases^expression; decreases^expression; decreases^reaction|increases^expression; increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
BCL2,596,8,2,13,affects^cotreatment|increases^expression; affects^reaction|decreases^expression; decreases^expression; decreases^expression|decreases^reaction,hsa04151,PI3K-Akt signaling pathway
BCL2,596,8,2,13,affects^cotreatment|increases^expression; affects^reaction|decreases^expression; decreases^expression; decreases^expression|decreases^reaction,hsa04933,AGE-RAGE signaling pathway in diabetic complications
MYC,4609,8,2,5,affects^cotreatment|affects^reaction|increases^expression; affects^cotreatment|decreases^reaction|increases^expression; affects^cotreatment|increases^expression; affects^reaction|decreases^expression,hsa04151,PI3K-Akt signaling pathway
VEGFA,7422,8,2,7,affects^cotreatment|increases^secretion; affects^reaction|increases^secretion; decreases^reaction|increases^expression|increases^secretion; decreases^secretion,hsa04151,PI3K-Akt signaling pathway
VEGFA,7422,8,2,7,affects^cotreatment|increases^secretion; affects^reaction|increases^secretion; decreases^reaction|increases^expression|increases^secretion; decreases^secretion,hsa04933,AGE-RAGE signaling pathway in diabetic complications
ADIPOQ,9370,7,2,5,affects^cotreatment|increases^expression|increases^reaction; affects^cotreatment|increases^expression|increases^reaction|increases^secretion; affects^cotreatment|increases^reaction|increases^secretion; decreases^methylation|increases^abundance,hsa04152,AMPK signaling pathway
