reactome_id,pathway_name,n_overlap,genes
R-HSA-556833,Metabolism of lipids,189,ABCA1;ABCB11;ABCC3;ABCG2;ABHD5;ACAA1;ACACA;ACACB;ACADM;ACADVL;ACBD7;ACLY;ACOT7;ACSF2;ACSL1;ACSL3;ACSL5;AGMO;AGPAT1;AGPAT4;AGT;AHR;AKR1C1;AKR1C2;AKR1C3;ALOX5;ALOX5AP;ANGPTL4;ANKRD1;ARNT2;ARSA;ARSD;ARSG;B3GALNT1;BCHE;BMAL1;CAV1;CD36;CGA;CIDEC;CREBBP;CYP11A1;CYP11B1;CYP17A1;CYP19A1;CYP1A1;CYP1B1;CYP2C19;CYP2C8;CYP2C9;CYP2D6;CYP2E1;CYP2J2;CYP3A4;CYP46A1;CYP4F11;DDHD1;DGAT1;DGAT2;DHCR24;EHHADH;ELOVL1;ELOVL5;EP300;EPHX2;FABP1;FABP3;FABP4;FABP5;FADS1;FASN;FDX1;FHL2;FITM2;G0S2;GLB1L3;GPAT2;GPD1;GPX1;GPX4
R-HSA-1280215,Cytokine Signaling in Immune system,181,ACTB;AKT1;ALOX5;ALPK1;ANXA1;ANXA2;BCL2;BECN1;BLNK;BOLA2B;CAMK2B;CANX;CASP1;CASP3;CASP8;CCL2;CCL20;CCL4;CCND1;CCR1;CCR2;CD36;CD40;CD70;CDC42;CDK1;CDKN1A;CENPX;CLCF1;CNN2;CNTFR;CSF1R;CSF2RB;CXCL1;CXCL10;CXCL8;DUSP4;DUSP6;EBI3;EDAR;EGR1;EIF2AK3;EIF4A1;FKBP5;FLNB;FOS;FOXO1;FOXO3;FURIN;GATA3;GBP2;GHR;GSDMD;GSTA2;GSTO1;HCK;HLA-B;HLA-C;HLA-DQB1;HLA-DQB2;HLA-E;HMOX1;HSPA1B;HSPA2;HSPA5;ICAM1;IFITM1;IFNA2;IFNL1;IFNL2;IFNL3;IKBIP;IKBKG;IL10RA;IL12B;IL1F10;IL1R1;IL1RAP;IL1RL2;IL20RB
R-HSA-2262752,Cellular responses to stress,175,ABCC3;ABCG2;ACADVL;AKT1;AKT1S1;ANAPC15;AR;ASNS;ATM;ATP6V1B1;ATP6V1E1;ATP6V1G1;BAG3;BCL2;BMAL1;CA9;CAMK2B;CAT;CBX2;CCL2;CCNA1;CCNA2;CCNE1;CCNE2;CDC26;CDK6;CDKN1A;CDKN2A;CDKN2B;CEBPB;CEBPG;CHAC1;COMMD3-BMI1;COX1;COX2;COX3;COX4I1;CREB3;CREB3L1;CREB3L2;CREBBP;CXCL8;CYBA;CYCS;DDIT3;DNAJB1;EDEM1;EIF2AK3;EP300;EPAS1;EPO;ERN1;ERO1A;ESR1;EZH2;FABP1;FKBP14;FKBP4;FKBP5;FOS;FOXO3;GPX1;GSK3B;GSTA1;GSTP1;H1-4;H2AJ;H2AX;H3-3A;H4C11;H4C12;H4C4;HBA2;HDAC3;HDAC6;HDGF;HIF3A;HIGD1A;HMGA2;HMOX1
R-HSA-1257604,PIP3 activates AKT signaling,65,AKT1;AKT1S1;CASP9;CBX2;CD19;CD28;CDKN1A;COMMD3-BMI1;EGFR;EGR1;ERBB3;ESR1;ESR2;EZH2;FGF1;FGF18;FGF19;FGF4;FGF7;FGF8;FGF9;FGFR1;FOXO1;FOXO3;GAB1;GSK3B;HDAC3;HDAC5;IER3;IL1RAP;IL33;INS;INSR;IRS1;LAMTOR2;MAPK1;MAPK3;MDM2;MECOM;MET;MTOR;MYD88;NR4A1;NRG2;NTRK3;PIK3CA;PIK3CG;PIK3R1;PPARG;PPP2CA;PSMA7;PSMB4;PSMD13;PSMD6;PTEN;RAC2;RBBP4;SALL4;SGK1;SNAI1;SRC;TP53;TRAF6;TRIB3;UBA52
R-HSA-9711123,Cellular response to chemical stress,60,ABCC3;ABCG2;AKT1;BCL2;CAT;CCL2;CDKN1A;CDKN2A;COX1;COX2;COX3;COX4I1;CREBBP;CYBA;CYCS;EIF2AK3;EP300;ERO1A;FABP1;GPX1;GSK3B;GSTA1;GSTP1;HBA2;HDAC3;HMOX1;HMOX2;MAP1LC3B;ME1;MED1;MYC;NCF2;NCOA1;NCOR1;NCOR2;NFE2L2;NFKB1;NLRP3;NOTCH1;NQO1;P4HB;PGD;PPARA;PRKCD;PSMA7;PSMB4;PSMD13;PSMD6;RELA;RXRA;SESN2;SLC7A11;SOD1;SOD2;SQSTM1;STAP2;TRIM21;TXN;TXNRD1;UBA52
R-HSA-1989781,PPARA activates gene expression,46,ABCA1;ACADM;ACSL1;AGT;AHR;ANGPTL4;ANKRD1;ARNT2;BMAL1;CD36;CREBBP;CYP1A1;EP300;FABP1;FADS1;FHL2;G0S2;HDAC3;HMGCR;HMGCS2;ME1;MED1;MED18;MED19;MED23;MED4;NCOA1;NCOR1;NCOR2;NPAS2;NR1H2;NR1H3;NRF1;PLIN2;PPARA;PPARG;PPARGC1A;RXRA;RXRB;SREBF1;SREBF2;TIAM2;TNFRSF21;TRIB3;TXNRD1;UGT1A9
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,46,ABCA1;ACADM;ACSL1;AGT;AHR;ANGPTL4;ANKRD1;ARNT2;BMAL1;CD36;CREBBP;CYP1A1;EP300;FABP1;FADS1;FHL2;G0S2;HDAC3;HMGCR;HMGCS2;ME1;MED1;MED18;MED19;MED23;MED4;NCOA1;NCOR1;NCOR2;NPAS2;NR1H2;NR1H3;NRF1;PLIN2;PPARA;PPARG;PPARGC1A;RXRA;RXRB;SREBF1;SREBF2;TIAM2;TNFRSF21;TRIB3;TXNRD1;UGT1A9
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),39,AFP;AHSG;APOL1;C3;C4A;C4B;CDH2;CHRDL1;F2;FAM20A;GOLM1;GPC3;IGF1;IGF2;IGFBP1;IGFBP3;IGFBP4;IGFBP7;IL6;KLK3;LGALS1;MMP1;MMP2;MSLN;P4HB;PAPPA2;PCSK9;PLG;PRSS23;RCN1;SERPINA10;SPP1;SPP2;STC2;TF;TIMP1;TNC;VGF;WFS1
R-HSA-1483257,Phospholipid metabolism,39,AGPAT1;AGPAT4;BCHE;DDHD1;DGAT1;DGAT2;GPAT2;GPD1;HADHA;HADHB;INPP5F;LPCAT2;LPCAT3;MBOAT1;MBOAT2;MGLL;OSBPL10;PEMT;PIK3CA;PIK3CG;PIK3R1;PLA2G12A;PLA2G15;PLA2G2A;PLA2G2E;PLA2G4A;PLA2R1;PLAAT3;PLBD1;PLD1;PLD6;PTEN;RAB4A;RUFY1;SLC44A2;SLC44A3;STARD10;SYNJ2;TNFAIP8
R-HSA-199418,Negative regulation of the PI3K/AKT network,37,AKT1;CD19;CD28;EGFR;ERBB3;ESR1;ESR2;FGF1;FGF18;FGF19;FGF4;FGF7;FGF8;FGF9;FGFR1;GAB1;IER3;IL1RAP;IL33;INS;INSR;IRS1;MAPK1;MAPK3;MET;MYD88;NRG2;NTRK3;PIK3CA;PIK3CG;PIK3R1;PPP2CA;PTEN;RAC2;SRC;TRAF6;TRIB3
