GeneID,reactome_id,pathway_name,GeneSymbol,n_chemical_edges,n_chemicals
1000,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),CDH2,4,2
1000,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),CDH2,4,2
10007,R-HSA-70326,Glucose metabolism,GNPDA1,2,1
10013,R-HSA-2262752,Cellular responses to stress,HDAC6,8,2
10013,R-HSA-3371556,Cellular response to heat stress,HDAC6,8,2
10014,R-HSA-1257604,PIP3 activates AKT signaling,HDAC5,1,1
100188893,R-HSA-1268020,Mitochondrial protein import,TOMM6,1,1
100287932,R-HSA-1268020,Mitochondrial protein import,TIMM23,5,2
100287932,R-HSA-1268020,Mitochondrial protein import,TIMM23,5,2
100287932,R-HSA-1268020,Mitochondrial protein import,TIMM23,5,2
100532731,R-HSA-1257604,PIP3 activates AKT signaling,COMMD3-BMI1,1,1
100532731,R-HSA-1257604,PIP3 activates AKT signaling,COMMD3-BMI1,1,1
100532731,R-HSA-2262752,Cellular responses to stress,COMMD3-BMI1,1,1
100532731,R-HSA-2262752,Cellular responses to stress,COMMD3-BMI1,1,1
100532731,R-HSA-2559580,Oxidative Stress Induced Senescence,COMMD3-BMI1,1,1
100532731,R-HSA-2559580,Oxidative Stress Induced Senescence,COMMD3-BMI1,1,1
10062,R-HSA-1989781,PPARA activates gene expression,NR1H3,2,1
10062,R-HSA-400206,Regulation of lipid metabolism by PPARalpha,NR1H3,2,1
10062,R-HSA-556833,Metabolism of lipids,NR1H3,2,1
10148,R-HSA-1280215,Cytokine Signaling in Immune system,EBI3,1,1
10148,R-HSA-1280215,Cytokine Signaling in Immune system,EBI3,1,1
10162,R-HSA-1483206,Glycerophospholipid biosynthesis,LPCAT3,1,1
10162,R-HSA-1483257,Phospholipid metabolism,LPCAT3,1,1
10162,R-HSA-556833,Metabolism of lipids,LPCAT3,1,1
1021,R-HSA-2262752,Cellular responses to stress,CDK6,1,1
1021,R-HSA-2559580,Oxidative Stress Induced Senescence,CDK6,1,1
1021,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDK6,1,1
1021,R-HSA-9632700,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,CDK6,1,1
1021,R-HSA-9675132,Diseases of cellular response to stress,CDK6,1,1
10232,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),MSLN,1,1
10232,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),MSLN,1,1
1026,R-HSA-1257604,PIP3 activates AKT signaling,CDKN1A,5,2
1026,R-HSA-1257604,PIP3 activates AKT signaling,CDKN1A,5,2
1026,R-HSA-1280215,Cytokine Signaling in Immune system,CDKN1A,5,2
1026,R-HSA-198323,AKT phosphorylates targets in the cytosol,CDKN1A,5,2
1026,R-HSA-198323,AKT phosphorylates targets in the cytosol,CDKN1A,5,2
1026,R-HSA-2219528,PI3K/AKT Signaling in Cancer,CDKN1A,5,2
1026,R-HSA-2219528,PI3K/AKT Signaling in Cancer,CDKN1A,5,2
1026,R-HSA-2262752,Cellular responses to stress,CDKN1A,5,2
1026,R-HSA-2262752,Cellular responses to stress,CDKN1A,5,2
1026,R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,CDKN1A,5,2
1026,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,CDKN1A,5,2
1026,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,CDKN1A,5,2
1026,R-HSA-9711123,Cellular response to chemical stress,CDKN1A,5,2
10266,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,RAMP2,1,1
10266,R-HSA-9860931,Response of endothelial cells to shear stress,RAMP2,1,1
1029,R-HSA-2262752,Cellular responses to stress,CDKN2A,2,2
1029,R-HSA-2262752,Cellular responses to stress,CDKN2A,2,2
1029,R-HSA-2262752,Cellular responses to stress,CDKN2A,2,2
1029,R-HSA-2559580,Oxidative Stress Induced Senescence,CDKN2A,2,2
1029,R-HSA-2559580,Oxidative Stress Induced Senescence,CDKN2A,2,2
1029,R-HSA-2559580,Oxidative Stress Induced Senescence,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
1029,R-HSA-9632693,Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects,CDKN2A,2,2
