relative_path,bytes,modified
extended_figures\extended_figure_catalog_high_impact.csv,4351,2026-06-11T00:18:30
extended_figures\extended_figure_design_high_impact.md,4966,2026-06-11T00:18:30
journal_style_alignment_notes.md,1012,2026-06-11T00:18:30
logs\figure_build_priority_and_gap_audit.csv,4870,2026-06-11T00:18:30
main_figures\main_figure_catalog_high_impact.csv,9032,2026-06-11T00:18:30
main_figures\main_figure_design_high_impact.md,9389,2026-06-11T00:18:30
README_high_impact_figure_table_design.md,2185,2026-06-11T00:18:30
reviewer_strategy\reviewer_concern_response_matrix.csv,1454,2026-06-11T00:18:30
source_mapping\claim_to_display_crosswalk.csv,2283,2026-06-11T00:18:30
source_mapping\display_source_data_map.csv,12815,2026-06-11T00:18:30
tables\main_table_catalog_high_impact.csv,1515,2026-06-11T00:18:30
tables\supplementary_table_catalog_high_impact.csv,5723,2026-06-11T00:18:30
tables\table_design_high_impact.md,6201,2026-06-11T00:18:30
workbook_source\Build_Audit.csv,4870,2026-06-11T00:18:30
workbook_source\Claims_Crosswalk.csv,2283,2026-06-11T00:18:30
workbook_source\Extended_Figures.csv,4351,2026-06-11T00:18:30
workbook_source\high_impact_display_workbook_data.json,67620,2026-06-11T00:18:30
workbook_source\Main_Figures.csv,9032,2026-06-11T00:18:30
workbook_source\Main_Tables.csv,1515,2026-06-11T00:18:30
workbook_source\Reviewer_Strategy.csv,1454,2026-06-11T00:18:30
workbook_source\Source_Map.csv,12815,2026-06-11T00:18:30
workbook_source\Supp_Tables.csv,5723,2026-06-11T00:18:30
