figure,group,format,path,bytes,width_px,height_px,mode
MainFigure1_EvidenceArchitecture,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.pdf,27964,,,
MainFigure1_EvidenceArchitecture,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.svg,27907,,,
MainFigure1_EvidenceArchitecture,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.png,772182,7869.0,4749.0,RGBA
MainFigure1_EvidenceArchitecture,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.tiff,2928084,7869.0,4749.0,RGBA
MainFigure2_NHANES_ExposureResponse,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.pdf,36869,,,
MainFigure2_NHANES_ExposureResponse,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.svg,85913,,,
MainFigure2_NHANES_ExposureResponse,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.png,1901362,7551.0,5829.0,RGBA
MainFigure2_NHANES_ExposureResponse,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.tiff,4351936,7551.0,5829.0,RGBA
MainFigure3_MSI_Validation,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.pdf,41627,,,
MainFigure3_MSI_Validation,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.svg,120595,,,
MainFigure3_MSI_Validation,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.png,1228372,6906.0,5649.0,RGBA
MainFigure3_MSI_Validation,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.tiff,4967230,6906.0,5649.0,RGBA
MainFigure4_CGMacros_PPGR_Vulnerability,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.pdf,53765,,,
MainFigure4_CGMacros_PPGR_Vulnerability,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.svg,151343,,,
MainFigure4_CGMacros_PPGR_Vulnerability,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.png,1538406,7269.0,5709.0,RGBA
MainFigure4_CGMacros_PPGR_Vulnerability,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.tiff,3974288,7269.0,5709.0,RGBA
MainFigure5_FoodMatrix_Interaction,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.pdf,81455,,,
MainFigure5_FoodMatrix_Interaction,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.svg,362841,,,
MainFigure5_FoodMatrix_Interaction,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.png,1673154,7264.0,5769.0,RGBA
MainFigure5_FoodMatrix_Interaction,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.tiff,7383378,7264.0,5769.0,RGBA
MainFigure6_Dynamic_CGM_Phenotypes,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.pdf,37207,,,
MainFigure6_Dynamic_CGM_Phenotypes,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.svg,91862,,,
MainFigure6_Dynamic_CGM_Phenotypes,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.png,1703585,7088.0,5349.0,RGBA
