figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
MainFigure1_EvidenceArchitecture,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.pdf,True,27964,ok,,,
MainFigure1_EvidenceArchitecture,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.svg,True,27907,ok,,,
MainFigure1_EvidenceArchitecture,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.png,True,772182,ok,7869.0,4749.0,23.41454928951423
MainFigure1_EvidenceArchitecture,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure1_EvidenceArchitecture.tiff,True,2928084,ok,7869.0,4749.0,23.41454928951423
MainFigure2_NHANES_ExposureResponse,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.pdf,True,36869,ok,,,
MainFigure2_NHANES_ExposureResponse,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.svg,True,85913,ok,,,
MainFigure2_NHANES_ExposureResponse,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.png,True,1901362,ok,7551.0,5829.0,19.272123325233196
MainFigure2_NHANES_ExposureResponse,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure2_NHANES_ExposureResponse.tiff,True,4351936,ok,7551.0,5829.0,19.272123325233196
MainFigure3_MSI_Validation,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.pdf,True,41627,ok,,,
MainFigure3_MSI_Validation,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.svg,True,120595,ok,,,
MainFigure3_MSI_Validation,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.png,True,1228372,ok,6906.0,5649.0,48.4875956082514
MainFigure3_MSI_Validation,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure3_MSI_Validation.tiff,True,4967230,ok,6906.0,5649.0,48.4875956082514
MainFigure4_CGMacros_PPGR_Vulnerability,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.pdf,True,53765,ok,,,
MainFigure4_CGMacros_PPGR_Vulnerability,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.svg,True,151343,ok,,,
MainFigure4_CGMacros_PPGR_Vulnerability,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.png,True,1538406,ok,7269.0,5709.0,24.00953853198466
MainFigure4_CGMacros_PPGR_Vulnerability,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure4_CGMacros_PPGR_Vulnerability.tiff,True,3974288,ok,7269.0,5709.0,24.025210094029475
MainFigure5_FoodMatrix_Interaction,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.pdf,True,81455,ok,,,
MainFigure5_FoodMatrix_Interaction,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure5_FoodMatrix_Interaction.svg,True,362841,ok,,,
