target,target_label,unit,scenario_id,scenario_label,scenario_type,scenario_description,n_meals,n_subjects,mean_baseline_prediction,mean_counterfactual_prediction,mean_delta_pred,median_delta_pred,q25_delta_pred,q75_delta_pred,mean_predicted_reduction,median_predicted_reduction,percent_meals_with_predicted_reduction,mean_relative_reduction_percent,median_relative_reduction_percent,high_risk_n_meals,high_risk_mean_delta_pred,high_risk_mean_predicted_reduction,high_risk_percent_meals_with_predicted_reduction
iauc_2h,2-h glucose iAUC,mg/dL*min,S7_cap_carbs_45g_energy_reduced,Cap carbs at 45 g,meal_substitution,Cap effective carbohydrates at 45 g; reduce energy accordingly.,1483,40,2890.0083951340134,2332.53849522585,-557.4698999081637,0.0,-891.5843776720377,0.0,557.4698999081637,0.0,45.38098449089683,9.411631406611706,0.0,371,-1513.4199092541162,1513.4199092541162,69.81132075471697
iauc_2h,2-h glucose iAUC,mg/dL*min,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",meal_substitution,Replace 20% of carbohydrate grams with protein grams at equal energy.,1483,40,2890.0083951340134,2604.4494317153703,-285.55896341864366,-157.17205946638245,-410.86423950646144,-2.7296682623752986,285.55896341864366,157.17205946638245,75.79231287929872,25.050631827993413,7.02014522163301,371,-677.99060398856,677.99060398856,92.18328840970352
iauc_2h,2-h glucose iAUC,mg/dL*min,S4_fiber_plus_5,Fiber +5 g,meal_substitution,Increase effective fiber by 5 g; keep energy unchanged.,1483,40,2890.0083951340134,2676.408152321422,-213.600242812592,-77.06702130401425,-285.8171686806531,0.0,213.600242812592,77.06702130401425,74.44369521240728,16.883985168369744,4.408184030554592,371,-513.4862840575305,513.4862840575305,89.21832884097036
iauc_2h,2-h glucose iAUC,mg/dL*min,S5_protein_plus_10_energy_added,"Protein +10 g, energy added",meal_substitution,Add 10 g protein and 40 kcal.,1483,40,2890.0083951340134,2697.7297757722063,-192.27861936180736,-96.8560205613121,-310.41664889825654,10.473307612470094,192.27861936180736,96.8560205613121,68.57720836142953,22.987482258848424,4.550316652072753,371,-419.3876737985105,419.3876737985105,88.14016172506739
iauc_2h,2-h glucose iAUC,mg/dL*min,S6_cap_carbs_60g_energy_reduced,Cap carbs at 60 g,meal_substitution,Cap effective carbohydrates at 60 g; reduce energy accordingly.,1483,40,2890.0083951340134,2707.268884051085,-182.7395110829293,0.0,-284.5341516381324,0.0,182.7395110829293,0.0,38.09844908968307,2.2739868720011747,0.0,371,-480.94416051408456,480.94416051408456,61.725067385444746
iauc_2h,2-h glucose iAUC,mg/dL*min,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",meal_substitution,Reduce effective carbohydrates by 20%; reduce calories by 4 kcal/g carbohydrate removed.,1483,40,2890.0083951340134,2728.5237014387712,-161.48469369524236,-33.26885864210499,-245.80485862114563,0.0,161.48469369524236,33.26885864210499,62.98044504383007,9.27277338460548,2.298836627283127,371,-417.2394087595085,417.2394087595085,76.54986522911051
iauc_2h,2-h glucose iAUC,mg/dL*min,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",meal_substitution,Replace 20% of carbohydrate energy with fat energy.,1483,40,2890.0083951340134,2757.288844195421,-132.71955093859268,-27.74206749390192,-236.7336390692867,24.06074869297516,132.71955093859268,27.74206749390192,60.08091706001348,-1.158160920169364,1.4566996842506383,371,-407.060527728865,407.060527728865,81.13207547169812
iauc_2h,2-h glucose iAUC,mg/dL*min,S8_late_meal_to_noon_exploratory,Late meal to noon,timing_exploratory,"For meals after 18:00, shift timing features to noon; food unchanged.",1483,40,2890.0083951340134,3074.466966951796,184.45857181778223,0.0,0.0,55.8480396618736,-184.45857181778223,0.0,5.057316250842886,-36.657251709834895,0.0,371,1.4877972397960344,-1.4877972397960344,13.746630727762804
peak_delta_2h,2-h peak glucose excursion,mg/dL,S7_cap_carbs_45g_energy_reduced,Cap carbs at 45 g,meal_substitution,Cap effective carbohydrates at 45 g; reduce energy accordingly.,1468,40,50.24809264297946,41.53837807733428,-8.709714565645166,0.0,-15.74169690565948,0.0,8.709714565645166,0.0,44.95912806539509,-35.1840912520318,0.0,367,-21.15618086958285,21.15618086958285,70.29972752043598
peak_delta_2h,2-h peak glucose excursion,mg/dL,S2_carb_minus_20_to_protein_isocaloric,"Carb -20% to protein, isocaloric",meal_substitution,Replace 20% of carbohydrate grams with protein grams at equal energy.,1468,40,50.24809264297946,45.09667646733117,-5.151416175648275,-2.94869586073224,-9.214975693998056,0.0,5.151416175648275,2.94869586073224,74.65940054495913,-95.01205760593746,7.230198218399471,367,-10.888042699915546,10.888042699915546,88.8283378746594
peak_delta_2h,2-h peak glucose excursion,mg/dL,S5_protein_plus_10_energy_added,"Protein +10 g, energy added",meal_substitution,Add 10 g protein and 40 kcal.,1468,40,50.24809264297946,46.94709741290647,-3.300995230072973,-1.3740559952690123,-5.7017069105774985,0.1482875702758948,3.300995230072973,1.3740559952690123,67.91553133514986,15.65499669206828,3.33736621957492,367,-6.4198993735088905,6.4198993735088905,85.28610354223434
peak_delta_2h,2-h peak glucose excursion,mg/dL,S6_cap_carbs_60g_energy_reduced,Cap carbs at 60 g,meal_substitution,Cap effective carbohydrates at 60 g; reduce energy accordingly.,1468,40,50.24809264297946,46.99400680529158,-3.254085837687859,0.0,-5.559959025071631,0.0,3.254085837687859,0.0,38.89645776566758,-43.37129747318559,0.0,367,-8.004293899966074,8.004293899966074,63.76021798365122
peak_delta_2h,2-h peak glucose excursion,mg/dL,S3_carb_minus_20_to_fat_isocaloric,"Carb -20% to fat, isocaloric",meal_substitution,Replace 20% of carbohydrate energy with fat energy.,1468,40,50.24809264297946,47.55768528404705,-2.6904073589324136,-0.9027787056795392,-4.932995369301207,0.2073690106329113,2.6904073589324136,0.9027787056795392,64.30517711171662,-28.658744472211588,2.283499377541414,367,-6.81343861839237,6.81343861839237,79.56403269754769
peak_delta_2h,2-h peak glucose excursion,mg/dL,S1_carb_minus_20_energy_reduced,"Carb -20%, energy reduced",meal_substitution,Reduce effective carbohydrates by 20%; reduce calories by 4 kcal/g carbohydrate removed.,1468,40,50.24809264297946,47.62224887951514,-2.6258437634643057,-0.7863820578939755,-4.488243447646847,0.0287315470743498,2.6258437634643057,0.7863820578939755,65.59945504087193,-43.840569294851925,2.124624831348269,367,-6.371913849141645,6.371913849141645,75.74931880108991
peak_delta_2h,2-h peak glucose excursion,mg/dL,S4_fiber_plus_5,Fiber +5 g,meal_substitution,Increase effective fiber by 5 g; keep energy unchanged.,1468,40,50.24809264297946,48.39740455093059,-1.8506880920488693,-0.6877789502611327,-2.5249880358450376,0.0,1.8506880920488693,0.6877789502611327,72.41144414168937,12.318628111924236,1.7543918679613484,367,-4.309236204107536,4.309236204107536,86.92098092643052
