model,outcome,outcome_label,exposure,exposure_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,label,color
primary,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1827882042688603,0.0390605998437584,4.679605664019738,2.8742719969964227e-06,0.1062294285750938,0.2593469799626268,1313,60,20,7.544963992115609e-06,primary | MSI core | ln oxidative/MEHP,#3E6FA5
primary,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1716920855041849,0.0356567160103427,4.815140167546079,1.4709660202333702e-06,0.101804922123913,0.2415792488844567,1306,60,20,5.148381070816796e-06,primary | MSI without BMI | ln oxidative/MEHP,#3E6FA5
primary,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.2184098895182327,0.0461253065404364,4.735142287385352,2.18901471113616e-06,0.1280042886989773,0.3088154903374881,1292,60,20,6.56704413340848e-06,primary | ln(HOMA-IR) | ln oxidative/MEHP,#3E6FA5
primary,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1345694425784858,0.0296235026297018,4.542658046235236,5.55493205981237e-06,0.0765073774242702,0.1926315077327015,2671,60,21,1.2961508139562198e-05,primary | HbA1c | ln oxidative/MEHP,#3E6FA5
exclude_diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1402048236721556,0.0391684276270569,3.579536687229799,0.0003442039249647,0.0634347055231239,0.2169749418211872,1134,60,20,0.000516305887447,exclude_diabetes_history | MSI core | ln oxidative/MEHP,#007C89
exclude_diabetes_history,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1238359539404314,0.033726844443264,3.6717325911930656,0.0002409116855693,0.0577313388316338,0.189940569049229,1132,60,20,0.000389165030535,exclude_diabetes_history | MSI without BMI | ln oxidative/MEHP,#007C89
exclude_diabetes_history,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1816622378879273,0.0471562893289672,3.85234378007634,0.0001169926148522,0.0892359108031514,0.2740885649727032,1120,60,20,0.0002233495374451,exclude_diabetes_history | ln(HOMA-IR) | ln oxidative/MEHP,#007C89
exclude_diabetes_history,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.0645113853453045,0.0213900438211433,3.015953865486583,0.0025617223343304,0.0225868994558636,0.1064358712347454,2292,60,21,0.0035864112680626,exclude_diabetes_history | HbA1c | ln oxidative/MEHP,#007C89
without_urinary_creatinine_covariate,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.2031734738131362,0.030781869278228,6.60042676345327,4.099758785088472e-11,0.1428410100278093,0.2635059375984631,1314,60,19,5.350514744511172e-10,without_urinary_creatinine_covariate | MSI core | ln oxidative/MEHP,#007C89
without_urinary_creatinine_covariate,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1839669280433639,0.0289794998345682,6.348174712936848,2.1788455811681727e-10,0.12716710836761,0.2407667477191177,1307,60,19,1.525191906817721e-09,without_urinary_creatinine_covariate | MSI without BMI | ln oxidative/MEHP,#007C89
without_urinary_creatinine_covariate,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.2425806155291985,0.036933082680632,6.568111782784093,5.0957283281058775e-11,0.1701917734751597,0.3149694575832374,1293,60,19,5.350514744511172e-10,without_urinary_creatinine_covariate | ln(HOMA-IR) | ln oxidative/MEHP,#007C89
without_urinary_creatinine_covariate,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP,0.1163002798062748,0.0282943349909033,4.110373325390591,3.950199397896087e-05,0.0608433832241042,0.1717571763884455,2672,60,20,8.295418735581784e-05,without_urinary_creatinine_covariate | HbA1c | ln oxidative/MEHP,#007C89
