subgroup_variable,subgroup_level,outcome,outcome_label,exposure,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,subgroup
sex,female,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1682496119474034,0.0584781617724584,2.8771357862114644,0.0040130287032877,0.0536324148733848,0.282866809021422,667,60,19,0.0061621029163155,sex: female
sex,male,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1984012171436353,0.0484759548779438,4.092775844089794,4.262397213152746e-05,0.1033883455828654,0.2934140887044053,646,60,19,0.0002415358420786,sex: male
age,40-60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2285225447086762,0.066546986936229,3.4340028787128394,0.0005947378797716,0.0980904503136673,0.3589546391036851,459,60,20,0.0015797724931433,age: 40-60
age,<40,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2129284768843191,0.0665891275789979,3.197646291907213,0.0013855411317802,0.0824137868294831,0.3434431669391551,404,60,20,0.003007858427186,age: <40
age,>60,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1351841180502238,0.0574908937367663,2.351400530824789,0.0187028894198346,0.0225019663261618,0.2478662697742858,450,60,20,0.0240870545558476,age: >60
obesity,BMI<30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.0650195500786274,0.0272543005734742,2.3856620316981787,0.0170484103765187,0.0116011209546178,0.118437979202637,783,60,20,0.0222940751077552,obesity: BMI<30
obesity,BMI>=30,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1616513340550569,0.0525976240057825,3.073358105249868,0.002116643208462,0.058559991003723,0.2647426771063908,530,59,20,0.0039111885373755,obesity: BMI>=30
diabetes_history,diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3733404377788165,0.1134126285401094,3.2918771267767686,0.0009952108307725,0.1510516858402019,0.5956291897174311,179,53,20,0.0024169405890191,diabetes_history: diabetes_history
diabetes_history,no_diabetes_history,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1402048236721556,0.0391684276270569,3.579536687229799,0.0003442039249647,0.0634347055231239,0.2169749418211872,1134,60,20,0.0010088735731724,diabetes_history: no_diabetes_history
race_ethnicity,1,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,-0.0662879906630165,0.0731686937399404,-0.9059611054233162,0.3649564395078403,-0.2096986303932999,0.0771226490672667,177,40,15,0.3877662169770803,race_ethnicity: 1
race_ethnicity,2,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.3997249200388201,0.072062993928347,5.546881946596204,2.9080894804672218e-08,0.2584814519392599,0.5409683881383804,150,46,15,1.2359380291985692e-06,race_ethnicity: 2
race_ethnicity,3,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1481114946225022,0.0508016159351336,2.915487861874698,0.0035513292091564,0.0485403273896403,0.247682661855364,532,58,15,0.005695527976949,race_ethnicity: 3
race_ethnicity,4,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2714255747518591,0.0611333653676091,4.439892571261439,9.000379472226847e-06,0.1516041786313451,0.391246970872373,285,52,15,8.500358390436466e-05,race_ethnicity: 4
race_ethnicity,6,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1386175349929889,0.0713220269418204,1.9435445252567416,0.0519504010969262,-0.0011736378129791,0.278408707798957,123,43,15,0.0613303346283157,race_ethnicity: 6
race_ethnicity,7,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2890245650514501,0.2257600372470974,1.2802290811775014,0.2004645810476852,-0.1534651079528609,0.7315142380557611,46,27,14,0.2271931918540432,race_ethnicity: 7
diet_source_proxy,high_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.2249796265791073,0.0610708473207412,3.683911988276908,0.0002296815739295,0.1052807658304545,0.3446784873277602,305,60,20,0.0007584256767923,diet_source_proxy: high_carb_energy
diet_source_proxy,lower_carb_energy,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln_oxidative_to_MEHP,0.1651422322091589,0.0411695072140845,4.011275416788612,6.0391608632427685e-05,0.0844499980695531,0.2458344663487647,1008,60,20,0.0003019580431621,diet_source_proxy: lower_carb_energy
