outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI,estimate_CI_for_table,label,color
iauc_2h_per1000,2h iAUC,base_interaction,carbs_10g,0.1799839236007174,0.0197538986395979,9.111311487643665,8.139203597166858e-20,0.1412662822671054,0.2187015649343294,1498,40,1000 mg/dL*min,1.9534088633200457e-18,"0.180 (0.141, 0.219)","0.180 (0.141, 0.219)",2-h iAUC /1000 | Carbohydrate /10 g,#626D78
iauc_2h_per1000,2h iAUC,base_interaction,msi_core_centered,1.0698402619532943,0.2700864088930994,3.961103656929064,7.460413515665013e-05,0.5404709005228197,1.5992096233837694,1498,40,1000 mg/dL*min,0.0001989443604177,"1.070 (0.540, 1.599)","1.070 (0.540, 1.599)",2-h iAUC /1000 | MSI,#E17C3A
iauc_2h_per1000,2h iAUC,base_interaction,carbs_x_msi,0.0415313615754975,0.0269377807132425,1.5417514166295356,0.1231340121698404,-0.0112666886224579,0.0943294117734529,1498,40,1000 mg/dL*min,0.1611936159314275,"0.042 (-0.011, 0.094)","0.042 (-0.011, 0.094)",2-h iAUC /1000 | Carb x MSI,#8E5EA2
peak_delta_2h,2h peak delta,base_interaction,carbs_10g,2.48417511008562,0.2940393820364735,8.448443514200678,2.9521202614665816e-17,1.907857921294132,3.0604922988771084,1498,40,mg/dL,5.313816470639848e-16,"2.484 (1.908, 3.060)","2.484 (1.908, 3.060)",2-h peak delta | Carbohydrate /10 g,#626D78
peak_delta_2h,2h peak delta,base_interaction,msi_core_centered,17.35623491591392,3.935286774384564,4.410411721170751,1.0317426151565289e-05,9.643072838120174,25.069396993707663,1498,40,mg/dL,3.5374032519652414e-05,"17.356 (9.643, 25.069)","17.356 (9.643, 25.069)",2-h peak delta | MSI,#E17C3A
peak_delta_2h,2h peak delta,base_interaction,carbs_x_msi,0.4878566784156677,0.3893920740624812,1.2528675104398428,0.2102539275226613,-0.2753517867467955,1.2510651435781308,1498,40,mg/dL,0.2523047130271936,"0.488 (-0.275, 1.251)","0.488 (-0.275, 1.251)",2-h peak delta | Carb x MSI,#8E5EA2
high_iauc_top_quartile,High iAUC top quartile,base_interaction,carbs_10g,0.0205140514485878,0.0038659764043116,5.306305394339388,1.1186947277655628e-07,0.0129367376961369,0.0280913652010387,1498,40,risk difference,6.391881972097851e-07,"0.021 (0.013, 0.028)","0.021 (0.013, 0.028)",High iAUC | Carbohydrate /10 g,#626D78
high_iauc_top_quartile,High iAUC top quartile,base_interaction,msi_core_centered,0.128842569224559,0.0335365650117785,3.8418534867631102,0.000122108721033,0.0631109018014731,0.194574236647645,1498,40,risk difference,0.0002930609304792,"0.129 (0.063, 0.195)","0.129 (0.063, 0.195)",High iAUC | MSI,#E17C3A
high_iauc_top_quartile,High iAUC top quartile,base_interaction,carbs_x_msi,0.0035852247007689,0.0047314529110312,0.7577428684559302,0.4486049302721586,-0.0056884230048522,0.0128588724063901,1498,40,risk difference,0.512691348882467,"0.004 (-0.006, 0.013)","0.004 (-0.006, 0.013)",High iAUC | Carb x MSI,#8E5EA2
high_peak_top_quartile,High peak top quartile,base_interaction,carbs_10g,0.0177840799642333,0.003562740876886,4.991684935497516,5.985483456456273e-07,0.0108011078455366,0.0247670520829299,1498,40,risk difference,2.394193382582509e-06,"0.018 (0.011, 0.025)","0.018 (0.011, 0.025)",High peak | Carbohydrate /10 g,#626D78
high_peak_top_quartile,High peak top quartile,base_interaction,msi_core_centered,0.1305676419682792,0.0345246888839408,3.781862956309301,0.0001556590543377,0.0628992517557552,0.1982360321808031,1498,40,risk difference,0.0003615307068489,"0.131 (0.063, 0.198)","0.131 (0.063, 0.198)",High peak | MSI,#E17C3A
high_peak_top_quartile,High peak top quartile,base_interaction,carbs_x_msi,0.0066765135210986,0.0044171839091789,1.5114864262782295,0.1306645643518434,-0.0019811669408921,0.0153341939830894,1498,40,risk difference,0.1650499760233811,"0.007 (-0.002, 0.015)","0.007 (-0.002, 0.015)",High peak | Carb x MSI,#8E5EA2
