cluster,minute,feature_derived_delta
low_stable_response (0),0.0,0.0
low_stable_response (0),1.0,0.23741645379592077
low_stable_response (0),2.0,0.4687616057676919
low_stable_response (0),3.0,0.694151899105909
low_stable_response (0),4.0,0.9137017918487937
low_stable_response (0),5.0,1.1275237886103517
low_stable_response (0),6.0,1.335728471821715
low_stable_response (0),7.0,1.538424532492923
low_stable_response (0),8.0,1.7357188005023096
low_stable_response (0),9.0,1.9277162744205327
low_stable_response (0),10.0,2.1145201508762104
low_stable_response (0),11.0,2.296231853469996
low_stable_response (0),12.0,2.4729510612438506
low_stable_response (0),13.0,2.644775736712147
low_stable_response (0),14.0,2.8118021534611755
low_stable_response (0),15.0,2.974124923323481
low_stable_response (0),16.0,3.131837023133415
low_stable_response (0),17.0,3.285029821070154
low_stable_response (0),18.0,3.4337931025943638
low_stable_response (0),19.0,3.5782150959846035
low_stable_response (0),20.0,3.718382497479442
low_stable_response (0),21.0,3.854380496031225
low_stable_response (0),22.0,3.986292797677282
low_stable_response (0),23.0,4.1142016495343405
low_stable_response (0),24.0,4.238187863421768
low_stable_response (0),25.0,4.358330839119237
low_stable_response (0),26.0,4.474708587264282
low_stable_response (0),27.0,4.587397751895162
low_stable_response (0),28.0,4.696473632644357
low_stable_response (0),29.0,4.802010206587938
low_stable_response (0),30.0,4.904080149756004
low_stable_response (0),31.0,5.0027548583092445
low_stable_response (0),32.0,5.098104469386692
low_stable_response (0),33.0,5.190197881629576
low_stable_response (0),34.0,5.27910277538617
low_stable_response (0),35.0,5.364885632602431
low_stable_response (0),36.0,5.447611756403164
low_stable_response (0),37.0,5.527345290368368
low_stable_response (0),38.0,5.604149237509367
low_stable_response (0),39.0,5.678085478949244
low_stable_response (0),40.0,5.749214792312038
low_stable_response (0),41.0,5.817596869825096
low_stable_response (0),42.0,5.883290336138928
low_stable_response (0),43.0,5.946352765868788
low_stable_response (0),44.0,6.006840700862239
low_stable_response (0),45.0,6.064809667196786
low_stable_response (0),46.0,6.120314191911698
low_stable_response (0),47.0,6.173407819478019
low_stable_response (0),48.0,6.22414312801073
low_stable_response (0),49.0,6.272571745226963
low_stable_response (0),50.0,6.318744364154117
low_stable_response (0),51.0,6.362710758591652
low_stable_response (0),52.0,6.404519798330296
low_stable_response (0),53.0,6.444219464132353
low_stable_response (0),54.0,6.481856862476709
low_stable_response (0),55.0,6.517478240072126
low_stable_response (0),56.0,6.551128998142327
low_stable_response (0),57.0,6.582853706486338
low_stable_response (0),58.0,6.612696117317502
low_stable_response (0),59.0,6.640699178884519
low_stable_response (0),60.0,6.666905048877832
low_stable_response (0),61.0,6.6913551076246165
low_stable_response (0),62.0,6.714089971075585
low_stable_response (0),63.0,6.73514950358678
low_stable_response (0),64.0,6.754572830499473
low_stable_response (0),65.0,6.772398350521235
low_stable_response (0),66.0,6.788663747911222
low_stable_response (0),67.0,6.803406004472638
low_stable_response (0),68.0,6.816661411355332
low_stable_response (0),69.0,6.828465580671415
low_stable_response (0),70.0,6.8388534569267545
low_stable_response (0),71.0,6.84785932827114
low_stable_response (0),72.0,6.855516837569915
low_stable_response (0),73.0,6.861858993299776
low_stable_response (0),74.0,6.866918180271443
low_stable_response (0),75.0,6.870726170181827
low_stable_response (0),76.0,6.873314131998335
low_stable_response (0),77.0,6.874712642177838
low_stable_response (0),78.0,6.874951694722869
low_stable_response (0),79.0,6.87406071107752
low_stable_response (0),80.0,6.8720685498655065
low_stable_response (0),81.0,6.869003516472804
low_stable_response (0),82.0,6.864893372477258
low_stable_response (0),83.0,6.802838159763961
low_stable_response (0),84.0,6.605324269429715
low_stable_response (0),85.0,6.412636056603992
low_stable_response (0),86.0,6.224707206597955
low_stable_response (0),87.0,6.041468836794339
low_stable_response (0),88.0,5.862849814401762
low_stable_response (0),89.0,5.688777052643189
low_stable_response (0),90.0,5.5191757866057864
low_stable_response (0),91.0,5.353969829915332
low_stable_response (0),92.0,5.193081813337401
low_stable_response (0),93.0,5.036433406349717
low_stable_response (0),94.0,4.883945522674947
low_stable_response (0),95.0,4.735538510711092
low_stable_response (0),96.0,4.591132329746848
low_stable_response (0),97.0,4.4506467128022456
low_stable_response (0),98.0,4.31400131689003
low_stable_response (0),99.0,4.181115861450724
low_stable_response (0),100.0,4.051910255673892
low_stable_response (0),101.0,3.926304715379803
low_stable_response (0),102.0,3.804219870099219
low_stable_response (0),103.0,3.6855768609545168
low_stable_response (0),104.0,3.570297429912467
low_stable_response (0),105.0,3.4583040009479316
low_stable_response (0),106.0,3.349519753628077
low_stable_response (0),107.0,3.243868689598765
low_stable_response (0),108.0,3.1412756924280667
low_stable_response (0),109.0,3.041666581236697
low_stable_response (0),110.0,2.944968158521141
low_stable_response (0),111.0,2.851108252552598
low_stable_response (0),112.0,2.760015754713292
low_stable_response (0),113.0,2.671620652111314
low_stable_response (0),114.0,2.585854055795785
low_stable_response (0),115.0,2.502648224875791
low_stable_response (0),116.0,2.421936586829151
low_stable_response (0),117.0,2.343653754270621
low_stable_response (0),118.0,2.267735538433495
low_stable_response (0),119.0,2.194118959603821
low_stable_response (0),120.0,2.1227422547324033
low_stable_response (0),121.0,2.053544882436537
low_stable_response (0),122.0,1.9864675255908417
low_stable_response (0),123.0,1.9214520916946871
low_stable_response (0),124.0,1.8584417111924538
low_stable_response (0),125.0,1.7973807339122192
low_stable_response (0),126.0,1.7382147237784062
low_stable_response (0),127.0,1.680890451944377
low_stable_response (0),128.0,1.625355888481982
low_stable_response (0),129.0,1.5715601927565177
low_stable_response (0),130.0,1.519453702607529
low_stable_response (0),131.0,1.4689879224482563
low_stable_response (0),132.0,1.4201155103893506
low_stable_response (0),133.0,1.3727902644856778
low_stable_response (0),134.0,1.3269671081986332
low_stable_response (0),135.0,1.2826020751603027
low_stable_response (0),136.0,1.2396522933201248
low_stable_response (0),137.0,1.1980759685492746
low_stable_response (0),138.0,1.1578323677729316
low_stable_response (0),139.0,1.1188818016957687
low_stable_response (0),140.0,1.0811856071814876
low_stable_response (0),141.0,1.0447061293429498
low_stable_response (0),142.0,1.0094067033954324
low_stable_response (0),143.0,0.9752516363217568
low_stable_response (0),144.0,0.9422061883944591
low_stable_response (0),145.0,0.9102365545968286
low_stable_response (0),146.0,0.8793098459814638
low_stable_response (0),147.0,0.8493940710020427
low_stable_response (0),148.0,0.8204581168511907
low_stable_response (0),149.0,0.7924717308347184
low_stable_response (0),150.0,0.765405501810028
low_stable_response (0),151.0,0.7392308417141639
low_stable_response (0),152.0,0.7139199672048268
low_stable_response (0),153.0,0.6894458814356047
low_stable_response (0),154.0,0.6657823559847899
low_stable_response (0),155.0,0.6429039129553327
low_stable_response (0),156.0,0.6207858072618221
low_stable_response (0),157.0,0.5994040091188029
low_stable_response (0),158.0,0.5787351867432718
low_stable_response (0),159.0,0.5587566892828204
low_stable_response (0),160.0,0.539446529979604
low_stable_response (0),161.0,0.5207833695791302
low_stable_response (0),162.0,0.5027464999917255
low_stable_response (0),163.0,0.4853158282135101
low_stable_response (0),164.0,0.4684718605127317
low_stable_response (0),165.0,0.4521956868864115
low_stable_response (0),166.0,0.43646896579141653
low_stable_response (0),167.0,0.42127390915328655
low_stable_response (0),168.0,0.4065932676554302
low_stable_response (0),169.0,0.39241031631062784
low_stable_response (0),170.0,0.3787088403161629
low_stable_response (0),171.0,0.36547312119333253
low_stable_response (0),172.0,0.35268792321155373
low_stable_response (0),173.0,0.3403384800968031
low_stable_response (0),174.0,0.32841048202367384
low_stable_response (0),175.0,0.31689006288992727
low_stable_response (0),176.0,0.3057637878720384
low_stable_response (0),177.0,0.2950186412598931
low_stable_response (0),178.0,0.28464201456847577
low_stable_response (0),179.0,0.27462169492411115
low_stable_response (0),180.0,0.26494585372255497
low_stable_response (1),0.0,0.0
low_stable_response (1),1.0,0.8394152756763066
low_stable_response (1),2.0,1.6134868573783763
low_stable_response (1),3.0,2.3260297206605554
low_stable_response (1),4.0,2.980660858344551
low_stable_response (1),5.0,3.5808089129113747
low_stable_response (1),6.0,4.129723358997195
low_stable_response (1),7.0,4.630483256422522
low_stable_response (1),8.0,5.086005593275385
low_stable_response (1),9.0,5.499053237700195
low_stable_response (1),10.0,5.872242516213105
low_stable_response (1),11.0,6.208050435570236
low_stable_response (1),12.0,6.508821564455475
low_stable_response (1),13.0,6.776774590528315
low_stable_response (1),14.0,7.014008567677807
low_stable_response (1),15.0,7.222508867664817
low_stable_response (1),16.0,7.4041528497000915
low_stable_response (1),17.0,7.560715260898881
low_stable_response (1),18.0,7.693873379972822
low_stable_response (1),19.0,7.805211915965242
low_stable_response (1),20.0,7.896227673306028
low_stable_response (1),21.0,7.968333993955481
low_stable_response (1),22.0,8.022864986922249
low_stable_response (1),23.0,8.061079554977526
low_stable_response (1),24.0,8.084165227945165
low_stable_response (1),25.0,8.093241811524477
low_stable_response (1),26.0,8.089364860198263
low_stable_response (1),27.0,8.073528982392315
low_stable_response (1),28.0,8.04667098568343
low_stable_response (1),29.0,8.009672869500138
low_stable_response (1),30.0,7.963364672423198
low_stable_response (1),31.0,7.908527180870705
low_stable_response (1),32.0,7.762853673192754
low_stable_response (1),33.0,7.477140064130986
low_stable_response (1),34.0,7.195328856221911
low_stable_response (1),35.0,6.918149290134679
low_stable_response (1),36.0,6.646217361825201
low_stable_response (1),37.0,6.380047593347745
low_stable_response (1),38.0,6.120063743273933
low_stable_response (1),39.0,5.866608545413368
low_stable_response (1),40.0,5.619952557441716
low_stable_response (1),41.0,5.380302194503111
low_stable_response (1),42.0,5.147807016822406
low_stable_response (1),43.0,4.922566334800534
low_stable_response (1),44.0,4.704635189937547
low_stable_response (1),45.0,4.494029765199612
low_stable_response (1),46.0,4.290732274087998
low_stable_response (1),47.0,4.0946953736514935
low_stable_response (1),48.0,3.9058461429828104
low_stable_response (1),49.0,3.724089665329947
low_stable_response (1),50.0,3.549312248813142
low_stable_response (1),51.0,3.381384317846035
low_stable_response (1),52.0,3.2201630046969925
low_stable_response (1),53.0,3.0654944681755167
low_stable_response (1),54.0,2.9172159641729767
low_stable_response (1),55.0,2.775157690711312
low_stable_response (1),56.0,2.63914442824417
low_stable_response (1),57.0,2.5089969941989203
low_stable_response (1),58.0,2.384533529133531
low_stable_response (1),59.0,2.265570630398115
low_stable_response (1),60.0,2.1519243478270997
low_stable_response (1),61.0,2.0434110547348427
low_stable_response (1),62.0,1.9398482063365818
low_stable_response (1),63.0,1.8410549966597274
low_stable_response (1),64.0,1.7468529240403845
low_stable_response (1),65.0,1.6570662744096525
low_stable_response (1),66.0,1.5715225307575276
low_stable_response (1),67.0,1.4900527164131718
low_stable_response (1),68.0,1.4124916790936166
low_stable_response (1),69.0,1.3386783220436191
low_stable_response (1),70.0,1.2684557880128373
low_stable_response (1),71.0,1.201671601288518
low_stable_response (1),72.0,1.138177772518524
low_stable_response (1),73.0,1.077830870617306
low_stable_response (1),74.0,1.0204920656428869
low_stable_response (1),75.0,0.9660271461631191
low_stable_response (1),76.0,0.9143065142915461
low_stable_response (1),77.0,0.8652051612645233
low_stable_response (1),78.0,0.818602626149509
low_stable_response (1),79.0,0.7743829400173254
low_stable_response (1),80.0,0.7324345576767779
low_stable_response (1),81.0,0.6926502788563521
low_stable_response (1),82.0,0.6549271605231333
low_stable_response (1),83.0,0.6191664218519606
low_stable_response (1),84.0,0.5852733431967491
low_stable_response (1),85.0,0.5531571602694639
low_stable_response (1),86.0,0.5227309545992649
low_stable_response (1),87.0,0.4939115412236374
low_stable_response (1),88.0,0.46661935445391234
low_stable_response (1),89.0,0.44077833245843695
low_stable_response (1),90.0,0.4163158013169519
low_stable_response (1),91.0,0.39316235911861463
low_stable_response (1),92.0,0.3712517606028603
low_stable_response (1),93.0,0.35052080277621445
low_stable_response (1),94.0,0.33090921187864203
low_stable_response (1),95.0,0.31235953201946115
low_stable_response (1),96.0,0.29481701575472996
low_stable_response (1),97.0,0.2782295168348593
low_stable_response (1),98.0,0.26254738531255484
low_stable_response (1),99.0,0.24772336516664986
low_stable_response (1),100.0,0.23371249456657836
low_stable_response (1),101.0,0.22047200887481738
low_stable_response (1),102.0,0.20796124646028
low_stable_response (1),103.0,0.19614155737408331
low_stable_response (1),104.0,0.18497621492008995
low_stable_response (1),105.0,0.17443033013587356
low_stable_response (1),106.0,0.16447076918509368
low_stable_response (1),107.0,0.15506607364945316
low_stable_response (1),108.0,0.14618638369729786
low_stable_response (1),109.0,0.137803364096316
low_stable_response (1),110.0,0.12989013302956198
low_stable_response (1),111.0,0.12242119366702556
low_stable_response (1),112.0,0.11537236843906375
low_stable_response (1),113.0,0.10872073595309953
low_stable_response (1),114.0,0.10244457049095552
low_stable_response (1),115.0,0.09652328402094874
low_stable_response (1),116.0,0.09093737065632568
low_stable_response (1),117.0,0.0856683534896978
low_stable_response (1),118.0,0.08069873373176502
low_stable_response (1),119.0,0.07601194208173417
low_stable_response (1),120.0,0.07159229225638451
low_stable_response (1),121.0,0.0674249366046541
low_stable_response (1),122.0,0.06349582373487223
low_stable_response (1),123.0,0.05979165808229851
low_stable_response (1),124.0,0.056299861345411595
low_stable_response (1),125.0,0.05300853572038533
low_stable_response (1),126.0,0.04990642886436467
low_stable_response (1),127.0,0.046982900519480224
low_stable_response (1),128.0,0.04422789073099515
low_stable_response (1),129.0,0.0416318895945357
low_stable_response (1),130.0,0.0391859084690005
low_stable_response (1),131.0,0.036881452593452366
low_stable_response (1),132.0,0.034710495048056456
low_stable_response (1),133.0,0.03266545200092507
low_stable_response (1),134.0,0.03073915918454949
low_stable_response (1),135.0,0.028924849547332283
low_stable_response (1),136.0,0.027216132027570245
low_stable_response (1),137.0,0.025606971399069464
low_stable_response (1),138.0,0.024091669139392834
low_stable_response (1),139.0,0.02266484527354091
low_stable_response (1),140.0,0.021321421147642558
low_stable_response (1),141.0,0.020056603088979365
low_stable_response (1),142.0,0.01886586691038192
low_stable_response (1),143.0,0.017744943218714813
low_stable_response (1),144.0,0.016689803488805877
low_stable_response (1),145.0,0.015696646865774964
low_stable_response (1),146.0,0.014761887660272347
low_stable_response (1),147.0,0.013882143502649515
low_stable_response (1),148.0,0.013054224123551554
low_stable_response (1),149.0,0.012275120729841656
low_stable_response (1),150.0,0.011541995946143762
low_stable_response (1),151.0,0.01085217429361816
low_stable_response (1),152.0,0.010203133178868229
low_stable_response (1),153.0,0.009592494367113782
low_stable_response (1),154.0,0.00901801591495857
low_stable_response (1),155.0,0.008477584539226896
low_stable_response (1),156.0,0.007969208399447841
low_stable_response (1),157.0,0.007491010272625523
low_stable_response (1),158.0,0.0070412210999520755
low_stable_response (1),159.0,0.00661817388609643
low_stable_response (1),160.0,0.006220297932638484
low_stable_response (1),161.0,0.005846113388115009
low_stable_response (1),162.0,0.005494226098003013
low_stable_response (1),163.0,0.0051633227387878336
low_stable_response (1),164.0,0.004852166221049509
low_stable_response (1),165.0,0.004559591347252305
low_stable_response (1),166.0,0.004284500710639985
low_stable_response (1),167.0,0.004025860822324964
low_stable_response (1),168.0,0.0037826984543134993
low_stable_response (1),169.0,0.0035540971868332836
low_stable_response (1),170.0,0.003339194148924686
low_stable_response (1),171.0,0.003137176941824278
low_stable_response (1),172.0,0.002947280735209525
low_stable_response (1),173.0,0.0027687855268883556
low_stable_response (1),174.0,0.0026010135570071714
low_stable_response (1),175.0,0.002443326868317336
low_stable_response (1),176.0,0.0022951250044837635
low_stable_response (1),177.0,0.0021558428388412055
low_stable_response (1),178.0,0.002024948526405032
low_stable_response (1),179.0,0.0019019415723245238
low_stable_response (1),180.0,0.0017863510103290783
delayed_peak (2),0.0,0.0
delayed_peak (2),1.0,1.0257214559102374
delayed_peak (2),2.0,2.030070385175395
delayed_peak (2),3.0,3.0133807855581423
delayed_peak (2),4.0,3.97598201524053
