target,target_label,model,pred_decile,n,mean_pred,mean_observed,high_rate
iauc_2h,2h iAUC,M0_carb_only,1,150,1996.8084334487296,2212.7593333333334,0.1933333333333333
iauc_2h,2h iAUC,M0_carb_only,2,150,2265.3949747698043,1529.3273333333332,0.0933333333333333
iauc_2h,2h iAUC,M0_carb_only,3,153,2411.658632879911,2659.556862745097,0.2222222222222222
iauc_2h,2h iAUC,M0_carb_only,4,147,2598.4263904940794,2191.1074829931977,0.1360544217687075
iauc_2h,2h iAUC,M0_carb_only,5,149,2849.967642879383,2061.963087248322,0.1342281879194631
iauc_2h,2h iAUC,M0_carb_only,6,155,3235.6349384289865,6087.644516129032,0.5612903225806452
iauc_2h,2h iAUC,M0_carb_only,7,146,3382.156863391281,3616.8561643835615,0.2808219178082192
iauc_2h,2h iAUC,M0_carb_only,8,148,3523.748851010394,2790.600675675676,0.2094594594594594
iauc_2h,2h iAUC,M0_carb_only,9,150,3826.877717233943,3873.5896666666654,0.38
iauc_2h,2h iAUC,M0_carb_only,10,150,4301.395186530905,3204.4773333333333,0.3133333333333333
iauc_2h,2h iAUC,M1_macro_timing,1,150,1313.959340100291,1563.6126666666669,0.1
iauc_2h,2h iAUC,M1_macro_timing,2,150,1766.537219839029,1936.6853333333331,0.1466666666666666
iauc_2h,2h iAUC,M1_macro_timing,3,150,2077.542928652602,1940.582666666667,0.1266666666666666
iauc_2h,2h iAUC,M1_macro_timing,4,149,2331.800098337092,2414.737248322148,0.2080536912751678
iauc_2h,2h iAUC,M1_macro_timing,5,150,2646.0967253291515,2363.438666666667,0.14
iauc_2h,2h iAUC,M1_macro_timing,6,150,3040.358298191813,3345.154666666667,0.32
iauc_2h,2h iAUC,M1_macro_timing,7,149,3518.5810227607835,3588.0161073825498,0.3557046979865771
iauc_2h,2h iAUC,M1_macro_timing,8,150,3959.469905311079,3683.262666666666,0.3133333333333333
iauc_2h,2h iAUC,M1_macro_timing,9,150,4498.9909823994185,4216.442666666666,0.3266666666666666
iauc_2h,2h iAUC,M1_macro_timing,10,150,5250.759943640594,5280.854666666666,0.5
iauc_2h,2h iAUC,M2_macro_precgm_context,1,150,834.7070999286956,1442.626,0.0733333333333333
iauc_2h,2h iAUC,M2_macro_precgm_context,2,150,1649.8802454943136,1958.88,0.14
iauc_2h,2h iAUC,M2_macro_precgm_context,3,150,2041.1647701775787,1989.4343333333327,0.1533333333333333
iauc_2h,2h iAUC,M2_macro_precgm_context,4,149,2367.390166131772,2064.308724832215,0.1543624161073825
iauc_2h,2h iAUC,M2_macro_precgm_context,5,150,2713.0492753584635,2529.584666666666,0.2133333333333333
iauc_2h,2h iAUC,M2_macro_precgm_context,6,150,3089.6867818383244,3211.719333333333,0.2533333333333333
