source_table,file,column,dtype_sample,missing_rate_sample
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_gap_table.csv,known_evidence,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_gap_table.csv,unresolved_gap,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_gap_table.csv,module_addressing_gap,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_gap_table.csv,paper_role,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,domain,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,citation_short,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,evidence_type,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,sample_or_scope,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,key_message,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,relevance_to_project,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_evidence_map_seed.csv,url,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_search_expansion_queries.csv,domain,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_search_expansion_queries.csv,search_query,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_search_expansion_queries.csv,screening_priority,str,0.0
data_dictionary,module_A_literature_evidence_map\dry_lab_search_expansion_queries.csv,screening_note,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,outcome,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,outcome_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,term,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,estimate,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,se,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,z,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,p_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,ci_low,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,ci_high,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,n,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,n_clusters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,n_parameters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,model,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_dehp_mixture_composition_results.csv,q_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,subgroup_variable,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,subgroup_level,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,outcome,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,outcome_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,exposure,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,term,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,estimate,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,se,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,z,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,p_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,ci_low,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,ci_high,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,n,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,n_clusters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,n_parameters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_effect_modification_results.csv,q_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,model,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,outcome,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,outcome_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,exposure,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,exposure_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,term,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,estimate,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,se,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,z,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,p_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,ci_low,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,ci_high,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,n,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,n_clusters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,n_parameters,int64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\nhanes_negative_control_and_sensitivity_results.csv,q_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,exposure,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,exposure_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,outcome,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,outcome_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,x,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,delta_vs_median,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,reference_median,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_prediction_grid.csv,knots,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,outcome,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,outcome_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,exposure,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,exposure_label,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,term,str,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,estimate,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,se,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,z,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,p_value,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,ci_low,float64,0.0
data_dictionary,module_B_nhanes_advanced_epidemiology\phase2_python_rcs_spline_coefficients.csv,ci_high,float64,0.0
