source_table,outcome,outcome_label,exposure,exposure_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,knots,nonlinearity_chi2_proxy,nonlinearity_p_proxy,q_value,x,delta_vs_median,reference_median
nhanes_rcs_coef,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.0469079573182887,0.0992827396582707,0.4724684016551621,0.636592490781708,-0.1476862124119219,0.2415021270484994,1313.0,60.0,22.0,1.4;2.323;2.867;3.761,1.9165369976136812,0.383556439770341,0.9047190876352176,,,
nhanes_rcs_coef,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0537794926155184,0.0480568431846235,1.1190808436773465,0.2631056514187603,-0.0404119200263436,0.1479709052573804,1313.0,60.0,22.0,1.4;2.323;2.867;3.761,1.9165369976136812,0.383556439770341,0.6577641285469008,,,
nhanes_rcs_coef,msi_core_partial,MSI-core,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,-0.1731541685041416,0.2124638904589484,-0.8149816334912587,0.4150828232917135,-0.5895833938036806,0.2432750567953973,1313.0,60.0,22.0,1.4;2.323;2.867;3.761,1.9165369976136812,0.383556439770341,0.8385666202384795,,,
nhanes_rcs_coef,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.08299524177104,0.1121936542461911,0.7397498755938559,0.4594517785034481,-0.1369043205514947,0.3028948040935747,1306.0,60.0,22.0,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8385666202384795,,,
nhanes_rcs_coef,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0386935885747745,0.0530619979570491,0.7292146934628236,0.465870344576933,-0.0653079274210417,0.1426951045705907,1306.0,60.0,22.0,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8385666202384795,,,
nhanes_rcs_coef,msi_no_bmi,MSI no BMI,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,-0.1357209154435149,0.2295882685475878,-0.5911491745728438,0.5544204738298742,-0.585713921796787,0.3142720909097572,1306.0,60.0,22.0,1.4;2.323;2.867;3.761,0.8812114157602343,0.6436464412666558,0.8761652147059034,,,
nhanes_rcs_coef,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.0179341255818696,0.056325207383546,0.3184031877547723,0.7501791205281664,-0.0924632808898805,0.1283315320536198,2741.0,60.0,23.0,1.4;2.323;2.867;3.761,0.4256964881076833,0.8082787890220703,0.9123800114531754,,,
nhanes_rcs_coef,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0235914573776508,0.0377396901151795,0.6251099917792363,0.5318988705612226,-0.050378335248101,0.0975612500034026,2741.0,60.0,23.0,1.4;2.323;2.867;3.761,0.4256964881076833,0.8082787890220703,0.8761652147059034,,,
nhanes_rcs_coef,msi_pca,MSI PCA,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,0.0368189345498142,0.1969913444444213,0.1869063569958134,0.8517340548724153,-0.3492841005612516,0.4229219696608801,2741.0,60.0,23.0,1.4;2.323;2.867;3.761,0.4256964881076833,0.8082787890220703,0.979473813768424,,,
nhanes_rcs_coef,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.0068143416120899,0.1442876896383372,0.0472274636122482,0.96233193914114,-0.275989530079051,0.2896182133032309,1292.0,60.0,22.0,1.4;2.323;2.867;3.761,1.2322879943496998,0.5400227572939607,0.9912693656953244,,,
nhanes_rcs_coef,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs1,0.0677261915382717,0.0713677137645299,0.9489752153435522,0.3426332177220533,-0.0721545274402068,0.2076069105167504,1292.0,60.0,22.0,1.4;2.323;2.867;3.761,1.2322879943496998,0.5400227572939607,0.8114997261838104,,,
nhanes_rcs_coef,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_rcs2,-0.168003279074954,0.291690807475952,-0.575963570908229,0.5646398050326933,-0.7397172617278199,0.4037107035779118,1292.0,60.0,22.0,1.4;2.323;2.867;3.761,1.2322879943496998,0.5400227572939607,0.8761652147059034,,,
nhanes_rcs_coef,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP),ln_oxidative_to_MEHP_linear,0.0479535856575525,0.0617759070506254,0.7762506120428887,0.4376010277109873,-0.0731271921616732,0.1690343634767784,2671.0,60.0,23.0,1.4;2.323;2.867;3.761,1.9733199181645995,0.3728198473148579,0.8385666202384795,,,
