table,rows,columns,csv_path,md_path,csv_bytes
SupplementaryTable01_DataDictionary,347,5,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable01_DataDictionary.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable01_DataDictionary.md,40059
SupplementaryTable02_AnalysisRegistry_Guardrails,10,11,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable02_AnalysisRegistry_Guardrails.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable02_AnalysisRegistry_Guardrails.md,2041
SupplementaryTable03_NHANES_Weighted_Table1,55,5,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable03_NHANES_Weighted_Table1.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable03_NHANES_Weighted_Table1.md,3380
SupplementaryTable04_NHANES_R_Survey_Main,21,8,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable04_NHANES_R_Survey_Main.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable04_NHANES_R_Survey_Main.md,2707
SupplementaryTable05_R_vs_Python,21,20,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable05_R_vs_Python.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable05_R_vs_Python.md,7061
SupplementaryTable06_NHANES_DoseResponse_Quartile,45,7,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable06_NHANES_DoseResponse_Quartile.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable06_NHANES_DoseResponse_Quartile.md,4045
SupplementaryTable07_NHANES_RCS,420,22,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable07_NHANES_RCS.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable07_NHANES_RCS.md,74352
SupplementaryTable08_NHANES_EffectModification,85,17,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable08_NHANES_EffectModification.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable08_NHANES_EffectModification.md,20795
SupplementaryTable09_NHANES_Sensitivity,21,17,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable09_NHANES_Sensitivity.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable09_NHANES_Sensitivity.md,5906
SupplementaryTable10_DEHP_MixtureProxy,45,15,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable10_DEHP_MixtureProxy.csv,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\tables\supplementary\SupplementaryTable10_DEHP_MixtureProxy.md,10268
