relative_path,bytes,sha256,last_write_time
no_digestion_phase0_to_phase4_master_report_2026-06-10.md,2059,c9a4415572dafe0cf8f945477f473a6a6d99fc16de5aa62d32757942f0264c8d,2026-06-10T22:51:16
phase0_scope_and_claims\phase0_no_digestion_analysis_registry.csv,899,673bc8c26deac9dd1db339f54d59c42504d9a7cbeb0c24142d144377fc107da2,2026-06-10T22:59:58
phase0_scope_and_claims\phase0_overclaim_guardrails.csv,973,23608430983e3b87f025b1a9b98687c8558c4d7c2401445876df43e13d23a446,2026-06-10T22:59:58
phase0_scope_and_claims\phase0_scope_and_claims_report.md,1066,8eb0664daf918245111697fad67d4463b72c2ac73c8674df2a0745ea068b1963,2026-06-10T22:59:58
phase0_to_phase4_completion_summary.json,685,4d8f25f22159dbccf5002e4ad980856b2debe2df28597c45fdd39d2bc4d8a334,2026-06-10T22:51:16
phase0_to_phase4_file_manifest.csv,5398,17597b1c3a244cc33d290381c9a99d8657f81271774d107376c3167fc6b6f5bb,2026-06-10T22:51:16
phase1_evidence_audit\phase1_dataset_inventory.csv,554,b6d8165e0e95ef291f3be616cfa4f1ddbfa9183066de0d9ced24dd98c2fa2368,2026-06-10T22:59:58
phase1_evidence_audit\phase1_evidence_audit_report.md,729,e0b5f1cf25fdfcc7f450b5284f500b547c8041c906d1aedd90a0de0c09b65636,2026-06-10T22:59:58
phase1_evidence_audit\phase1_key_findings_evidence_grade.csv,1847,f33db65d1d6356a0ab51f54db64a22920a21cb4a5b24a72d2abc913fc0256598,2026-06-10T22:59:58
phase1_evidence_audit\phase1_result_source_crosswalk.csv,3296,4de9af3d356eb8d552bc622d52ae066de5a41b94f99229e0865e2cabb9b79d0a,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Figure2_data_NHANES_forest.csv,1615,2b484028f4dfc3b140cbe59b56d3874a5d9b8316c84f5a7ab788f10fad10a577,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Figure3_data_MSI_tertile_PPGR.csv,545,59536895ae39efe5ef7d566f2df408d4170ae0ca97d7ebf9408a3fdee9c6f9b2,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Figure4_data_curve_clusters.csv,850,dafcc81d97af7566ff7d951f7a87ff2481a1df7928f129fe13ee071a9f5ac9b1,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Figure5_data_prediction_performance.csv,2227,b8079b6db4dd247deddac9129ac872df355c9dab6eed009b3dafe91ce4a4268f,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\phase2_tables_and_figures_report.md,567,85eb58e0fb0da5b195ffdea915e7f50b4d8a7fa06f03cd21532eae56adf03d30,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Supplement_counterfactual_meal_redesign_summary.csv,3860,22ad88aac293a9d3f745f194813c01af93ae4837267457390eea4c88810cf78a,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Supplement_mechanism_pathway_bridge_summary.csv,213,e4922be3cbeeaf3007535a113bbfdd59854889d1a59b679e7e17aae71639fabf,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table1_dataset_and_phenotype_summary.csv,456,ed4f33e2a559bab66bfc11184f74f37030587b74d0835f0449e9d311a6e9ce9a,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table2_NHANES_R_survey_key_results.csv,1615,2b484028f4dfc3b140cbe59b56d3874a5d9b8316c84f5a7ab788f10fad10a577,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table3_CGMacros_MSI_PPGR_results.csv,6739,8dbf4266920d5992f61f999b25dc553e6490cd2a58b7c935de5ce344c1898eb4,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table4_FoodMatrix_CurvePhenotype_results.csv,3771,b152f2fb6bf26be455aaed0e0f26c5fc0ddde909642989fd27d3d8de68ba944b,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table5A_prediction_model_performance.csv,2227,b8079b6db4dd247deddac9129ac872df355c9dab6eed009b3dafe91ce4a4268f,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table5B_prediction_incremental_gain.csv,596,2c41558ca372d058cf7f23fe08edd08053acb0df03aae108ce0995ba5d2e3864,2026-06-10T22:59:58
phase2_manuscript_tables_and_figures\Table5C_external_boundary_summary.csv,409,61cfb943940607cfc302cd88e8fe2b8a093cff6d8713b11ae6202a714b72ecb5,2026-06-10T22:59:58
phase3_manuscript_skeleton\phase3_figure_storyboard_no_digestion_v1.md,715,ad9008c2ef5517889b04279ae26b60bcb8cc343cf22b0f562bcf05f9229a8439,2026-06-10T22:59:58
phase3_manuscript_skeleton\phase3_main_claims_table_no_digestion.csv,679,a4a04b62c9448669f19b6b925e036d114cd5b663ec0ded3b07d33b4f78293698,2026-06-10T22:59:58
phase3_manuscript_skeleton\phase3_manuscript_outline_no_digestion_v1.md,1829,7fd227ae33fdbc1b2b6387b2e6394c2b7d8805ca528a84be6fa87be6dcc2f2be,2026-06-10T22:59:58
phase3_manuscript_skeleton\phase3_structured_abstract_draft.md,2281,3100f96e34a1074daf4168b7915e90639f0275e9fc806894f25e1f5b26573bcb,2026-06-10T22:59:58
phase3_manuscript_skeleton\phase3_title_options.csv,617,64b4be01b0c612e93b92f12982a7d40b5306b420641a7347d2f4cf3e27107fae,2026-06-10T22:59:58
phase4_submission_readiness\phase4_limitations_and_reviewer_response_plan.md,1242,b2746daa7f6e85e8e200695347393788f621472cb07ca7f881ffb045985e3d0e,2026-06-10T22:59:58
phase4_submission_readiness\phase4_next_actions_without_digestion.md,669,caf4bd67b49980a2a683c39b3cb010d49880cea495488d6862e4afcf2c5f0854,2026-06-10T22:59:58
phase4_submission_readiness\phase4_reporting_checklist_readiness.md,865,2bf33e1da3ec0666fb45ac775fb7d48c59bd184fa1d5c15174127db005f67078,2026-06-10T22:59:58
phase4_submission_readiness\phase4_submission_readiness_audit.csv,934,7ce7a93f79e3907180bb346ab355b25462dec6d22d09055dd3a4a681cb1a69a5,2026-06-10T22:59:58
phase4_submission_readiness\phase4_target_journal_positioning.md,709,8d93da5ccd791b1ed674311f90772ea075b621da01cada2b029af359edb78bf8,2026-06-10T22:59:58
scripts\22_no_digestion_phase0_to_phase4_package.py,42960,428a569fc1587f01a4c13c5278354e34193c14f1c76247025653521e611ce38c,2026-06-10T22:51:05
