msi_version,outcome,outcome_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
msi_core_partial,iauc_2h_per1000,2h iAUC / 1000,msi_centered,1.0698402619532952,0.2700864088930977,3.961103656929091,7.46041351566415e-05,0.5404709005228236,1.5992096233837667,1498,40,7,0.00022381240546992453,"1.070 (0.540, 1.599)"
msi_core_partial,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.041531361575497104,0.026937780713242612,1.5417514166295179,0.12313401216984478,-0.011266688622458415,0.09432941177345262,1498,40,7,0.18470101825476717,"0.042 (-0.011, 0.094)"
msi_core_partial,peak_delta_2h,2h peak delta,msi_centered,17.356234915913927,3.9352867743845272,4.410411721170794,1.0317426151563253e-05,9.643072838120254,25.0693969937076,1498,40,7,5.306104877946816e-05,"17.356 (9.643, 25.069)"
msi_core_partial,peak_delta_2h,2h peak delta,carbs_x_msi,0.4878566784156607,0.3893920740624785,1.2528675104398335,0.21025392752266467,-0.27535178674679717,1.2510651435781186,1498,40,7,0.2523047130271976,"0.488 (-0.275, 1.251)"
msi_core_complete,iauc_2h_per1000,2h iAUC / 1000,msi_centered,1.0698402619532952,0.2700864088930977,3.961103656929091,7.46041351566415e-05,0.5404709005228236,1.5992096233837667,1498,40,7,0.00022381240546992453,"1.070 (0.540, 1.599)"
msi_core_complete,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.041531361575497104,0.026937780713242612,1.5417514166295179,0.12313401216984478,-0.011266688622458415,0.09432941177345262,1498,40,7,0.18470101825476717,"0.042 (-0.011, 0.094)"
msi_core_complete,peak_delta_2h,2h peak delta,msi_centered,17.356234915913927,3.9352867743845272,4.410411721170794,1.0317426151563253e-05,9.643072838120254,25.0693969937076,1498,40,7,5.306104877946816e-05,"17.356 (9.643, 25.069)"
msi_core_complete,peak_delta_2h,2h peak delta,carbs_x_msi,0.4878566784156607,0.3893920740624785,1.2528675104398335,0.21025392752266467,-0.27535178674679717,1.2510651435781186,1498,40,7,0.2523047130271976,"0.488 (-0.275, 1.251)"
msi_ranknorm,iauc_2h_per1000,2h iAUC / 1000,msi_centered,0.883241630214264,0.23004528657664308,3.83942502521128,0.00012332278126816709,0.43235286852404364,1.3341303919044845,1498,40,7,0.00032249048327276673,"0.883 (0.432, 1.334)"
msi_ranknorm,iauc_2h_per1000,2h iAUC / 1000,carbs_x_msi,0.033072174325402694,0.02286132497750309,1.4466429377102021,0.1479969538270689,-0.011736022630503364,0.07788037128130876,1498,40,7,0.2131156135109792,"0.033 (-0.012, 0.078)"
