dataset,msi_a,msi_b,n_pairwise,pearson,spearman
CGMacros,msi_core_partial,msi_core_complete,40,1.0,1.0
CGMacros,msi_core_partial,msi_ranknorm,40,0.9924832731670105,0.9902439024390247
CGMacros,msi_core_partial,msi_no_bmi,40,0.9775689154162925,0.9750469043151971
CGMacros,msi_core_partial,msi_glycemia_ir,40,0.9326264168684507,0.9210131332082552
CGMacros,msi_core_partial,msi_ir_lipid,40,0.9030791206726962,0.902063789868668
CGMacros,msi_core_partial,msi_pca,40,0.9970500973215697,0.9932457786116325
CGMacros,msi_core_partial,homa_ir_single,40,0.865268210160986,0.8688555347091933
CGMacros,msi_core_partial,tg_hdl_single,40,0.7725776952194676,0.7879924953095686
CGMacros,msi_core_complete,msi_ranknorm,40,0.9924832731670105,0.9902439024390247
CGMacros,msi_core_complete,msi_no_bmi,40,0.9775689154162925,0.9750469043151971
CGMacros,msi_core_complete,msi_glycemia_ir,40,0.9326264168684507,0.9210131332082552
CGMacros,msi_core_complete,msi_ir_lipid,40,0.9030791206726962,0.902063789868668
CGMacros,msi_core_complete,msi_pca,40,0.9970500973215697,0.9932457786116325
CGMacros,msi_core_complete,homa_ir_single,40,0.865268210160986,0.8688555347091933
CGMacros,msi_core_complete,tg_hdl_single,40,0.7725776952194676,0.7879924953095686
CGMacros,msi_ranknorm,msi_no_bmi,40,0.961685932912194,0.9679174484052534
CGMacros,msi_ranknorm,msi_glycemia_ir,40,0.9148505210680162,0.9221388367729833
CGMacros,msi_ranknorm,msi_ir_lipid,40,0.9080120558533447,0.8951219512195124
CGMacros,msi_ranknorm,msi_pca,40,0.9873008630543344,0.9883677298311446
CGMacros,msi_ranknorm,homa_ir_single,40,0.8816312796536342,0.8889305816135086
CGMacros,msi_ranknorm,tg_hdl_single,40,0.766351829033332,0.7831144465290808
CGMacros,msi_no_bmi,msi_glycemia_ir,40,0.9638942452234446,0.9540337711069421
CGMacros,msi_no_bmi,msi_ir_lipid,40,0.8767643714575832,0.8840525328330208
CGMacros,msi_no_bmi,msi_pca,40,0.9860402250985526,0.9825515947467167
CGMacros,msi_no_bmi,homa_ir_single,40,0.8217418721593504,0.8392120075046905
CGMacros,msi_no_bmi,tg_hdl_single,40,0.7665050730551867,0.7787992495309569
CGMacros,msi_glycemia_ir,msi_ir_lipid,40,0.7446288954051034,0.7574108818011259
CGMacros,msi_glycemia_ir,msi_pca,40,0.9575531488892896,0.9489681050656661
CGMacros,msi_glycemia_ir,homa_ir_single,40,0.7905550966133134,0.7992495309568481
CGMacros,msi_glycemia_ir,tg_hdl_single,40,0.5678111953414982,0.6093808630393998
CGMacros,msi_ir_lipid,msi_pca,40,0.8805922070911375,0.8735459662288932
CGMacros,msi_ir_lipid,homa_ir_single,40,0.8925265832128286,0.877485928705441
CGMacros,msi_ir_lipid,tg_hdl_single,40,0.914384411016114,0.9392120075046907
CGMacros,msi_pca,homa_ir_single,40,0.8600927212468568,0.8589118198874298
CGMacros,msi_pca,tg_hdl_single,40,0.738645420150098,0.7491557223264541
CGMacros,homa_ir_single,tg_hdl_single,40,0.6335284765113617,0.7054409005628518
NHANES,msi_core_partial,msi_core_complete,2368,0.9999999999999999,1.0
NHANES,msi_core_partial,msi_ranknorm,2491,0.9514159797424384,0.982126830272479
NHANES,msi_core_partial,msi_no_bmi,2466,0.9663848669034738,0.9567713947188622
NHANES,msi_core_partial,msi_glycemia_ir,2490,0.9216239384786002,0.8995179178216639
NHANES,msi_core_partial,msi_ir_lipid,2397,0.8477366396405913,0.894835599197345
NHANES,msi_core_partial,msi_pca,2491,0.9962885156513616,0.996696663947588
