term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,outcome_msi_version,exposure,q_value,estimate_CI
pct_oxidative_10,0.16840762322900327,0.05297725166711572,3.1788667386371423,0.001478520486733052,0.06457220996145646,0.2722430364965501,1313,60,20,msi_core_partial,pct_oxidative_10,0.002957040973466104,"0.168 (0.065, 0.272)"
ln_oxidative_to_MEHP,0.18278820426886033,0.03906059984375814,4.679605664019769,2.874271996995991e-06,0.10622942857509438,0.2593469799626263,1313,60,20,msi_core_partial,ln_oxidative_to_MEHP,1.0280544562098482e-05,"0.183 (0.106, 0.259)"
ln_Sigma_DEHP,0.06569244125963825,0.03550684761864355,1.8501344294260913,0.06429417672095147,-0.0039009800729031124,0.13528586259217962,1313,60,20,msi_core_partial,ln_Sigma_DEHP,0.06752807993100773,"0.066 (-0.004, 0.135)"
pct_oxidative_10,0.17155945999756783,0.056861580711268275,3.0171419410359417,0.0025517029806661103,0.060110761803482016,0.28300815819165365,1260,60,20,msi_core_complete,pct_oxidative_10,0.0038275544709991654,"0.172 (0.060, 0.283)"
ln_oxidative_to_MEHP,0.19129901923234582,0.041197850370138366,4.643422351254666,3.4268481873661604e-06,0.11055123250687462,0.27204680595781705,1260,60,20,msi_core_complete,ln_oxidative_to_MEHP,1.0280544562098482e-05,"0.191 (0.111, 0.272)"
ln_Sigma_DEHP,0.0691055748584874,0.037800966106982255,1.8281430866848356,0.06752807993100773,-0.004984318711197824,0.1431954684281726,1260,60,20,msi_core_complete,ln_Sigma_DEHP,0.06752807993100773,"0.069 (-0.005, 0.143)"
pct_oxidative_10,0.16837940691803688,0.05008172330462661,3.362092911496953,0.0007735409103817409,0.07021922924096873,0.266539584595105,1306,60,20,msi_no_bmi,pct_oxidative_10,0.001740467048358917,"0.168 (0.070, 0.267)"
ln_oxidative_to_MEHP,0.17169208550418474,0.035656716010343134,4.815140167546027,1.4709660202337493e-06,0.1018049221239122,0.24157924888445728,1306,60,20,msi_no_bmi,ln_oxidative_to_MEHP,1.0280544562098482e-05,"0.172 (0.102, 0.242)"
ln_Sigma_DEHP,0.07234109047510551,0.035288580608635024,2.049985837554595,0.04036581286006986,0.0031754724821808633,0.14150670846803015,1306,60,20,msi_no_bmi,ln_Sigma_DEHP,0.045411539467578595,"0.072 (0.003, 0.142)"
pct_oxidative_10,0.1809417213247171,0.05006862009412068,3.613874738001102,0.000301654840327255,0.08280722594024056,0.2790762167091936,1313,60,20,msi_glycemia_ir,pct_oxidative_10,0.0007756838751272271,"0.181 (0.083, 0.279)"
ln_oxidative_to_MEHP,0.18209250192281756,0.03806483229600164,4.783746333277414,1.7205779963926911e-06,0.10748543062265435,0.25669957322298076,1313,60,20,msi_glycemia_ir,ln_oxidative_to_MEHP,1.0280544562098482e-05,"0.182 (0.107, 0.257)"
ln_Sigma_DEHP,0.09896988955442876,0.03514786044142769,2.8158154809837592,0.004865360161424024,0.03008008308923049,0.16785969601962702,1313,60,20,msi_glycemia_ir,ln_Sigma_DEHP,0.006255463064688031,"0.099 (0.030, 0.168)"
pct_oxidative_10,0.10532871026142988,0.0354521864584485,2.971007454924669,0.0029682457543443543,0.03584242480287082,0.17481499571998893,2741,60,21,msi_pca,pct_oxidative_10,0.004109878736784491,"0.105 (0.036, 0.175)"
ln_oxidative_to_MEHP,0.15676725057013993,0.029408323944881697,5.330710137169314,9.782946000155034e-08,0.0991269356381718,0.21440756550210804,2741,60,21,msi_pca,ln_oxidative_to_MEHP,1.7609302800279062e-06,"0.157 (0.099, 0.214)"
ln_Sigma_DEHP,0.06925409180246433,0.022020809719788727,3.144938477908467,0.0016612176043195846,0.026093304751678432,0.11241487885325024,2741,60,21,msi_pca,ln_Sigma_DEHP,0.0029901916877752522,"0.069 (0.026, 0.112)"
pct_oxidative_10,0.2089013858187605,0.06779523785703596,3.0813578124658823,0.0020605886513252354,0.07602271961897,0.341780052018551,1292,60,20,homa_ir_single,pct_oxidative_10,0.0033718723385322033,"0.209 (0.076, 0.342)"
ln_oxidative_to_MEHP,0.2532961133915418,0.053657468778337214,4.72061241721867,2.3513560973350603e-06,0.14812747458600084,0.35846475219708274,1292,60,20,homa_ir_single,ln_oxidative_to_MEHP,1.0280544562098482e-05,"0.253 (0.148, 0.358)"
ln_Sigma_DEHP,0.09429864872115135,0.03908264085999756,2.412801352368931,0.015830444841545388,0.017696672635556132,0.17090062480674656,1292,60,20,homa_ir_single,ln_Sigma_DEHP,0.018996533809854464,"0.094 (0.018, 0.171)"
