outcome,exposure,R_beta,R_se,t,R_p,R_q,python_beta,python_se,python_p,python_q,python_n,python_n_clusters,beta_delta_R_minus_python,se_delta_R_minus_python,R_ci_low,R_ci_high,R_estimate_CI,R_significant_q05
msi_core_partial,pct_oxidative_10,0.168407623229052,0.0492825795126035,3.41718361527694,0.0057517772104713,0.016123633472318,0.1684076232290032,0.0529772516671157,0.001478520486733,0.0043606962113389,1313,60,4.879430193227563e-14,-0.0036946721545121977,0.07181376738434915,0.2650014790737549,"0.168 (0.072, 0.265)",True
msi_core_partial,ln_oxidative_to_MEHP,0.182788204268863,0.037613891362941,4.85959302921141,0.0005029944456931,0.0034207874660773,0.1827882042688603,0.0390605998437581,2.874271996995991e-06,1.5089927984228954e-05,1313,60,2.6922908347160046e-15,-0.0014467084808170994,0.10906497719749864,0.25651143134022736,"0.183 (0.109, 0.257)",True
msi_core_partial,ln_Sigma_DEHP,0.0656924412596414,0.0283369361859772,2.31826196129664,0.0407022298570763,0.0534216766874126,0.0656924412596382,0.0355068476186435,0.0642941767209514,0.07500987284111,1313,60,3.191891195797325e-15,-0.0071699114326663,0.010152046335126085,0.1212328361841567,"0.066 (0.010, 0.121)",False
msi_no_bmi,pct_oxidative_10,0.168379406918104,0.0502107714852901,3.3534518976159,0.0064381087821174,0.016123633472318,0.1683794069180368,0.0500817233046266,0.0007735409103817,0.002707393186336,1306,60,6.71962485654376e-14,0.0001290481806634977,0.06996629480693539,0.2667925190292726,"0.168 (0.070, 0.267)",True
msi_no_bmi,ln_oxidative_to_MEHP,0.171692085504188,0.0366813582024424,4.68063599380995,0.00067086497399,0.0034207874660773,0.1716920855041847,0.0356567160103431,1.4709660202337493e-06,1.5089927984228954e-05,1306,60,3.3029134982598407e-15,0.001024642192099301,0.0997966234274009,0.2435875475809751,"0.172 (0.100, 0.244)",True
msi_no_bmi,ln_Sigma_DEHP,0.0723410904751072,0.0283041773106605,2.55584501471663,0.0267155733461343,0.037401802684588,0.0723410904751055,0.035288580608635,0.0403658128600698,0.0529801293788416,1306,60,1.7069679003611782e-15,-0.006984403297974503,0.016864902946212623,0.12781727800400178,"0.072 (0.017, 0.128)",True
msi_pca,pct_oxidative_10,0.105328710261454,0.0343666462780975,3.06485274731569,0.0119452067256964,0.0228044855672387,0.1053287102614298,0.0354521864584485,0.0029682457543443,0.00594043039923,2741,60,2.4202861936828413e-14,-0.001085540180351001,0.037970083556382914,0.1726873369665251,"0.105 (0.038, 0.173)",True
msi_pca,ln_oxidative_to_MEHP,0.156767250570138,0.0287947575193621,5.44429834023521,0.0002831235126943,0.0034207874660773,0.1567672505701399,0.0294083239448816,9.782946000155034e-08,2.054418660032557e-06,2741,60,-1.915134717478395e-15,-0.000613566425519501,0.10032952583218828,0.21320497530808769,"0.157 (0.100, 0.213)",True
msi_pca,ln_Sigma_DEHP,0.0692540918024684,0.0211888281500101,3.26842481859646,0.0084527921832558,0.0177508635848372,0.0692540918024643,0.0220208097197887,0.0016612176043195,0.0043606962113389,2741,60,4.107825191113079e-15,-0.0008319815697785983,0.027723988628448604,0.1107841949764882,"0.069 (0.028, 0.111)",True
ln_HOMA_IR,pct_oxidative_10,0.181973437516822,0.0549183046343833,3.31352977351184,0.0069101286309934,0.016123633472318,0.1819734375167101,0.0588221320568384,0.001977292860116,0.0046136833402708,1292,60,1.1188272530660015e-13,-0.0039038274224551042,0.07433356043343073,0.2896133146002132,"0.182 (0.074, 0.290)",True
ln_HOMA_IR,ln_oxidative_to_MEHP,0.218409889518229,0.0454873175890713,4.80155571034823,0.0005519664129867,0.0034207874660773,0.2184098895182353,0.0461253065404359,2.189014711134981e-06,1.5089927984228954e-05,1292,60,-6.300515664747763e-15,-0.0006379889513646042,0.12925474704364925,0.30756503199280877,"0.218 (0.129, 0.308)",True
