exposure,outcome,quartile,n,weighted_mean_outcome,weighted_mean_exposure
pct_oxidative_10,msi_core_partial,1.0,1252,-0.25898756890871016,8.340183816509333
pct_oxidative_10,msi_core_partial,2.0,1231,-0.1578236004797435,9.138711924174675
pct_oxidative_10,msi_core_partial,3.0,1332,-0.041689528836151506,9.435376780451632
pct_oxidative_10,msi_core_partial,4.0,1332,0.1089901137175824,9.691632669495894
pct_oxidative_10,msi_core_partial,,120,-0.02113826563841646,
pct_oxidative_10,ln_HOMA_IR,1.0,1252,0.6973869430418974,8.340183816509333
pct_oxidative_10,ln_HOMA_IR,2.0,1231,0.8273853324417021,9.138711924174675
pct_oxidative_10,ln_HOMA_IR,3.0,1332,0.9260955346500731,9.435376780451632
pct_oxidative_10,ln_HOMA_IR,4.0,1332,1.123078293949553,9.691632669495894
pct_oxidative_10,ln_HOMA_IR,,120,0.9765354485166293,
pct_oxidative_10,HbA1c,1.0,1252,5.554661825242992,8.340183816509333
pct_oxidative_10,HbA1c,2.0,1231,5.5740880043248255,9.138711924174675
pct_oxidative_10,HbA1c,3.0,1332,5.725795220615692,9.435376780451632
pct_oxidative_10,HbA1c,4.0,1332,5.810231291586076,9.691632669495894
pct_oxidative_10,HbA1c,,120,5.783245681727096,
ln_oxidative_to_MEHP,msi_core_partial,1.0,1252,-0.25898756890871016,1.6787686419139822
ln_oxidative_to_MEHP,msi_core_partial,2.0,1231,-0.1578236004797435,2.368894352304131
ln_oxidative_to_MEHP,msi_core_partial,3.0,1332,-0.041689528836151506,2.824035972278225
ln_oxidative_to_MEHP,msi_core_partial,4.0,1332,0.1089901137175824,3.5021727588247984
ln_oxidative_to_MEHP,msi_core_partial,,120,-0.02113826563841646,
ln_oxidative_to_MEHP,ln_HOMA_IR,1.0,1252,0.6973869430418974,1.6787686419139822
ln_oxidative_to_MEHP,ln_HOMA_IR,2.0,1231,0.8273853324417021,2.368894352304131
ln_oxidative_to_MEHP,ln_HOMA_IR,3.0,1332,0.9260955346500731,2.824035972278225
ln_oxidative_to_MEHP,ln_HOMA_IR,4.0,1332,1.123078293949553,3.5021727588247984
ln_oxidative_to_MEHP,ln_HOMA_IR,,120,0.9765354485166293,
ln_oxidative_to_MEHP,HbA1c,1.0,1252,5.554661825242992,1.6787686419139822
ln_oxidative_to_MEHP,HbA1c,2.0,1231,5.5740880043248255,2.368894352304131
ln_oxidative_to_MEHP,HbA1c,3.0,1332,5.725795220615692,2.824035972278225
ln_oxidative_to_MEHP,HbA1c,4.0,1332,5.810231291586076,3.5021727588247984
ln_oxidative_to_MEHP,HbA1c,,120,5.783245681727096,
ln_Sigma_DEHP,msi_core_partial,1.0,1111,-0.2770834824585466,-4.011492898817905
ln_Sigma_DEHP,msi_core_partial,2.0,1264,-0.05966563054698226,-3.1184491984170637
ln_Sigma_DEHP,msi_core_partial,3.0,1311,-0.006784302962433936,-2.4796863154506847
ln_Sigma_DEHP,msi_core_partial,4.0,1461,0.04803358348613065,-1.5856958983951035
ln_Sigma_DEHP,msi_core_partial,,120,-0.02113826563841646,
ln_Sigma_DEHP,ln_HOMA_IR,1.0,1111,0.6492098196359364,-4.011492898817905
ln_Sigma_DEHP,ln_HOMA_IR,2.0,1264,0.8978144107916107,-3.1184491984170637
ln_Sigma_DEHP,ln_HOMA_IR,3.0,1311,1.0242686795455624,-2.4796863154506847
ln_Sigma_DEHP,ln_HOMA_IR,4.0,1461,1.063408081554816,-1.5856958983951035
ln_Sigma_DEHP,ln_HOMA_IR,,120,0.9765354485166293,
ln_Sigma_DEHP,HbA1c,1.0,1111,5.54356620376452,-4.011492898817905
ln_Sigma_DEHP,HbA1c,2.0,1264,5.7289436289626465,-3.1184491984170637
ln_Sigma_DEHP,HbA1c,3.0,1311,5.672922846593649,-2.4796863154506847
ln_Sigma_DEHP,HbA1c,4.0,1461,5.719337312408671,-1.5856958983951035
ln_Sigma_DEHP,HbA1c,,120,5.783245681727096,
