term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model_set,outcome,exposure,q_value,estimate_CI
pct_oxidative_10,0.13272337600640993,0.03861337946237773,3.437238020974741,0.000587678920682965,0.05704115226014958,0.20840559975267028,2436,90,12,minimal_covariates,msi_core_partial,pct_oxidative_10,0.0014465942662965291,"0.133 (0.057, 0.208)"
ln_oxidative_to_MEHP,0.1459250107113606,0.030943263097889993,4.715889537884942,2.406569816851485e-06,0.08527621503949621,0.20657380638322498,2436,90,12,minimal_covariates,msi_core_partial,ln_oxidative_to_MEHP,2.299417597596793e-05,"0.146 (0.085, 0.207)"
pct_oxidative_10,0.13002435247011723,0.03722616652879256,3.4928214370273647,0.00047794598838963475,0.05706106607368382,0.20298763886655063,2411,90,12,minimal_covariates,msi_no_bmi,pct_oxidative_10,0.0012745226357056927,"0.130 (0.057, 0.203)"
ln_oxidative_to_MEHP,0.13071327414420275,0.030804829858445567,4.2432720695052275,2.2028410008129475e-05,0.07033580762164944,0.19109074066675608,2411,90,12,minimal_covariates,msi_no_bmi,ln_oxidative_to_MEHP,0.00010070130289430616,"0.131 (0.070, 0.191)"
pct_oxidative_10,0.14224884837065588,0.04480778550982736,3.1746458065743397,0.0015001949864091914,0.054425588771394265,0.2300721079699175,2391,90,12,minimal_covariates,ln_HOMA_IR,pct_oxidative_10,0.0028238964450055365,"0.142 (0.054, 0.230)"
ln_oxidative_to_MEHP,0.16923718355169726,0.03874015193976945,4.368521419709858,1.2509055024489974e-05,0.09330648574974913,0.24516788135364537,2391,90,12,minimal_covariates,ln_HOMA_IR,ln_oxidative_to_MEHP,6.67149601306132e-05,"0.169 (0.093, 0.245)"
pct_oxidative_10,0.07983998664155934,0.024917265988606864,3.204203329452969,0.0013543679060933282,0.03100214530388988,0.12867782797922878,4977,90,12,minimal_covariates,HbA1c,pct_oxidative_10,0.0028238964450055365,"0.080 (0.031, 0.129)"
ln_oxidative_to_MEHP,0.09222487248896982,0.02196582454218515,4.198561830076211,2.6861551338425773e-05,0.04917185638628693,0.1352778885916527,4977,90,12,minimal_covariates,HbA1c,ln_oxidative_to_MEHP,0.00010744620535370309,"0.092 (0.049, 0.135)"
pct_oxidative_10,0.16840762322900327,0.05297725166711572,3.1788667386371423,0.001478520486733052,0.06457220996145646,0.2722430364965501,1313,60,20,full_covariates,msi_core_partial,pct_oxidative_10,0.0028238964450055365,"0.168 (0.065, 0.272)"
ln_oxidative_to_MEHP,0.18278820426886033,0.03906059984375814,4.679605664019769,2.874271996995991e-06,0.10622942857509438,0.2593469799626263,1313,60,20,full_covariates,msi_core_partial,ln_oxidative_to_MEHP,2.299417597596793e-05,"0.183 (0.106, 0.259)"
pct_oxidative_10,0.16837940691803688,0.05008172330462661,3.362092911496953,0.0007735409103817409,0.07021922924096873,0.266539584595105,1306,60,20,full_covariates,msi_no_bmi,pct_oxidative_10,0.001768093509443979,"0.168 (0.070, 0.267)"
ln_oxidative_to_MEHP,0.17169208550418474,0.035656716010343134,4.815140167546027,1.4709660202337493e-06,0.1018049221239122,0.24157924888445728,1306,60,20,full_covariates,msi_no_bmi,ln_oxidative_to_MEHP,2.299417597596793e-05,"0.172 (0.102, 0.242)"
pct_oxidative_10,0.18197343751671013,0.05882213205683844,3.093621926877344,0.0019772928601160663,0.06668205868530679,0.29726481634811347,1292,60,20,full_covariates,ln_HOMA_IR,pct_oxidative_10,0.003330177448616533,"0.182 (0.067, 0.297)"
ln_oxidative_to_MEHP,0.21840988951823537,0.04612530654043594,4.735142287385461,2.189014711134981e-06,0.12800428869898095,0.3088154903374898,1292,60,20,full_covariates,ln_HOMA_IR,ln_oxidative_to_MEHP,2.299417597596793e-05,"0.218 (0.128, 0.309)"
pct_oxidative_10,0.10964079388411854,0.04007217743940481,2.7360827609109086,0.0062175386687153816,0.031099326102885114,0.18818226166535196,2671,60,21,full_covariates,HbA1c,pct_oxidative_10,0.009474344638042486,"0.110 (0.031, 0.188)"
ln_oxidative_to_MEHP,0.13456944257848646,0.02962350262970334,4.54265804623503,5.554932059817784e-06,0.07650737742426791,0.19263150773270502,2671,60,21,full_covariates,HbA1c,ln_oxidative_to_MEHP,3.555156518283382e-05,"0.135 (0.077, 0.193)"
pct_oxidative_10,0.11256373559481236,0.04435226259025399,2.5379479877887277,0.011150455481417246,0.025633300917914548,0.19949417027171018,1134,60,20,exclude_diabetes_history,msi_core_partial,pct_oxidative_10,0.014171469279542097,"0.113 (0.026, 0.199)"
